time_s,pnm_loading_mol_kg,trial_1_loading_mol_kg,trial_2_loading_mol_kg,trial_4_loading_mol_kg,trial_8_loading_mol_kg
0.0,0.0,0.0,0.0,0.0,0.0
5e-05,3.1007063009982625e-11,2.3524623813223006e-12,1.0850482602784879e-11,7.73545295069687e-12,1.0438461592313681e-11
5.317724787430056e-05,3.5068177606260965e-11,2.660104860752872e-12,1.2272517682083556e-11,8.748811365610592e-12,1.180644694214178e-11
5.655639382969606e-05,3.966086259688313e-11,3.0080700599734622e-12,1.388100103964473e-11,9.895027672304935e-12,1.3353792964646399e-11
6.0150267471166206e-05,4.485462819055625e-11,3.401644281443271e-12,1.570030234295436e-11,1.1191521868562106e-11,1.5104017551383006e-11
6.397251366039366e-05,5.0728061193286105e-11,3.846806937421696e-12,1.7757025585333516e-11,1.2657998112080466e-11,1.7083254970945015e-11
6.803764432121665e-05,5.7370005368544326e-11,4.350319759945502e-12,2.0083207504015917e-11,1.4316744231960136e-11,1.9321138857676718e-11
7.236109353705672e-05,6.488089844979542e-11,4.9198338427467604e-12,2.2714166705210695e-11,1.6192970514140737e-11,2.185221910860269e-11
7.695927614951026e-05,7.337428063941548e-11,5.56400238298615e-12,2.568985209973876e-11,1.8315192910678852e-11,2.4714925889059636e-11
8.184965008058509e-05,8.297849830384162e-11,6.292613090636631e-12,2.9055450004726114e-11,2.0715666498045175e-11,2.7952727610381248e-11
8.705078261520076e-05,9.383862996989164e-11,7.116537437628339e-12,3.286207084942007e-11,2.343009646955494e-11,3.16147915195829e-11
9.258242089560768e-05,1.0611865980023324e-10,8.047391498243465e-12,3.7166722289326505e-11,2.6499272859512672e-11,3.575673090665037e-11
9.846556689537109e-05,1.20003933833862e-10,9.100267839935392e-12,4.203404730802943e-11,2.9970538169356656e-11,4.0439866207701644e-11
0.0001047225571575,1.3570393144044044e-10,1.029116453022529e-11,4.7538672152838557e-11,3.389659422926489e-11,4.573574103251533e-11
0.0001113771475999,1.534553971140724e-10,1.1638177273293381e-11,5.376410472679869e-11,3.833705207210868e-11,5.172504034232949e-11
0.0001184546037091,1.7352587342930396e-10,1.3161774458631043e-11,6.08047993423725e-11,4.3359337828456117e-11,5.849862708860697e-11
0.0001259817964658,1.9621769104518388e-10,1.4885108275692567e-11,6.876613077011001e-11,4.9039717403978375e-11,6.615912755973362e-11
0.0001339873043662,2.2187247074815927e-10,1.6834366623733946e-11,7.776852372283125e-11,5.546195414093464e-11,7.482072201435954e-11
0.0001425015219259,2.5087620449833074e-10,1.9039171166050885e-11,8.794832867095937e-11,6.272454299703947e-11,8.461525720633287e-11
0.0001515567750783,2.8366498854103763e-10,2.1533027579352533e-11,9.945943332966865e-11,7.093799523911467e-11,9.569070668299832e-11
0.0001611874439074,3.2073149094864656e-10,2.4353834842958244e-11,1.1247653847569689e-10,8.022690250450628e-11,1.0821480585324208e-10
0.0001714300931778,3.6263224722051046e-10,2.754446130863938e-11,1.2719525889014563e-10,9.073181275664199e-11,1.2237683433415436e-10
0.0001823236111606,4.099958878995425e-10,3.115339630874778e-11,1.4383763413261138e-10,1.0260932551703242e-10,1.3838997065801915e-10
0.0001939093572805,4.6353241574021586e-10,3.5235487207234346e-11,1.6265459713757685e-10,1.1604017565166587e-10,1.5649572610536345e-10
0.000206231319145,5.240436642270089e-10,3.9852773097520027e-11,1.8392971776955545e-10,1.3122719372275505e-10,1.769670319595931e-10
0.0002193362795524,5.924350855020428e-10,4.50754278204429e-11,2.0798342808923245e-10,1.4840023893532413e-10,2.0011230895755693e-10
0.0002332739941117,6.697290337046292e-10,5.098282663673996e-11,2.3517779063194e-10,1.6781854206082168e-10,2.262800600834543e-10
0.0002480973801501,7.570797297292742e-10,5.76638000171067e-11,2.6592187866421105e-10,1.8977448318493155e-10,2.5586405324741615e-10
0.0002638627176241,8.557901162453895e-10,6.521566901373905e-11,3.006778459677765e-10,2.145990383267614e-10,2.893091686874192e-10
0.0002806298627977,9.673308368061074e-10,7.375662575840279e-11,3.399677733256824e-10,2.426662209708262e-10,3.2711799524072684e-10
0.0002984624754985,1.0933616007200212e-09,8.341629270183248e-11,3.8438138965544035e-10,2.7439865174559794e-10,3.698582700497504e-10
0.0003174282608152,1.2357552258427132e-09,9.434128467580207e-11,4.3458477778813197e-10,3.1027384346848747e-10,4.1817126793263637e-10
0.0003375992261536,1.3966246878776271e-09,1.0669743676708169e-10,4.913301883606068e-10,3.508312923205496e-10,4.727812596888829e-10
0.0003590519546268,1.5783535388294715e-09,1.206723243083878e-10,5.55467100332031e-10,3.9668047719882775e-10,5.345061731832565e-10
0.0003818678958189,1.7836301082032672e-09,1.3647256613680866e-10,6.279546834246862e-10,4.485098819365316e-10,6.042696073229229e-10
0.0004061336750239,2.015485934406604e-09,1.5433707698003516e-10,7.098776025463516e-10,5.070971692193249e-10,6.831152356174558e-10
0.000431941422137,2.2773389405135863e-09,1.7453943992061849e-10,8.024616358235807e-10,5.733206508565521e-10,7.722264514466953e-10
0.0004593891214431,2.57304191312622e-09,1.9738591494108792e-10,9.070844691520226e-10,6.481722167255016e-10,8.729281474554984e-10
0.0004885809836348,2.906936924981676e-09,2.2322290233467633e-10,1.0253041174996517e-09,7.327719044565603e-10,9.867209417936174e-10
0.0005196278414683,3.2839163682313606e-09,2.524326581680962e-10,1.1588787121007042e-09,8.283886708869932e-10,1.1152983220532677e-09
0.000552647570563,3.7094914247490076e-09,2.854594121278715e-10,1.3097918921537037e-09,9.364497116762831e-10,1.2605711432706521e-09
0.0005877655369391,4.189868763033273e-09,3.22801410056358e-10,1.4802813536962934e-09,1.058565787004984e-09,1.4246951773877366e-09
0.0006251150729957,4.732036474926711e-09,3.6502189418356437e-10,1.6728793045360756e-09,1.1965565626316712e-09,1.6101020816556252e-09
0.0006648379837331,5.3438602732760955e-09,4.1275762299309026e-10,1.8904319869390322e-09,1.3524755723109174e-09,1.8195388497947022e-09
0.0007070850851445,6.034191087181695e-09,4.667260677399021e-10,2.13614878909988e-09,1.5286399218174784e-09,2.056106105728281e-09
0.000752016776819,6.812985381134026e-09,5.277390064242027e-10,2.413649593761235e-09,1.7276636925717567e-09,2.323287749062743e-09
0.0007998036509307,7.691439607483434e-09,5.967135417806392e-10,2.7270154942929627e-09,1.9525003408036906e-09,2.6250164648540167e-09
0.0008506271399262,8.68214022629058e-09,6.746856842320417e-10,3.0808577229208486e-09,2.206484561212683e-09,2.965725816787685e-09
0.0009046802053693,9.79923110201835e-09,7.628256696324367e-10,3.4803520609131143e-09,2.4933621002271074e-09,3.350422745241171e-09
0.0009621680705579,1.1058600180991449e-08,8.624552298746856e-10,3.9313352551399265e-09,2.8173631637416658e-09,3.7847297950288765e-09
0.0010233089996959,1.2478087176229508e-08,9.750670611276945e-10,4.4403854933651976e-09,3.1832558282804853e-09,4.2749854675517756e-09
0.0010883351265767,1.4077714848897864e-08,1.1023467642620502e-09,5.0149127616489795e-09,3.5964179419969106e-09,4.828338009582524e-09
0.0011574933359255,1.5879946070504342e-08,1.2462004678258723e-09,5.6632488009707435e-09,4.0629185524210685e-09,5.452824079732259e-09
0.0012310462007473,1.790996920467342e-08,1.4087756117655761e-09,6.394772101908002e-09,4.589577663333792e-09,6.157485214092805e-09
0.0013092729792371,2.0196014731220057e-08,1.592498096281267e-09,7.220033265849854e-09,5.18408432318946e-09,6.952510496082169e-09
0.0013924706750403,2.276970611577937e-08,1.800106173446736e-09,8.150899320370552e-09,5.855095233723098e-09,7.849346695842274e-09
0.0014809551648862,2.5666448130026956e-08,2.0346900961034724e-09,9.200711285687841e-09,6.612355610805152e-09,8.860868726636326e-09
0.0015750623978776,2.8925856134695772e-08,2.299737160884162e-09,1.038446128425191e-08,7.466836483225514e-09,1.0001548900239283e-08
0.0016751496709886,3.2592229985244017e-08,2.599189286709421e-09,1.1718994055998429e-08,8.43088032262716e-09,1.1287649542768211e-08
0.0017815969856142,3.671507653312487e-08,2.9374815999851457e-09,1.3223227429510909e-08,9.518370125053458e-09,1.2737437197225948e-08
0.0018948084903223,4.1349684939713024e-08,3.3196209017451795e-09,1.4918394518491666e-08,1.0744910425854332e-08,1.437142158555219e-08
0.002015214015284,4.655775886422655e-08,3.751253039197894e-09,1.682832474828624e-08,1.2128048266742303e-08,1.6212623034855548e-08
0.0021432707042104,5.240811082509133e-08,4.23875016369219e-09,1.8979745983141057e-08,1.3687499059126767e-08,1.8286868158525698e-08
0.0022794647499905,5.8977422545236936e-08,4.7892917853356696e-09,2.14026184524603e-08,1.5445404680607573e-08,2.0623112711441655e-08
0.0024243132406195,6.635107718736346e-08,5.4109678784672935e-09,2.4130521553825077e-08,1.742661960692765e-08,2.3253820543706832e-08
0.0025783661224274,7.46240680964225e-08,6.112895755660191e-09,2.7201058968146206e-08,1.9659047895147733e-08,2.621535576465794e-08
0.0027422082880605,8.390198914476659e-08,6.905345816266861e-09,3.065632962977068e-08,2.2173986164860742e-08,2.9548435652402822e-08
0.002916461797143,9.43021122116274e-08,7.79988906372053e-09,3.454343709881748e-08,2.5006522311733013e-08,3.329863528650254e-08
0.0031017882380521,1.0595455754271892e-07,8.809553745035101e-09,3.891505190704734e-08,2.819599004478155e-08,3.7516923492870085e-08
0.0032988912397697,1.1900355984009187e-07,9.94900655775506e-09,4.3830039748229835e-08,3.1786440056599045e-08,4.2260286509684203e-08
0.0035085191433519,1.3360884010949237e-07,1.1234750485069786e-08,4.9354149968837924e-08,3.582720068949632e-08,4.75923920499734e-08
0.003731467843155,1.4994708168510337e-07,1.2685352775402434e-08,5.5560774608950016e-08,4.037345815188598e-08,5.35843250280039e-08
0.0039685838086087,1.682135218141875e-07,1.4321700638554977e-08,6.25317882803391e-08,4.548694414496298e-08,6.031541516372299e-08
0.0042207672980064,1.8862366005553322e-07,1.616727678779571e-08,7.035846545067204e-08,5.123666283042812e-08,6.787412357309301e-08
0.0044889757765166,2.1141508618821221e-07,1.8248465622673267e-08,7.91424958795114e-08,5.769966337598122e-08,7.635903515404727e-08
0.0047742275513911,2.368494338800121e-07,2.0594917772566876e-08,8.899709307158648e-08,6.496200826126461e-08,8.587994740461073e-08
0.0050776056381728,2.65214463361873e-07,2.3239932220968145e-08,1.0004821357264254e-07,7.311966666666712e-08,9.6559049792713e-08
0.0054002618725812,2.968262685066675e-07,2.622088243475629e-08,1.1243589242379943e-07,8.227966160392023e-08,1.0853223804797499e-07
0.0057434212836877,3.320316215637003e-07,2.9579709160265275e-08,1.2631570746233975e-07,9.256120866825826e-08,1.2195053347333917e-07
0.0061083867449839,3.7121045229935473e-07,3.336345059454592e-08,1.4186036717552273e-07,1.0409704845106328e-07,1.369816466135728e-07
0.006496543921002,4.1477845830669033e-07,3.762483334620789e-08,1.5926146031347404e-07,1.1703483173892665e-07,1.5381168384476329e-07
0.0069093665282681,4.631898487761657e-07,4.2422936514983824e-08,1.7873136851167233e-07,1.3153871586082878e-07,1.7264701026858402e-07
0.0073484219305622,5.169402244565119e-07,4.782390480995644e-08,2.005053145656615e-07,1.47791052721881e-07,1.9371627228941336e-07
