time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,inventory_change_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg
0.0,0.07081980715799781,2.295584477156922e-07,0.0,2.295584477156922e-07,0.0,0.0,0.0,0.0,0.0
5e-05,0.07087595574872714,2.2974045023513561e-07,9.238142021010611e-11,2.2983283165534573e-07,2.743839396535191e-10,2.7438393965351784e-10,-1.2407709188295415e-24,4.522024577664191e-15,1.4552390938048891e-08
5.3177247874300556e-05,0.07087951204134084,2.2975197775892852e-07,9.825414442097438e-11,2.298502319033495e-07,2.9178418765729583e-10,2.917841876572883e-10,-7.548023089546378e-24,2.58685131300248e-14,1.5477492310094595e-08
5.655639382969606e-05,0.07088329281444779,2.29764232923697e-07,1.045003586935367e-10,2.2986873328239056e-07,3.102855666983601e-10,3.102855666983496e-10,-1.0494854021766539e-23,3.38232104491311e-14,1.6461427735317724e-08
6.0150267471166206e-05,0.07088731213894668,2.2977726133947307e-07,1.1114383673424857e-10,2.2988840517620732e-07,3.299574605151395e-10,3.2995746051511744e-10,-2.2075382597508926e-23,6.690372317402423e-14,1.7507942168814234e-08
6.397251366039366e-05,0.0708915849548697,2.2979111143353608e-07,1.1820986820301375e-10,2.299093213017391e-07,3.5087358604691095e-10,3.508735860468928e-10,-1.8146274687882045e-23,5.171741450339876e-14,1.8621019366373683e-08
6.803764432121665e-05,0.07089612712349817,2.2980583461934323e-07,1.2572535573014315e-10,2.2993155997507337e-07,3.7311225938115393e-10,3.7311225938116416e-10,1.0236360080343717e-23,2.7435067658515215e-14,1.9804897167083798e-08
7.236109353705672e-05,0.07090095548223807,2.298214854744052e-07,1.3371891818185337e-10,2.2995520439258706e-07,3.967566768948259e-10,3.96756676894854e-10,2.812414082680294e-23,7.088511035759135e-14,2.106408376023676e-08
7.695927614951026e-05,0.07090608790260419,2.2983812192823854e-07,1.42221000589872e-10,2.299803429288284e-07,4.218952131362307e-10,4.2189521313619235e-10,-3.836050090714666e-23,9.092423832445804e-14,2.2403375001999464e-08
8.184965008058509e-05,0.07091154335137874,2.29855805460608e-07,1.5126399117907924e-10,2.3000706945178706e-07,4.4862173609489625e-10,4.4862173609485297e-10,-4.327188579418026e-23,9.645516994082299e-14,2.3827872850202547e-08
8.705078261520076e-05,0.07091734195504351,2.298746013103797e-07,1.6088234595718274e-10,2.3003548365633689e-07,4.770359406446878e-10,4.770359406446789e-10,-8.892191584945048e-24,1.8640506568389252e-14,2.534300499033932e-08
9.258242089560769e-05,0.07092350506772166,2.2989457869575068e-07,1.7111272136652149e-10,2.300656914171172e-07,5.072437014250308e-10,5.072437014249931e-10,-3.774011544773189e-23,7.440233430539653e-14,2.695454573155227e-08
9.846556689537107e-05,0.07093005534269171,2.2991581104605745e-07,1.8199411552579414e-10,2.3009780516158324e-07,5.393574458910386e-10,5.393574458910346e-10,-4.03250548619601e-24,7.476499150825962e-15,2.866863825574811e-08
