time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,inventory_change_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg
0.0,0.05960453931841568,1.9050789317292247e-07,0.0,1.9050789317292247e-07,0.0,0.0,0.0,0.0,0.0
5e-05,0.0596568525254717,1.9067509652648117e-07,8.215086420049313e-11,1.9075724739068165e-07,2.4935421775917656e-10,2.4935421775917884e-10,2.274746684520826e-24,9.122551464991579e-15,1.294082174776265e-08
5.3177247874300556e-05,0.05966013256959343,1.9068558019605218e-07,8.737340812649994e-11,1.9077295360417867e-07,2.6506043125621564e-10,2.6506043125619946e-10,-1.6181720733068604e-23,6.104917530080848e-14,1.3763503416106062e-08
5.655639382969606e-05,0.05966361539010623,1.9069671197906367e-07,9.292811310482835e-11,1.9078964009216848e-07,2.817469192459764e-10,2.817469192460072e-10,3.081247781760028e-23,1.0936225283335353e-13,1.4638508781972029e-08
6.0150267471166206e-05,0.05966731315918186,1.9070853078018342e-07,9.883612433670317e-11,1.9080736690452012e-07,2.9947373159766603e-10,2.994737315976463e-10,-1.9748937124703536e-23,6.594547381282723e-14,1.5569168744950395e-08
6.397251366039366e-05,0.05967123873470562,1.9072107769575518e-07,1.051199355580049e-10,1.9082619763131318e-07,3.1830445839070744e-10,3.1830445839070693e-10,-5.169878828456423e-25,1.6241930303441054e-15,1.6559026632665327e-08
6.803764432121665e-05,0.05967540569282214,1.9073439611782162e-07,1.1180347536061822e-10,1.9084619959318225e-07,3.383064202597747e-10,3.3830642025977526e-10,5.686866711302065e-25,1.6809810192000769e-15,1.7611851798552948e-08
7.236109353705672e-05,0.05967982836244133,1.9074853184441202e-07,1.1891219905000608e-10,1.9086744404346204e-07,3.5955087053955524e-10,3.5955087053956083e-10,5.583469134732937e-24,1.5529010196398887e-14,1.8731654091733375e-08
7.695927614951026e-05,0.0596845218600273,1.9076353319073461e-07,1.2647318644027504e-10,1.9089000637717488e-07,3.821132042523898e-10,3.821132042524092e-10,1.9387045606711586e-23,5.073639275209462e-14,1.9922699262186548e-08
8.184965008058509e-05,0.059689502125615225,1.9077945110429367e-07,1.3451524595122263e-10,1.909139663502449e-07,4.060731773224078e-10,4.06073177322414e-10,6.2038545941477076e-24,1.527767639087861e-14,2.1189525358648322e-08
8.705078261520076e-05,0.05969478595890438,1.9079633928024982e-07,1.43069025438442e-10,1.9093940830568827e-07,4.315151327658198e-10,4.315151327657981e-10,-2.1713491079516976e-23,5.0319187974575e-14,2.2536960187131964e-08
9.258242089560769e-05,0.0597003910564721,1.9081425428036333e-07,1.5216713017745194e-10,1.9096642141054079e-07,4.5852823761830836e-10,4.5852823761831094e-10,2.5849394142282115e-24,5.637470502699928e-15,2.397013989638809e-08
9.846556689537107e-05,0.05970633604966281,1.908332556540949e-07,1.6184424847686883e-10,1.9099509990257177e-07,4.872067296493167e-10,4.872067296492975e-10,-1.9231949241857893e-23,3.9473899007307906e-14,2.5494528765130075e-08
0.00010472255715757342,0.059712640542877074,1.908534060609852e-07,1.7213728542403495e-10,1.9102554334640923e-07,5.176501734867535e-10,5.176501734867531e-10,-4.1359030627651384e-25,7.989764660768484e-16,2.711594027032532e-08
0.0001113771475999778,0.05971932515142952,1.9087477139165587e-07,1.8308550530654912e-10,1.910578568969624e-07,5.499637240399657e-10,5.499637240399382e-10,-2.750375536738817e-23,5.001012642315565e-14,2.8840559522158782e-08
0.00011845460370913158,0.05972641154066474,1.9089742089283218e-07,1.947306832533672e-10,1.9109215157608555e-07,5.842584031630706e-10,5.842584031630759e-10,5.2732764050255514e-24,9.025589322253523e-15,3.067496715130999e-08
0.0001259817964658508,0.05973392246465504,1.9092142729102827e-07,2.071172667253393e-10,1.9112854455775362e-07,6.206513848311449e-10,6.206513848311495e-10,4.549493369041652e-24,7.330191280052261e-15,3.2626164747763415e-08
0.00013398730436628458,0.059741881804347516,1.909468669144731e-07,2.202925475064859e-10,1.9116715946197958e-07,6.59266289057096e-10,6.592662890571053e-10,9.202384314652433e-24,1.3958523994627197e-14,3.470160195374862e-08
0.0001425015219259054,0.05975031460609499,1.9097381981626257e-07,2.3430684486626035e-10,1.9120812666112884e-07,7.002334882063453e-10,7.002334882063629e-10,1.7577588016751838e-23,2.5102466981087343e-14,3.6909205316390945e-08
0.00015155677507837893,0.059759247119374595,1.910023698949159e-07,2.4921370065878913e-10,1.912515835955747e-07,7.436904226522016e-10,7.436904226522191e-10,1.7577588016751838e-23,2.3635625095271473e-14,3.925740902073567e-08
0.0001611874439074515,0.05976870683404248,1.9103260501344888e-07,2.6507008712879497e-10,1.9129767510057768e-07,7.89781927655213e-10,7.897819276552063e-10,-6.72084247699335e-24,8.509744578414055e-15,4.175518762439337e-08
0.0001714300931778293,0.05977872251697719,1.9106461711649335e-07,2.8193662827386575e-10,1.913465537447672e-07,8.386605718447662e-10,8.386605718447368e-10,-2.946830932220161e-23,3.5137349139213035e-14,4.441209092764986e-08
0.00018232361116063742,0.05978932424756177,1.910985023437051e-07,2.998778356736317e-10,1.9139838017937871e-07,8.904870064562274e-10,8.904870064562404e-10,1.3028094647710186e-23,1.4630302916554012e-14,4.723828112247702e-08
0.00019390935728053616,0.05980054345259294,1.9113436114134037e-07,3.189623597277345e-10,1.914533235010681e-07,9.454303281456657e-10,9.454303281456304e-10,-3.5361971186641933e-23,3.740304296774536e-14,5.024457236881488e-08
0.00020623131914506758,0.0598124129401453,1.911722983704927e-07,3.3926325734265056e-10,1.9151156162783535e-07,1.0036684549128867e-09,1.003668454912875e-09,-1.1580528575742387e-23,1.1538201204846594e-14,5.344247296196082e-08
0.0002193362795524249,0.059824966932398305,1.9121242341201433e-07,3.6085827716376257e-10,1.915732816891781e-07,1.0653885162556164e-09,1.0653885162556174e-09,1.0339757656912846e-24,9.705152157311259e-16,5.684423026377548e-08
0.00023327399411172362,0.059838241097834845,1.9125485026942926e-07,3.838301635170013e-10,1.9163868043294624e-07,1.1307872600237409e-09,1.1307872600237692e-09,2.83309359799412e-23,2.5054169764298265e-14,6.046287858111526e-08
