seed,case_qa_pass,solver_success,physical_bounds_ok_metadata,completed_to_t_end,mass_balance_ok,timeseries_mean_bounds_ok,uptake_monotonic_ok,practical_equilibrium_reached,error,atol,axial_loading_bin_cv,axial_loading_bottom_minus_top_over_mean,b_pa,diffusivity,end_adsorption_rate_mol_s,end_relative_uptake_rate_per_s,final_adsorbed_inventory_mol,final_gas_inventory_mol,final_mean_gas_concentration_mol_m3,final_relative_mass_balance_error,final_reservoir_input_mol,final_time_s,final_total_inventory_mol,final_uptake_mol_kg,initial_concentration,initial_loading,inlet_concentration,inlet_equilibrium_loading_mol_kg,k_ldf,late_uptake_fraction,max_step,maximum_absolute_mass_balance_residual_mol,maximum_adsorption_rate_mol_s,maximum_relative_mass_balance_error,metadata_file,minimum_mean_gas_concentration_mol_m3,minimum_mean_loading_mol_kg,mode,network_analytic_porosity,network_degree_cv,network_directory,network_geometric_tortuosity,network_inlet_pores,network_largest_component_fraction,network_mean_degree,network_mean_pore_volume_m3,network_mean_throat_length_m,network_mean_throat_radius_m,network_median_pore_volume_m3,network_median_throat_radius_m,network_minimum_throat_radius_m,network_outlet_pores,network_pore_count,network_pore_volume_cv,network_ready_for_transport,network_shortest_inlet_outlet_path_m,network_throat_count,network_throat_radius_p10_m,network_total_pore_volume_m3,normalized_uptake_auc,particle_count,particle_density,particle_loading_cv,particle_loading_max_mol_kg,particle_loading_mean_unweighted_mol_kg,particle_loading_min_mol_kg,particle_loading_std_mol_kg,pore_count,qsat,result_directory,rhs_evaluations,rtol,t10_final_uptake_s,t50_final_uptake_s,t90_final_uptake_s,t95_final_uptake_s,t_end,temperature,throat_count,time_of_maximum_rate_s,toth_exponent,underutilized_loading_threshold_mol_kg,underutilized_particle_fraction
105019,True,True,True,True,True,True,True,False,,1e-10,1.8714112539017518,5.80353403661968,5.093e-05,1.5e-05,1.7241880919114977e-07,0.0001296018536365057,0.0013303730182342359,1.3101665556995095e-06,0.40689361317886125,5.5367968345397085e-15,0.0013315595629064356,5000.0,0.0013316831847899355,0.209567120864188,0.0,0.0,6.05,2.309036967044178,0.00855,0.06526728250578416,,8.023096076392733e-18,1.7449142026313335e-06,1.4375988129316275e-13,co2_adsorption_campaign_5000s/seed_105019/run_metadata.json,0.03839279412943038,0.0,adsorption,0.44828252181082967,0.09977309037673354,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_105019,1.1346179383751798,12,1.0,3.8540955631399316,3.434219401697864e-10,0.0006839919966878802,0.00028705579065862595,2.5031261678241287e-10,0.00027927983403891053,0.00012328400498705068,16,9376,0.9944186026539746,True,0.03900632916884839,18068,0.00013897709447053175,3.2199241110319172e-06,0.6217450722977718,1850,1600.0,2.024129653605232,2.216719020576812,0.2095671208641879,1.9605662046209206e-08,0.42419102376187445,9376,5.332,co2_adsorption_campaign_5000s/seed_105019,697,1e-06,100.91338025565177,1602.1134724842711,4239.909353353135,4615.732205952772,5000.0,298.15,18068,0.6017880726892569,1.0,1.154518483522089,0.9421621621621622
113117,True,True,True,True,True,True,True,False,,1e-10,1.8123484554761655,5.464846449264076,5.093e-05,1.5e-05,2.1407174710941937e-07,0.00011682595867289605,0.0018323988053785567,1.860041322412596e-06,0.5728675560534487,7.33035939157641e-15,0.0018340310782400903,5000.0,0.0018342588467009692,0.28864877493370045,0.0,0.0,6.05,2.309036967044178,0.00855,0.05895918438604663,,1.5829351718288365e-17,2.9329914225058736e-06,9.373307337253187e-14,co2_adsorption_campaign_5000s/seed_113117/run_metadata.json,0.0701496036486763,0.0,adsorption,0.4503219317936816,0.09852986833314174,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_113117,1.1041370737478235,22,1.0,3.8568232662192394,3.458928204931635e-10,0.0006869718205514743,0.0002856575962230501,2.494529516489862e-10,0.00027601129627041765,0.00012333057315905705,22,9387,1.024422431110426,True,0.038527842530433024,18102,0.00013819086748486124,3.246895905969326e-06,0.6459812571248001,1850,1600.0,1.8354339432485125,2.2871115504708737,0.28864877493370056,3.5310265343235e-08,0.5297957591904144,9387,5.332,co2_adsorption_campaign_5000s/seed_113117,767,1e-06,79.07880392082367,1402.059137791507,4162.560228933782,4574.947227855716,5000.0,298.15,18102,0.5658322842428334,1.0,1.154518483522089,0.9037837837837838
121021,True,True,True,True,True,True,True,False,,1e-10,1.7825570570781835,5.380879711677457,5.093e-05,1.5e-05,2.154671120471531e-07,0.00012196491141391979,0.0017666319726655575,1.7838899664671651e-06,0.553938413692057,7.235070807713405e-15,0.0017682737288057418,5000.0,0.0017684158626320248,0.27828884911506563,0.0,0.0,6.05,2.309036967044178,0.00855,0.06155138153675764,,1.2793585635328952e-17,2.2520256336887135e-06,5.877013084403429e-14,co2_adsorption_campaign_5000s/seed_121021/run_metadata.json,0.0441357862594124,0.0,adsorption,0.4482225253014753,0.10257135226717483,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_121021,1.0943337985298265,17,1.0,3.850192061459667,3.436167294418882e-10,0.0006800853545914757,0.0002880379698937758,2.5199041401208854e-10,0.00028208347864192517,0.0001231791237173473,20,9372,1.0372259545087072,True,0.03760204292614147,18042,0.0001398217131529805,3.2203759883293766e-06,0.6309394101220849,1850,1600.0,1.8349349115793716,2.269401096219861,0.2782888491150657,5.231911368316301e-08,0.5106419247444781,9372,5.332,co2_adsorption_campaign_5000s/seed_121021,740,1e-06,102.40097301228766,1524.5770855947053,4196.987886792524,4592.565266289244,5000.0,298.15,18042,0.6017880726892569,1.0,1.154518483522089,0.912972972972973
129121,True,True,True,True,True,True,True,False,,1e-10,1.85827127007097,5.747078561446056,5.093e-05,1.5e-05,1.869001954366197e-07,0.00012685225740824722,0.0014733690929529214,1.4704113541696641e-06,0.46580476694577566,1.3233772044124857e-15,0.0014746845449406893,5000.0,0.001474839504307091,0.2320925894830945,0.0,0.0,6.05,2.309036967044178,0.00855,0.06390330275615726,,3.0357660829594124e-18,2.1674338721499594e-06,1.473798389734939e-13,co2_adsorption_campaign_5000s/seed_129121/run_metadata.json,0.049088856223142026,0.0,adsorption,0.4434945160551283,0.09981866539804715,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_129121,1.117284538993348,15,1.0,3.85283139596886,3.3664409644332634e-10,0.0006776758256752357,0.0002828898946868093,2.4627184729630825e-10,0.00027572767880195944,0.0001233076801261412,23,9377,0.9973460917644058,True,0.038685265301391825,18064,0.0001403099983606753,3.156711692349071e-06,0.6299093165995945,1850,1600.0,1.9540246248200337,2.2802822161903427,0.2320925894830948,1.5994451863265664e-08,0.45351463508821444,9377,5.332,co2_adsorption_campaign_5000s/seed_129121,706,1e-06,87.56830370961228,1537.6755118199324,4224.253318554145,4607.591377696506,5000.0,298.15,18064,0.6017880726892569,1.0,1.154518483522089,0.94
137077,True,True,True,True,True,True,True,False,,1e-10,1.8453881646379398,5.6813155774244395,5.093e-05,1.5e-05,1.9480004791119231e-07,0.00011863058235666209,0.0016420727610147543,1.6285758728077248e-06,0.5197393433567262,2.83672601120247e-14,0.0016434683234392861,5000.0,0.0016437013368875621,0.25866764889152366,0.0,0.0,6.05,2.309036967044178,0.00855,0.05981673742376509,,4.662069341687669e-17,2.813880472702935e-06,1.2740962029863048e-13,co2_adsorption_campaign_5000s/seed_137077/run_metadata.json,0.07436328794874908,0.0,adsorption,0.44153612435641787,0.1000434833959976,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_137077,1.1598021331914048,22,1.0,3.8532090431801134,3.357384934101072e-10,0.0006822901691069384,0.0002792301453220795,2.438274928290878e-10,0.0002705832327935424,0.00012331238487884807,10,9333,1.0343002236364913,True,0.03905173607633216,17981,0.00013895095824110115,3.1334473589965304e-06,0.6462259777123243,1850,1600.0,1.918970306561797,2.2784883598393493,0.2586676488915239,1.3440584943129104e-08,0.49637553749098684,9333,5.332,co2_adsorption_campaign_5000s/seed_137077,687,1e-06,73.43268545508272,1399.9395938603318,4173.33921157242,4581.048254309194,5000.0,298.15,17981,0.5658322842428334,1.0,1.154518483522089,0.92
145093,True,True,True,True,True,True,True,False,,1e-10,1.8102455138488254,5.526132921340357,5.093e-05,1.5e-05,2.128647352462082e-07,0.00011937723294414327,0.0017831267319272496,1.8549755793479777e-06,0.5802216737526313,1.264773132808054e-13,0.0017847540120518287,5000.0,0.0017849817075065975,0.2808871874460766,0.0,0.0,6.05,2.309036967044178,0.00855,0.06025668678423543,,2.25730892311482e-16,2.7757429066408617e-06,1.264773132808054e-13,co2_adsorption_campaign_5000s/seed_145093/run_metadata.json,0.07122133531660418,0.0,adsorption,0.44666858828097594,0.09912161605765793,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_145093,1.1204458330812745,21,1.0,3.8551496431994887,3.405061105492334e-10,0.0006809648021213259,0.0002857539880202368,2.476419035717521e-10,0.0002783169356888422,0.00012332516588626444,14,9389,1.0175345415327268,True,0.03905631227511102,18098,0.00014012836933461972,3.197011871946752e-06,0.6399686524444169,1850,1600.0,1.851349224681458,2.282512147334915,0.2808871874460767,3.46310724690168e-08,0.5200202767012495,9389,5.332,co2_adsorption_campaign_5000s/seed_145093,725,1e-06,81.95322688564943,1458.2475858036448,4180.331005695076,4583.933730471503,5000.0,298.15,18098,0.6017880726892569,1.0,1.154518483522089,0.9075675675675675
153133,True,True,True,True,True,True,True,False,,1e-10,1.8359305478898231,5.602390598276596,5.093e-05,1.5e-05,2.0090385678571276e-07,0.00012339828887859773,0.0016280927281201356,1.649646441414474e-06,0.5120504307836448,3.858948183568452e-15,0.0016295561125158548,5000.0,0.0016297423745615502,0.2564654430416181,0.0,0.0,6.05,2.309036967044178,0.00855,0.06223843233435167,,6.5052130349130266e-18,2.3198045441982715e-06,1.330235148301174e-13,co2_adsorption_campaign_5000s/seed_153133/run_metadata.json,0.057815758786743,0.0,adsorption,0.4485407451820323,0.09844663358328265,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_153133,1.1074687380931814,18,1.0,3.8565949286170893,3.4323975934111963e-10,0.000684321596104712,0.00028608200380718184,2.485725115886912e-10,0.00027760983235086895,0.00012334728855398517,11,9386,1.0392246761138344,True,0.03886309951934787,18099,0.00014004208707551398,3.221648381175749e-06,0.6312234806921009,1850,1600.0,1.9016115448119437,2.2966115635425584,0.2564654430416181,2.2725428856871226e-08,0.487697647333251,9386,5.332,co2_adsorption_campaign_5000s/seed_153133,781,1e-06,91.37338889131382,1528.2181903285548,4205.089366220129,4597.0704287179615,5000.0,298.15,18099,0.6017880726892569,1.0,1.154518483522089,0.9210810810810811
161123,True,True,True,True,True,True,True,False,,1e-10,1.7907606767329676,5.477989989800772,5.093e-05,1.5e-05,2.0079918132056774e-07,0.0001231728002963123,0.001630223400275974,1.6584087785387658e-06,0.5182500956446188,2.6711090465560977e-14,0.001631716510792056,5000.0,0.0016318818090545126,0.25680107735100693,0.0,0.0,6.05,2.309036967044178,0.00855,0.06209018425278926,,4.358492733391728e-17,2.3651458932101836e-06,1.482308200701875e-13,co2_adsorption_campaign_5000s/seed_161123/run_metadata.json,0.05165544310545124,0.0,adsorption,0.44675521948994823,0.09919516937749566,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_161123,1.0641305172629836,18,1.0,3.8533404596472476,3.4206481541829526e-10,0.0006821606449946016,0.00028521321325818545,2.496524002250957e-10,0.0002766239170089906,0.00012330228912075213,21,9355,1.0192806003367716,True,0.03772169693005895,18024,0.000139418176430527,3.200016348238152e-06,0.6343496138917424,1850,1600.0,1.8790930600134141,2.296312882857724,0.25680107735100705,3.1690024809518926e-08,0.4825531222542453,9355,5.332,co2_adsorption_campaign_5000s/seed_161123,761,1e-06,88.67550008860263,1497.5674614903999,4202.701596364587,4596.201243131647,5000.0,298.15,18024,0.5658322842428334,1.0,1.154518483522089,0.9264864864864865
18427,True,True,True,True,True,True,True,False,,1e-10,1.782766549283883,5.435278923738807,5.093e-05,1.5e-05,2.1884571687500192e-07,0.00011792258563433775,0.0018558422519127369,1.9083242621557127e-06,0.5887265643483335,1.8327624770405174e-14,0.0018575210177271429,5000.0,0.0018577505761748925,0.2923417058079469,0.0,0.0,6.05,2.309036967044178,0.00855,0.05954640464626894,,3.404394821604484e-17,2.8136436657157724e-06,9.645516994082299e-14,co2_adsorption_campaign_5000s/seed_18427/run_metadata.json,0.07081980715799781,0.0,adsorption,0.4499378234869928,0.10171250184946562,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_18427,1.118332369100862,20,1.0,3.853144620623603,3.4494456987986265e-10,0.0006812316648366526,0.00028525464702795414,2.493354624107897e-10,0.00027759837725365116,0.00012329008037976856,11,9397,1.0641037972525038,True,0.03895475200709248,18104,0.00014005049773666955,3.2414441231610693e-06,0.6407116711396639,1850,1600.0,1.8249016069654564,2.282294016364079,0.29234170580794705,2.7357142399944232e-08,0.5334948487119453,9397,5.332,co2_adsorption_campaign_5000s/seed_18427,725,1e-06,84.59012532957094,1450.1319406067669,4171.225003414506,4579.007007185476,5000.0,298.15,18104,0.5658322842428334,1.0,1.154518483522089,0.8967567567567568
27183,True,True,True,True,True,True,True,False,,1e-10,1.7542727480650409,5.270256947399486,5.093e-05,1.5e-05,2.2816665745346635e-07,0.00011052961033492789,0.00206430346367886,2.1442966037436755e-06,0.6757454341704722,2.0107703080853886e-13,0.0020662045327890267,5000.0,0.0020664477602826037,0.3251795756105607,0.0,0.0,6.05,2.309036967044178,0.00855,0.05586497384503909,,4.154662724964453e-16,3.313630606730886e-06,2.0107703080853886e-13,co2_adsorption_campaign_5000s/seed_27183/run_metadata.json,0.07664978234892111,0.0,adsorption,0.4447510275308164,0.10165725936489052,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_27183,1.0992363509357042,23,1.0,3.8513527964923537,3.393467394901544e-10,0.0006822949272002799,0.0002853011806398229,2.501920336756794e-10,0.00027818047413805276,0.0001231702942826574,8,9351,0.98093914591674,True,0.0382073645756895,18007,0.00013921102092425105,3.1732313609724334e-06,0.6544739251873053,1850,1600.0,1.7763506394282707,2.2972128035147588,0.32517957561056104,3.6727932754697496e-08,0.5776329470648338,9351,5.332,co2_adsorption_campaign_5000s/seed_27183,780,1e-06,78.39971495469234,1332.8500388688353,4120.125232647928,4551.668458654348,5000.0,298.15,18007,0.5658322842428334,1.0,1.154518483522089,0.8756756756756757
