coefficient_of_variation,count,maximum,mean,median,metric,minimum,standard_deviation
0.11376292924751805,20,0.00206430346367886,0.001731830191364369,0.001749436691996023,final_adsorbed_inventory_mol,0.0013303730182342359,0.00019701807552890036
0.1137629292475181,20,0.3251795756105607,0.27280669560753623,0.27558016109074834,final_uptake_mol_kg,0.209567120864188,0.03103528881064935
0.09341373691537784,20,102.40097301228766,85.09874935194293,83.06035772692692,t10_final_uptake_s,73.43268545508272,7.949392183790077
0.047450817173152485,20,1602.1134724842711,1461.533991847829,1458.7041735542284,t50_final_uptake_s,1332.8500388688353,69.35098223951907
0.007389040519850993,20,4239.909353353135,4182.662652592482,4178.931897741684,t90_final_uptake_s,4120.125232647928,30.90586382087329
0.003607430706628538,20,4615.732205952772,4585.303895961084,4583.41965785781,t95_final_uptake_s,4551.668458654348,16.54116607351348
0.14043898361374546,20,3.313630606730886e-06,2.625610713784515e-06,2.7150383717528414e-06,maximum_adsorption_rate_mol_s,1.7449142026313335e-06,3.68738100009258e-07
0.03153278909768226,20,0.6017880726892569,0.582012389043724,0.5658322842428334,time_of_maximum_rate_s,0.5658322842428334,0.018352473915953946
0.012957722902330068,20,0.6544739251873053,0.6390880329573817,0.6397904597159716,normalized_uptake_auc,0.6217450722977718,0.008281125641256938
0.040313170387528914,20,0.06526728250578416,0.06054136500957623,0.06017554424429107,late_uptake_fraction,0.05586497384503909,0.0024406143631246274
0.04134976804974702,20,0.0001296018536365057,0.00011999456453801276,0.00011925451015994801,end_relative_uptake_rate_per_s,0.00011052961033492789,4.961747410877227e-06
0.03570574031283563,20,2.024129653605232,1.8702509131359506,1.8612075676608841,particle_loading_cv,1.7763506394282707,0.06677869342427596
0.022885094485528855,20,0.9475675675675675,0.9107837837837838,0.9113513513513514,underutilized_particle_fraction,0.874054054054054,0.020843372947779375
