model,seed,predicted_diffusivity_m2_s,time_weighted_nrmse,final_relative_error,max_absolute_mass_residual_mol
conductance_proportional,18427,8.001811340973633e-07,0.03251571119803325,-0.06987992160807716,1.2738815807333131e-13
conductance_proportional,27183,8.688446131669187e-07,0.07540539696725963,-0.12074287457154871,1.3628586987787274e-13
conductance_proportional,31991,8.165261201450931e-07,0.038612980724088995,-0.08172109655407254,1.2529853859212503e-13
conductance_proportional,40213,7.818143038729524e-07,0.019951638875001957,-0.007542232974755678,1.2681201600348783e-13
conductance_proportional,47837,7.715413704754816e-07,0.01354089202903568,-0.014818052844900124,1.2753857651344534e-13
conductance_proportional,52691,7.900189560168132e-07,0.019378303187207305,-0.04478409912636171,1.2753176827437354e-13
conductance_proportional,61417,6.606880284503814e-07,0.11781791780632553,0.12306948166916244,1.2177544819658886e-13
conductance_proportional,69371,8.000127351290641e-07,0.037457705609290785,-0.07596544511576961,1.224029806023752e-13
conductance_proportional,74167,7.028139983849057e-07,0.037943764403309016,0.01700915333216081,1.1405244276439764e-13
conductance_proportional,81929,7.252708889887931e-07,0.03603492176658787,0.016200708047022748,1.1507378450428503e-13
conductance_proportional,90709,8.486214274248968e-07,0.021394910438989587,-0.0435260828374589,1.4970880268707753e-13
conductance_proportional,98251,8.590138732279224e-07,0.0718762223504487,-0.11922932363840878,1.3849210250250989e-13
conductance_proportional,105019,6.342994966058303e-07,0.14027697080713097,0.14823581032670283,1.2316103125621278e-13
conductance_proportional,113117,7.881142198689319e-07,0.034747839469098006,-0.06892957519627757,1.2707398000066754e-13
conductance_proportional,121021,7.950821972145435e-07,0.025966465131951992,-0.01725326711033048,1.275842525533678e-13
conductance_proportional,129121,6.844195034481131e-07,0.09248991146960361,0.08813478458207896,1.1284324288109463e-13
conductance_proportional,137077,7.017253660449509e-07,0.016427406128421158,-0.009837973760224383,1.1376706635303935e-13
conductance_proportional,145093,7.976542936485542e-07,0.015028446875534665,-0.02787114694435343,1.2656065241188478e-13
conductance_proportional,153133,7.34255620991963e-07,0.048968487690101495,0.02432145663614504,1.154778408194655e-13
conductance_proportional,161123,7.676232530970196e-07,0.06327959916856649,0.05045240912681926,1.2743390949918607e-13
conductance_linear,18427,8.463495427698386e-07,0.017880983026055414,-0.04367237152294361,1.5281185939670743e-13
conductance_linear,27183,1.0257172787665171e-06,0.023869902227967817,-0.0454690481673962,1.144012977306473e-13
conductance_linear,31991,8.887540763321287e-07,0.017915976759111874,-0.04235352641954411,1.3314964844022604e-13
conductance_linear,40213,7.924958346379835e-07,0.023552407802386117,-0.0008470133484744762,1.2458015195010853e-13
conductance_linear,47837,7.685804295948348e-07,0.013093542052123092,-0.016693467872548245,1.272735240223817e-13
conductance_linear,52691,8.182137641163936e-07,0.012411133068088985,-0.028044345377268607,1.237600406745333e-13
conductance_linear,61417,4.890315700906027e-07,0.021831428624014996,-0.03275195038923431,1.3748192740972438e-13
conductance_linear,69371,8.470137439300696e-07,0.02122257635101524,-0.04946293157503282,1.429061663147139e-13
conductance_linear,74167,5.934491929413863e-07,0.027738296044840825,-0.06484472835442777,1.2350641614023578e-13
conductance_linear,81929,6.507056407182055e-07,0.01622547490938977,-0.03702580062834276,1.2244257536925284e-13
conductance_linear,90709,9.70040778901903e-07,0.04761844927095637,0.02193499334328347,1.1365361518360058e-13
conductance_linear,98251,1.0006712006063093e-06,0.02469386371767343,-0.0501110736883396,1.1278400796126901e-13
conductance_linear,105019,4.197946005385771e-07,0.026926590531672116,-0.06463442761134827,1.4406892401679365e-13
conductance_linear,113117,8.167770120213787e-07,0.024160448454326185,-0.05230412453970494,1.266389258795076e-13
conductance_linear,121021,8.253840332707305e-07,0.03523029207769343,0.001126379389213257,1.2256824435368104e-13
conductance_linear,129121,5.480221563308587e-07,0.022503908731092762,-0.02549462726428181,1.2160687127590983e-13
conductance_linear,137077,5.908545048713996e-07,0.0494672582735427,-0.09080640258542387,1.2086371061425204e-13
conductance_linear,145093,8.344071405859504e-07,0.022347402105983707,-0.005934814265572327,1.1861595389344164e-13
conductance_linear,153133,6.719671325609085e-07,0.024342511521865742,-0.019727905634590984,1.1875952830734185e-13
conductance_linear,161123,7.510418943486968e-07,0.0557274056438127,0.039145076507794044,1.1296237425347769e-13
conductance_power,18427,8.384481236093231e-07,0.01993227805548816,-0.04810483056695343,1.213899046335036e-13
conductance_power,27183,1.060565347695308e-06,0.014028367390293216,-0.029566268931366404,1.1113218127049938e-13
conductance_power,31991,8.860287508589998e-07,0.018365039183207362,-0.043808587294505784,1.3407657268803242e-13
conductance_power,40213,7.803582373486421e-07,0.01949457219051143,-0.008458510920644601,1.2700519266677925e-13
conductance_power,47837,7.555197206864814e-07,0.01265115006135203,-0.025010295072490966,1.123759265455232e-13
conductance_power,52691,8.077342620968852e-07,0.01428212491783498,-0.03423126974692859,1.261368418060667e-13
conductance_power,61417,5.042263162137779e-07,0.02697538021382165,-0.017934107539348116,1.348574847611164e-13
conductance_power,69371,8.393085861971637e-07,0.023624054507007927,-0.05375516349691352,1.4513310063634017e-13
conductance_power,74167,5.879800688423303e-07,0.030251870753855103,-0.06913242707636515,1.2340985692534763e-13
conductance_power,81929,6.399664672952755e-07,0.018606523652718445,-0.04494319680347285,1.2231771995997048e-13
conductance_power,90709,9.796739750943892e-07,0.05077635781257677,0.026944048063948265,1.147324569080794e-13
conductance_power,98251,1.026208157043856e-06,0.01719819968762209,-0.03819676982299713,1.1242387686890903e-13
conductance_power,105019,4.5619258825652226e-07,0.029741110810594624,-0.025149375792918694,1.431077974256101e-13
conductance_power,113117,8.064427766215038e-07,0.027860454807443646,-0.058263463145035534,1.2736556833990275e-13
conductance_power,121021,8.153218673851206e-07,0.03190037275441107,-0.004938017728018592,1.2542268694065468e-13
conductance_power,129121,5.500780814020708e-07,0.02314263556495993,-0.023680968748467802,1.2219249355025722e-13
conductance_power,137077,5.857592789458392e-07,0.05209631025363301,-0.09470643618570158,1.2107307450068196e-13
conductance_power,145093,8.250727806971422e-07,0.01965262820236917,-0.011458556653822677,1.1929919629144361e-13
conductance_power,153133,6.59984007823552e-07,0.021456323464384364,-0.028437971552646032,1.2285583893256995e-13
conductance_power,161123,7.378239828177995e-07,0.049725625005569554,0.030039749836222873,1.147961088929667e-13
porosity_linear,18427,7.31343391233181e-07,0.05935156503998597,-0.11043463736095246,1.1573386499810258e-13
porosity_linear,27183,7.322616126757718e-07,0.12515993656137603,-0.19217443996116404,1.1371704990453693e-13
porosity_linear,31991,7.403903092867825e-07,0.06740895528054187,-0.12519767076645166,1.1552817892872963e-13
porosity_linear,40213,7.663095178785914e-07,0.01574060518139279,-0.01734438564841657,1.28000244409808e-13
porosity_linear,47837,7.574572430440628e-07,0.012548339781675215,-0.02377190226232316,1.1186231244784603e-13
porosity_linear,52691,7.50859509446581e-07,0.03406774674428885,-0.06854851387807165,1.143167649013025e-13
porosity_linear,61417,7.733155794995126e-07,0.1809265576127586,0.21422239662789472,1.2704815756599578e-13
porosity_linear,69371,7.473826018556023e-07,0.05797042630434297,-0.10660479088461566,1.1052462846611463e-13
porosity_linear,74167,7.645305515796668e-07,0.06669543776194069,0.06033958615380144,1.2708831222165155e-13
porosity_linear,81929,7.63073378231745e-07,0.05296981359705317,0.04211759607085846,1.1130583700073014e-13
porosity_linear,90709,7.396832513902944e-07,0.051630098655903005,-0.10647033838516436,1.15751566927909e-13
porosity_linear,98251,7.131091013219944e-07,0.12589522548105092,-0.19683230808364147,1.141723536188504e-13
porosity_linear,105019,7.808524035884258e-07,0.22663122447597928,0.2728949019111322,1.271748154613899e-13
porosity_linear,113117,7.273819082176443e-07,0.05922225779403645,-0.1052089761717975,1.155248913821031e-13
porosity_linear,121021,7.551607679600488e-07,0.02079715499256225,-0.04202298074689202,1.1422159990264553e-13
porosity_linear,129121,8.01911209010439e-07,0.15379298074140182,0.1770243739095816,1.2081358383970824e-13
porosity_linear,137077,8.01380120256839e-07,0.057854932270256086,0.057519588812460366,1.18968294188511e-13
porosity_linear,145093,7.564447177065578e-07,0.022195895475824852,-0.05309101522939093,1.1109884734765137e-13
porosity_linear,153133,7.646102185585731e-07,0.06251187320096055,0.04509571146621999,1.1231127082659339e-13
porosity_linear,161123,7.641911208081391e-07,0.061716074769413674,0.04812225301882209,1.1136221996062236e-13
