seed,effective_inlet_to_interior_conductance_m3_s,effective_diffusivity_m2_s,porosity,bed_height_m
18427,2.9814489676994364e-08,8.742169165661848e-07,0.4499378234869928,0.035830774
27183,3.2764420407319354e-08,1.0957187056727472e-06,0.4447510275308164,0.035485827
31991,3.046585875763726e-08,9.089370760330842e-07,0.4486273931922884,0.035736118
40213,2.892184012843549e-08,7.492319773130388e-07,0.4436563661721765,0.035418383
47837,2.8580897726832732e-08,7.596460170441361e-07,0.4470947964020088,0.035641695
52691,2.9360562199718808e-08,8.270062794076845e-07,0.4479874483615318,0.035687458
61417,2.4250671181123865e-08,4.792910460147182e-07,0.446556851549834,0.035589922
69371,2.9839682626628455e-08,8.894407133776001e-07,0.4439708015157803,0.035429206
74167,2.5953161968330242e-08,6.362928051212703e-07,0.4468247434393771,0.035576775
81929,2.6781002297772044e-08,6.599222548109476e-07,0.4469594167405619,0.035629904
90709,3.1477186350308175e-08,8.559966050932071e-07,0.4493865723618864,0.035797144
98251,3.2353009753445546e-08,1.0719761696508922e-06,0.4433997574736297,0.035392063
105019,2.326837496956744e-08,4.340114878862916e-07,0.4482825218108296,0.0357243209999999
113117,2.93769450801817e-08,8.693662240582694e-07,0.4503219317936816,0.035860424
121021,2.940451025357429e-08,7.588818215129808e-07,0.4482225253014753,0.035734117
129121,2.5151376385711992e-08,5.303161922398666e-07,0.4434945160551283,0.035401105
137077,2.598631810884013e-08,6.832211598050066e-07,0.4415361243564178,0.035296067
145093,2.9566098035330644e-08,7.951500928624066e-07,0.4466685882809759,0.035598278
153133,2.7071586736029673e-08,6.448128612002848e-07,0.4485407451820323,0.035722874
161123,2.8235182071593593e-08,6.449193527532435e-07,0.4467552194899482,0.035624823
