seed,network_file,inlet_pore_count,inlet_pore_fraction,inlet_total_pore_volume_m3,inlet_mean_pore_volume_m3,inlet_pore_volume_fraction,inlet_to_internal_throat_count,inlet_to_internal_unique_second_layer_pores,inlet_to_internal_throats_per_inlet_pore,inlet_internal_conductance_m3_s,inlet_internal_conductance_per_inlet_pore_m3_s,inlet_internal_conductance_cv,interior_depth_dp,interior_plane_z_m,effective_inlet_to_interior_conductance_m3_s,effective_inlet_to_interior_active_pores,effective_inlet_to_interior_spanning,effective_inlet_to_outlet_conductance_m3_s,effective_inlet_to_outlet_active_pores,effective_inlet_to_outlet_spanning,inlet_radial_coverage,inlet_polar_cell_coverage,inlet_radial_mean_over_R,inlet_radial_std_over_R,inlet_angular_resultant,inlet_centroid_offset_over_R,inlet_mean_pair_distance_over_D,inlet_min_pair_distance_over_D,depth_dp,status,error,bed_height_m,porosity,network_ready_for_transport,result_directory,solver_success,physical_bounds_ok,cells,fit_weighting,effective_diffusivity_m2_s,effective_over_molecular_diffusivity,fit_normalized_rmse,final_homogeneous_loading_mol_kg,maximum_relative_mass_balance_error,final_reference_loading_mol_kg,final_loading_error_mol_kg,final_loading_relative_error,maximum_absolute_mass_balance_residual_mol,final_relative_mass_balance_error,fit_at_bound,case_qa_pass,tube_area_m2,accessibility_diffusivity_m2_s
18427,co2_pore_networks_power22/seed_18427/pore_network.npz,20,0.0021283388315419,3.794354507697392e-08,1.897177253848696e-09,0.0117057532492558,44,43,2.2,6.035577112064612e-07,3.0177885560323055e-08,1.5382951322657703,5.0,0.0081631909945564,2.9814489676994364e-08,9397,True,7.258022226656612e-09,9397,True,0.4,0.2,0.8584765959044305,0.0557359257340636,0.0682506625099351,0.0424434081987198,0.5712690102020473,0.0563094570711096,5.0,succeeded,,0.035830774,0.4499378234869928,True,co2_homogeneous_campaign_100cells/seed_18427,True,True,100,time,8.742169165661848e-07,0.0582811277710789,0.0141224214599884,0.2762984469828763,1.2889801034740445e-07,0.2843179552259188,-0.0080195082430424,-0.0282061266115613,1.379899534192903e-13,7.036294842058771e-11,False,True,0.00020106192982974675,5.313170138406125e-06
27183,co2_pore_networks_power22/seed_27183/pore_network.npz,23,0.0024596299860977,4.0202891431621124e-08,1.747951801374831e-09,0.0126693855122183,53,50,2.3043478260869565,2.227045776217783e-06,9.682807722686013e-08,2.914592016153709,5.0,0.0080429250095193,3.2764420407319354e-08,9351,True,6.795626771500591e-09,9351,True,0.4,0.2166666666666666,0.8550787282931147,0.0489688667669249,0.0840147018071386,0.0805875066967087,0.5643914135656227,0.0379507488801951,5.0,succeeded,,0.035485827,0.4447510275308164,True,co2_homogeneous_campaign_100cells/seed_27183,True,True,100,time,1.0957187056727472e-06,0.0730479137115164,0.0083995049516475,0.3104940306611393,1.2061504466424625e-07,0.3148366297083697,-0.0043425990472303,-0.0137931823601748,1.1491447412404897e-13,5.479756705958834e-11,False,True,0.00020106192982974675,5.782658881837654e-06
31991,co2_pore_networks_power22/seed_31991/pore_network.npz,20,0.0021231422505307,3.0523343750717474e-08,1.5261671875358734e-09,0.0094691086432187,49,48,2.45,2.8922015476766894e-06,1.446100773838345e-07,2.511049814301308,5.0,0.0080698737264108,3.046585875763726e-08,9420,True,7.947538285641292e-09,9420,True,0.4,0.2,0.858453720440934,0.0535751615770377,0.1720864687934482,0.1438337245680658,0.5628109134327915,0.0711205601453459,5.0,succeeded,,0.035736118,0.4486273931922884,True,co2_homogeneous_campaign_100cells/seed_31991,True,True,100,time,9.089370760330842e-07,0.0605958050688722,0.0162691918661874,0.2820857992475866,1.270041181106701e-07,0.2913050297483481,-0.0092192305007615,-0.031648030618372,1.3151576698947694e-13,7.343088781931168e-11,False,True,0.00020106192982974675,5.414906364701482e-06
40213,co2_pore_networks_power22/seed_40213/pore_network.npz,19,0.002027315407597,2.911823350067021e-08,1.5325386052984323e-09,0.0092163663588024,45,44,2.3684210526315788,2.1872237115335085e-06,1.1511703744913203e-07,3.6879820420851033,5.0,0.008004489044835,2.892184012843549e-08,9372,True,7.046189229836158e-09,9372,True,0.4,0.2,0.8577756007438287,0.0537434104081936,0.2380758229120453,0.199427170209766,0.5520749870757586,0.066502188482599,5.0,succeeded,,0.035418383,0.4436563661721765,True,co2_homogeneous_campaign_100cells/seed_40213,True,True,100,time,7.492319773130388e-07,0.0499487984875359,0.013818494683182,0.2574722228520988,1.3500615430009762e-07,0.2649596669322829,-0.007487444080184,-0.0282588069605993,1.1063196194009185e-13,5.6929311512864646e-11,False,True,0.00020106192982974675,5.09477259867693e-06
47837,co2_pore_networks_power22/seed_47837/pore_network.npz,20,0.0021369804466289,3.3386169994542216e-08,1.6693084997271107e-09,0.0104202656053305,47,45,2.35,1.5268672557589973e-06,7.634336278794987e-08,2.2968272015476434,5.0,0.0080517207608157,2.8580897726832732e-08,9359,True,7.59367354297976e-09,9359,True,0.4,0.2,0.8603740796934041,0.0516995788708831,0.080945885101284,0.0688360265798266,0.569771136631696,0.0558978378500569,5.0,succeeded,,0.035641695,0.4470947964020088,True,co2_homogeneous_campaign_100cells/seed_47837,True,True,100,time,7.596460170441361e-07,0.0506430678029424,0.0125035477843093,0.2584204468104297,1.3435183183248638e-07,0.2643349040834956,-0.0059144572730658,-0.0223748630305655,1.112181235626684e-13,5.789541061969445e-11,False,True,0.00020106192982974675,5.0664570884629745e-06
52691,co2_pore_networks_power22/seed_52691/pore_network.npz,22,0.0023310023310023,3.4136632888307935e-08,1.551665131286724e-09,0.010619629722645,53,48,2.409090909090909,9.836094098621867e-07,4.47095186300994e-08,2.787148295134689,5.0,0.008000377425348,2.9360562199718808e-08,9438,True,7.762896665947439e-09,9438,True,0.4,0.2166666666666666,0.8681612450366131,0.0611238754859444,0.2684676378520502,0.2309584865466651,0.5501787428792688,0.0042349206881769,5.0,succeeded,,0.035687458,0.4479874483615318,True,co2_homogeneous_campaign_100cells/seed_52691,True,True,100,time,8.270062794076845e-07,0.0551337519605122,0.0118743116922671,0.2694042421274288,1.3091849838700757e-07,0.2757138322879656,-0.0063095901605367,-0.0228845615331581,1.2112503870144664e-13,6.479451897762816e-11,False,True,0.00020106192982974675,5.211348718507286e-06
61417,co2_pore_networks_power22/seed_61417/pore_network.npz,17,0.0018131399317406,2.9665240648862305e-08,1.7450141558154292e-09,0.0092835533113887,39,36,2.294117647058824,1.2960296995734388e-06,7.623704115137875e-08,2.068448683430547,5.0,0.0082051704992495,2.4250671181123865e-08,9376,True,7.3420775759245985e-09,9376,True,0.4,0.1666666666666666,0.8868107098110685,0.0684558177704647,0.3631013940027058,0.3282925409233411,0.5415006139561545,0.0413120412609951,5.0,succeeded,,0.035589922,0.446556851549834,True,co2_homogeneous_campaign_100cells/seed_61417,True,True,100,time,4.792910460147182e-07,0.0319527364009812,0.0207107004562386,0.2058172469437079,1.57540240828126e-07,0.2149245541232466,-0.0091073071795386,-0.042374437935631,1.393499726010496e-13,9.315465279400976e-11,False,True,0.00020106192982974675,4.292605251101868e-06
69371,co2_pore_networks_power22/seed_69371/pore_network.npz,22,0.0023479188900747,3.2676245887113735e-08,1.4852839039597151e-09,0.010332049550551,52,51,2.363636363636364,1.9006067464554663e-06,8.639121574797576e-08,2.3308241704305286,5.0,0.0081153093984408,2.9839682626628455e-08,9370,True,7.267272008020509e-09,9370,True,0.4,0.1666666666666666,0.8620175820457593,0.0546256306693438,0.1011127993640396,0.0809689641305082,0.5684413272308725,0.025425888980381,5.0,succeeded,,0.035429206,0.4439708015157803,True,co2_homogeneous_campaign_100cells/seed_69371,True,True,100,time,8.894407133776001e-07,0.0592960475585066,0.0134111939518055,0.2803014206842715,1.284085497076261e-07,0.2878364645639539,-0.0075350438796824,-0.0261782116143529,1.2186018050219273e-13,5.007351677975157e-11,False,True,0.00020106192982974675,5.258062844859009e-06
74167,co2_pore_networks_power22/seed_74167/pore_network.npz,19,0.0020344790662811,3.148890796246652e-08,1.6573109453929746e-09,0.009851989969986,46,41,2.421052631578948,5.598099584869686e-07,2.946368202562993e-08,2.522976910053609,5.0,0.0080500547390894,2.5953161968330242e-08,9339,True,7.517965195369443e-09,9339,True,0.2,0.1833333333333333,0.8706183974185087,0.0480446578786003,0.0503878384151602,0.0375975796693458,0.5772197052675756,0.057577838350637,5.0,succeeded,,0.035576775,0.4468247434393771,True,co2_homogeneous_campaign_100cells/seed_74167,True,True,100,time,6.362928051212703e-07,0.042419520341418,0.01582234964754,0.2370575299885244,1.424446344278637e-07,0.2448765184284501,-0.0078189884399257,-0.0319303316222634,1.220678482051458e-13,7.942491931617111e-11,False,True,0.00020106192982974675,4.592265699765691e-06
81929,co2_pore_networks_power22/seed_81929/pore_network.npz,19,0.0020292641247463,3.5448000679356165e-08,1.865684246281904e-09,0.0110708038178855,43,42,2.263157894736842,6.440596743847073e-07,3.3897877599195124e-08,1.776020010198688,5.0,0.0080342355703031,2.6781002297772044e-08,9363,True,7.337772697606791e-09,9363,True,0.4,0.2,0.8655325518823088,0.0535973702352174,0.175437434377642,0.1617026901530388,0.5666844886531303,0.0688276418602358,5.0,succeeded,,0.035629904,0.4469594167405619,True,co2_homogeneous_campaign_100cells/seed_81929,True,True,100,time,6.599222548109476e-07,0.0439948169873965,0.0155251651599557,0.2410537430760856,1.4123022032683198e-07,0.2485817652085521,-0.0075280221324665,-0.0302838871795392,1.2211533753085006e-13,7.793257720320373e-11,False,True,0.00020106192982974675,4.7458240438723995e-06
