test_seed,initialization,epochs,training_s,mean_train_curve_nrmse,training_seeds
18427,11,200,7.813917738996679,0.06569709117562723,27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
18427,29,200,7.1982788869936485,0.06574640115112458,27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
18427,47,200,8.091823143011425,0.06568805251336457,27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
27183,11,200,9.688971308001783,0.06223769472672448,18427 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
27183,29,200,9.356236959021771,0.06221915632650481,18427 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
27183,47,200,8.299901936989045,0.0622667472339429,18427 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
31991,11,200,8.565328969008988,0.06527452217645875,18427 27183 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
31991,29,200,8.106687755993335,0.06510337168033795,18427 27183 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
31991,47,200,8.09097212101915,0.06518967483338702,18427 27183 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
40213,11,200,8.899240335973445,0.06813026250086393,18427 27183 31991 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
40213,29,200,8.046056980994763,0.06811082095077246,18427 27183 31991 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
40213,47,200,7.761318289994961,0.06810820876392337,18427 27183 31991 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
47837,11,200,8.193338328012032,0.0677532324912236,18427 27183 31991 40213 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
47837,29,200,8.020469892013352,0.06780518460573216,18427 27183 31991 40213 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
47837,47,200,8.129868785996223,0.0678537947120174,18427 27183 31991 40213 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
52691,11,200,7.768348372017499,0.06736526937114606,18427 27183 31991 40213 47837 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
