fold,stage,weight_decay,initialization,epoch,train_log_rmse,validation_log_rmse
0,inner,1e-05,11,10,0.24549077551213258,0.12250937357760242
0,inner,1e-05,11,20,0.24085027073503007,0.12195112588798707
0,inner,1e-05,11,30,0.2246462698081688,0.11968573369922454
0,inner,1e-05,11,40,0.1849951371249542,0.11135342876827721
0,inner,1e-05,11,50,0.12394572247711193,0.12251822206022309
0,inner,1e-05,11,60,0.10455367661734125,0.16661217564142403
0,inner,1e-05,11,70,0.05043382763491597,0.12889097549781475
0,inner,1e-05,11,80,0.08662652815150325,0.14167094031932562
0,inner,1e-05,11,90,0.021677785681063086,0.15644633834220092
0,inner,1e-05,11,100,0.04755157532209148,0.1719272945631544
0,inner,1e-05,11,110,0.06581301228017712,0.13916047481996863
0,inner,1e-05,11,120,0.028694896292693627,0.16395368440724017
0,inner,1e-05,11,130,0.03827413298484796,0.1712070626002991
0,inner,1e-05,11,140,0.005577805722008629,0.1519456801592135
0,inner,0.0001,11,10,0.24549077551213258,0.12250937357760242
0,inner,0.0001,11,20,0.24085027073503007,0.12195112588798707
0,inner,0.0001,11,30,0.224646270472557,0.11968543175377394
0,inner,0.0001,11,40,0.18499462714187748,0.11135787023741393
0,inner,0.0001,11,50,0.12374762070475376,0.12208564753776345
0,inner,0.0001,11,60,0.08047082609892366,0.09927555667440911
0,inner,0.0001,11,70,0.15483209400884385,0.2468499124235931
0,inner,0.0001,11,80,0.05992628541248166,0.13354408283904742
0,inner,0.0001,11,90,0.06746394751944716,0.17776910142565458
0,inner,0.0001,11,100,0.010917644967263152,0.14398452998335928
0,inner,0.0001,11,110,0.026039259639728137,0.14101967382310196
0,inner,0.0001,11,120,0.0175821545888914,0.15319101584882644
0,inner,0.0001,11,130,0.008915439078268953,0.15099818314591576
0,inner,0.0001,11,140,0.00644639571904906,0.1451603178975109
0,inner,0.0001,11,150,0.001491574069401057,0.14652437634727475
0,inner,0.0001,11,160,0.002740007018982423,0.14770953109861518
0,refit,0.0001,11,10,0.22125794790514852,
0,refit,0.0001,11,20,0.21731523580130774,
0,refit,0.0001,11,30,0.20295858373384146,
0,refit,0.0001,11,40,0.17184161316769006,
0,refit,0.0001,11,50,0.1339885050699546,
