seed,status,error,bed_height_m,porosity,network_ready_for_transport,result_directory,solver_success,physical_bounds_ok,cells,fit_weighting,effective_diffusivity_m2_s,effective_over_molecular_diffusivity,fit_normalized_rmse,final_homogeneous_loading_mol_kg,maximum_relative_mass_balance_error,final_reference_loading_mol_kg,final_loading_error_mol_kg,final_loading_relative_error,maximum_absolute_mass_balance_residual_mol,final_relative_mass_balance_error,fit_at_bound,case_qa_pass
18427,succeeded,,0.035830774,0.4499378234869928,True,co2_homogeneous_campaign_100cells/seed_18427,True,True,100,time,8.742169165661848e-07,0.05828112777107898,0.014122421459988451,0.2762984469828763,1.2889801034740443e-07,0.2843179552259188,-0.008019508243042484,-0.028206126611561303,1.379899534192903e-13,7.036294842058771e-11,False,True
27183,succeeded,,0.035485827000000005,0.4447510275308164,True,co2_homogeneous_campaign_100cells/seed_27183,True,True,100,time,1.0957187056727472e-06,0.07304791371151648,0.008399504951647565,0.31049403066113934,1.2061504466424625e-07,0.3148366297083697,-0.004342599047230389,-0.01379318236017486,1.1491447412404897e-13,5.479756705958834e-11,False,True
31991,succeeded,,0.035736118000000004,0.4486273931922884,True,co2_homogeneous_campaign_100cells/seed_31991,True,True,100,time,9.089370760330842e-07,0.06059580506887227,0.016269191866187447,0.28208579924758664,1.270041181106701e-07,0.2913050297483481,-0.00921923050076151,-0.03164803061837208,1.3151576698947694e-13,7.343088781931168e-11,False,True
40213,succeeded,,0.035418383,0.4436563661721765,True,co2_homogeneous_campaign_100cells/seed_40213,True,True,100,time,7.492319773130388e-07,0.04994879848753592,0.013818494683182077,0.25747222285209886,1.3500615430009762e-07,0.2649596669322829,-0.007487444080184091,-0.02825880696059939,1.1063196194009185e-13,5.6929311512864646e-11,False,True
47837,succeeded,,0.035641695,0.4470947964020088,True,co2_homogeneous_campaign_100cells/seed_47837,True,True,100,time,7.596460170441361e-07,0.05064306780294241,0.01250354778430931,0.2584204468104297,1.3435183183248638e-07,0.2643349040834956,-0.005914457273065887,-0.022374863030565517,1.112181235626684e-13,5.789541061969445e-11,False,True
52691,succeeded,,0.035687458,0.4479874483615318,True,co2_homogeneous_campaign_100cells/seed_52691,True,True,100,time,8.270062794076845e-07,0.05513375196051229,0.011874311692267173,0.2694042421274288,1.3091849838700757e-07,0.2757138322879656,-0.006309590160536782,-0.022884561533158106,1.2112503870144662e-13,6.479451897762816e-11,False,True
61417,succeeded,,0.035589922,0.446556851549834,True,co2_homogeneous_campaign_100cells/seed_61417,True,True,100,time,4.792910460147182e-07,0.03195273640098121,0.020710700456238667,0.20581724694370793,1.57540240828126e-07,0.2149245541232466,-0.009107307179538698,-0.042374437935631094,1.393499726010496e-13,9.315465279400976e-11,False,True
69371,succeeded,,0.035429206,0.44397080151578033,True,co2_homogeneous_campaign_100cells/seed_69371,True,True,100,time,8.894407133776001e-07,0.05929604755850667,0.013411193951805562,0.28030142068427155,1.2840854970762607e-07,0.2878364645639539,-0.0075350438796824015,-0.026178211614352992,1.2186018050219273e-13,5.007351677975157e-11,False,True
74167,succeeded,,0.035576775000000005,0.44682474343937717,True,co2_homogeneous_campaign_100cells/seed_74167,True,True,100,time,6.362928051212703e-07,0.04241952034141802,0.01582234964754003,0.2370575299885244,1.424446344278637e-07,0.2448765184284501,-0.007818988439925706,-0.0319303316222634,1.220678482051458e-13,7.942491931617111e-11,False,True
81929,succeeded,,0.035629904,0.4469594167405619,True,co2_homogeneous_campaign_100cells/seed_81929,True,True,100,time,6.599222548109476e-07,0.043994816987396504,0.015525165159955792,0.24105374307608568,1.4123022032683196e-07,0.2485817652085521,-0.007528022132466505,-0.030283887179539244,1.2211533753085006e-13,7.793257720320373e-11,False,True
