time_s,reference_loading_mol_kg,homogeneous_loading_mol_kg,residual_mol_kg
0.0,0.0,0.0,0.0
5e-05,3.33646948040265e-11,7.1544398275320554e-12,2.6210254976494446e-11
5.317724787430056e-05,3.773227166702853e-11,8.091558214632236e-12,2.964071345239629e-11
5.655639382969606e-05,4.2671050557772416e-11,9.151536870329001e-12,3.3519513687443416e-11
6.0150267471166206e-05,4.8255628517982167e-11,1.0350484797966786e-11,3.790514372001538e-11
6.397251366039366e-05,5.457032170022824e-11,1.1706623251152103e-11,4.286369844907613e-11
6.803764432121665e-05,6.171042792191835e-11,1.3240562702980848e-11,4.84698652189375e-11
7.236109353705672e-05,6.978365309055362e-11,1.4975616133292245e-11,5.4808036957261375e-11
7.695927614951026e-05,7.891172022074015e-11,1.6938153396232395e-11,6.197356682450776e-11
8.184965008058509e-05,8.923218518859153e-11,1.915800205487684e-11,7.007418313371469e-11
8.705078261520076e-05,1.0090048936098724e-10,2.1668900776012958e-11,7.923158858497428e-11
9.258242089560768e-05,1.1409227054851147e-10,2.4508562713979506e-11,8.958370783453196e-11
9.846556689537109e-05,1.2900597707118654e-10,2.7718952425990324e-11,1.0128702464519622e-10
0.0001047225571575,1.4586581457560238e-10,3.134991886537939e-11,1.1451589571022298e-10
0.0001113771475999,1.6492506990729048e-10,3.5456586274170746e-11,1.2946848363311973e-10
0.0001184546037091,1.8646986037087488e-10,4.010130562467249e-11,1.4636855474620238e-10
0.0001259817964658,2.1082336295394748e-10,4.5354602143982086e-11,1.654687608099654e-10
0.0001339873043662,2.383505827558578e-10,5.129624707909271e-11,1.8705433567676507e-10
0.0001425015219259,2.6946372809811117e-10,5.801451204755076e-11,2.1144921605056042e-10
0.0001515567750783,3.0462826786661937e-10,6.56112125173403e-11,2.3901705534927906e-10
0.0001611874439074,3.44369760692202e-10,7.420247106386016e-11,2.7016728962834184e-10
0.0001714300931778,3.892815436702384e-10,8.391860150323685e-11,3.0536294216700153e-10
0.0001823236111606,4.4003339683744846e-10,9.490699904114554e-11,3.451263977963029e-10
0.0001939093572805,4.973812973580914e-10,1.0733114110212495e-10,3.9005015625596646e-10
0.000206231319145,5.621783989256977e-10,1.2137994431455514e-10,4.407984546111425e-10
0.0002193362795524,6.353873908290252e-10,1.3726569337369094e-10,4.981216974553342e-10
0.0002332739941117,7.180943992391254e-10,1.5522857323858297e-10,5.628658260005424e-10
0.0002480973801501,8.115246239129535e-10,1.755402501737316e-10,6.359843737392219e-10
0.0002638627176241,9.17059916985792e-10,1.9850627267595834e-10,7.185536443098337e-10
0.0002806298627977,1.0362585394864768e-09,2.2447282938330172e-10,8.11785710103175e-10
0.0002984624754985,1.1708773570195035e-09,2.5383112260053515e-10,9.170462344189683e-10
0.0003174282608152,1.3228967644535041e-09,2.870231933303606e-10,1.0358735711231434e-09
0.0003375992261536,1.4945486645794863e-09,3.245484943855026e-10,1.1700001701939838e-09
0.0003590519546268,1.6883478599409195e-09,3.669713064790187e-10,1.3213765534619008e-09
0.0003818678958189,1.9071272553115308e-09,4.149291039881593e-10,1.4921981513233714e-09
0.0004061336750239,2.1540773191049084e-09,4.691419902900282e-10,1.6849353288148802e-09
0.000431941422137,2.4327902862349647e-09,5.30423337361471e-10,1.902366948873494e-09
0.0004593891214431,2.7473096551880636e-09,5.99691780852256e-10,2.1476178743358077e-09
0.0004885809836348,3.1021855679276234e-09,6.779847403282197e-10,2.4242008275994037e-09
0.0005196278414683,3.5025367447460883e-09,7.664736549777492e-10,2.736063089768339e-09
0.000552647570563,3.95411969422138e-09,8.664837046429493e-10,3.0876359895784307e-09
0.0005877655369391,4.463406002622465e-09,9.795113832499535e-10,3.4838946193725115e-09
0.0006251150729957,5.0376685847022e-09,1.1072395202448834e-09,3.930429064457317e-09
0.0006648379837331,5.685077850363965e-09,1.2515712251650732e-09,4.433506625198892e-09
0.0007070850851445,6.414808846340141e-09,1.4146541756954448e-09,5.0001546706446966e-09
0.000752016776819,7.237160517369705e-09,1.5989116757062461e-09,5.638248841663458e-09
0.0007998036509307,8.163688351955566e-09,1.8070775804811202e-09,6.356610771474446e-09
0.0008506271399262,9.207351716567626e-09,2.0422356408863648e-09,7.165116075681261e-09
0.0009046802053693,1.0382677436774269e-08,2.3078816710184685e-09,8.0747957657558e-09
0.0009621680705579,1.1705941110083891e-08,2.607929265932182e-09,9.098011844151708e-09
0.0010233089996959,1.3195367912786862e-08,2.9468022026209438e-09,1.0248565710165918e-08
0.0010883351265767,1.4871354747604564e-08,3.329486661376347e-09,1.1541868086228216e-08
