time_s,cell,z_m,concentration_mol_m3,loading_mol_kg
0.0,0,0.00017794961,0.0,0.0
0.0,1,0.00053384883,0.0,0.0
0.0,2,0.00088974805,0.0,0.0
0.0,3,0.0012456472700000001,0.0,0.0
0.0,4,0.00160154649,0.0,0.0
0.0,5,0.00195744571,0.0,0.0
0.0,6,0.00231334493,0.0,0.0
0.0,7,0.00266924415,0.0,0.0
0.0,8,0.00302514337,0.0,0.0
0.0,9,0.00338104259,0.0,0.0
0.0,10,0.00373694181,0.0,0.0
0.0,11,0.00409284103,0.0,0.0
0.0,12,0.00444874025,0.0,0.0
0.0,13,0.00480463947,0.0,0.0
0.0,14,0.00516053869,0.0,0.0
0.0,15,0.00551643791,0.0,0.0
0.0,16,0.00587233713,0.0,0.0
0.0,17,0.00622823635,0.0,0.0
0.0,18,0.00658413557,0.0,0.0
0.0,19,0.00694003479,0.0,0.0
0.0,20,0.00729593401,0.0,0.0
0.0,21,0.00765183323,0.0,0.0
0.0,22,0.00800773245,0.0,0.0
0.0,23,0.00836363167,0.0,0.0
0.0,24,0.00871953089,0.0,0.0
0.0,25,0.00907543011,0.0,0.0
0.0,26,0.00943132933,0.0,0.0
0.0,27,0.00978722855,0.0,0.0
0.0,28,0.01014312777,0.0,0.0
0.0,29,0.01049902699,0.0,0.0
0.0,30,0.010854926210000001,0.0,0.0
0.0,31,0.01121082543,0.0,0.0
0.0,32,0.01156672465,0.0,0.0
0.0,33,0.01192262387,0.0,0.0
0.0,34,0.01227852309,0.0,0.0
0.0,35,0.01263442231,0.0,0.0
0.0,36,0.01299032153,0.0,0.0
0.0,37,0.01334622075,0.0,0.0
0.0,38,0.013702119970000001,0.0,0.0
0.0,39,0.01405801919,0.0,0.0
0.0,40,0.01441391841,0.0,0.0
0.0,41,0.01476981763,0.0,0.0
0.0,42,0.01512571685,0.0,0.0
0.0,43,0.01548161607,0.0,0.0
0.0,44,0.01583751529,0.0,0.0
0.0,45,0.01619341451,0.0,0.0
0.0,46,0.01654931373,0.0,0.0
0.0,47,0.01690521295,0.0,0.0
0.0,48,0.01726111217,0.0,0.0
0.0,49,0.01761701139,0.0,0.0
0.0,50,0.01797291061,0.0,0.0
0.0,51,0.01832880983,0.0,0.0
0.0,52,0.01868470905,0.0,0.0
0.0,53,0.01904060827,0.0,0.0
0.0,54,0.01939650749,0.0,0.0
0.0,55,0.01975240671,0.0,0.0
0.0,56,0.02010830593,0.0,0.0
0.0,57,0.02046420515,0.0,0.0
0.0,58,0.020820104370000002,0.0,0.0
0.0,59,0.02117600359,0.0,0.0
0.0,60,0.02153190281,0.0,0.0
0.0,61,0.02188780203,0.0,0.0
0.0,62,0.02224370125,0.0,0.0
0.0,63,0.02259960047,0.0,0.0
0.0,64,0.02295549969,0.0,0.0
0.0,65,0.02331139891,0.0,0.0
0.0,66,0.02366729813,0.0,0.0
0.0,67,0.02402319735,0.0,0.0
0.0,68,0.02437909657,0.0,0.0
0.0,69,0.02473499579,0.0,0.0
0.0,70,0.02509089501,0.0,0.0
0.0,71,0.02544679423,0.0,0.0
0.0,72,0.02580269345,0.0,0.0
0.0,73,0.02615859267,0.0,0.0
0.0,74,0.026514491890000002,0.0,0.0
0.0,75,0.02687039111,0.0,0.0
0.0,76,0.02722629033,0.0,0.0
0.0,77,0.02758218955,0.0,0.0
0.0,78,0.02793808877,0.0,0.0
0.0,79,0.02829398799,0.0,0.0
0.0,80,0.02864988721,0.0,0.0
0.0,81,0.02900578643,0.0,0.0
0.0,82,0.02936168565,0.0,0.0
0.0,83,0.02971758487,0.0,0.0
0.0,84,0.03007348409,0.0,0.0
0.0,85,0.03042938331,0.0,0.0
0.0,86,0.03078528253,0.0,0.0
0.0,87,0.03114118175,0.0,0.0
0.0,88,0.03149708097,0.0,0.0
0.0,89,0.03185298019,0.0,0.0
0.0,90,0.03220887941,0.0,0.0
0.0,91,0.03256477863,0.0,0.0
0.0,92,0.03292067785,0.0,0.0
0.0,93,0.03327657707,0.0,0.0
0.0,94,0.03363247629,0.0,0.0
0.0,95,0.03398837551,0.0,0.0
0.0,96,0.03434427473,0.0,0.0
0.0,97,0.03470017395,0.0,0.0
0.0,98,0.03505607317,0.0,0.0
0.0,99,0.03541197239,0.0,0.0
5e-05,0,0.00017794961,0.004478727097209342,6.443343202415138e-10
5e-05,1,0.00053384883,9.484493894732212e-07,1.4525407398939102e-13
5e-05,2,0.00088974805,2.136404600269887e-10,4.142135162741871e-17
5e-05,3,0.0012456472700000001,6.091837180094712e-14,1.269462960106952e-20
5e-05,4,0.00160154649,1.8671170038899892e-17,3.650687753939939e-24
5e-05,5,0.00195744571,5.370355865068745e-21,8.568387196324806e-28
5e-05,6,0.00231334493,1.261042172655912e-24,8.194185783450357e-32
