time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,inventory_change_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg
0.0,0.1474735646482234,4.780273194505977e-07,0.0,4.780273194505977e-07,0.0,0.0,0.0,0.0,0.0
1e-05,0.14748172918566965,4.780537843425213e-07,3.844239653306335e-11,4.780922267390543e-07,6.490728845655443e-11,6.490728845662125e-11,6.682068385779927e-23,1.0294788990061844e-12,6.0556417261426145e-09
1.0969857978923841e-05,0.14748252077307553,4.78056350228866e-07,4.217086614125756e-11,4.780985210950072e-07,7.120164440940352e-11,7.120164440947339e-11,6.987091236658856e-23,9.813103748667385e-13,6.642969212726768e-09
1.2033778407775906e-05,0.14748338908104305,4.780591648006245e-07,4.6260965318312165e-11,4.781054257659428e-07,7.810631534508569e-11,7.810631534506881e-11,-1.687965437491022e-23,2.1611126194256273e-13,7.2872624273636585e-09
1.3200884008314168e-05,0.14748434153978154,4.780622521424049e-07,5.074777126056849e-11,4.781129999136654e-07,8.568046306764949e-11,8.568046306766676e-11,1.7267395287044453e-23,2.0153246923289156e-13,7.994046908338027e-09
1.448118227674533e-05,0.1474853862979746,4.780656386677099e-07,5.566976402122139e-11,4.781213084317311e-07,9.398898113338231e-11,9.398898113341364e-11,3.1329465700445923e-23,3.3333126205480394e-13,8.76938422924481e-09
1.588565129428053e-05,0.14748653229202677,4.780693533433954e-07,6.106915671533608e-11,4.781304225001108e-07,1.0310304951307748e-10,1.0310304951303373e-10,-4.375009958581248e-23,4.243337107139907e-13,9.619924014562015e-09
1.742633386009651e-05,0.14748778932193699,4.780734279356106e-07,6.699225778586839e-11,4.781404201933964e-07,1.131007427986924e-10,1.1310074279864891e-10,-4.349160564438966e-23,3.845386384579296e-13,1.0552961005635817e-08
1.9116440753857038e-05,0.1474891681344252,4.780778972792474e-07,7.348986844741948e-11,4.781513871476948e-07,1.2406769709708283e-10,1.240676970970643e-10,-1.8534015600016276e-23,1.4938631113232827e-13,1.1576497668041252e-08
2.0970464013232308e-05,0.1474906805139937,4.780827995731117e-07,8.061771872821392e-11,4.781634172918399e-07,1.360978412421584e-10,1.360978412421832e-10,2.4789568982448548e-23,1.821452034520962e-13,1.2699312879131231e-08
2.3004301197729168e-05,0.14749233938266706,4.780881767032241e-07,8.843694586428046e-11,4.781766136490884e-07,1.4929419849078773e-10,1.492941984907276e-10,-6.01256907749482e-23,4.027329352564111e-13,1.3931037287119848e-08
2.523539170434766e-05,0.14749415890922216,4.780940745968831e-07,9.7014619166073e-11,4.781910892160491e-07,1.637697654513799e-10,1.6376976545137574e-10,-4.1617524569074205e-24,2.5412214797016147e-14,1.5282235990740712e-08
2.7682866303920665e-05,0.14749615462879032,4.781005436103487e-07,1.0642431587985334e-10,4.782069679262286e-07,1.7964847563083353e-10,1.7964847563090288e-10,6.935392448374291e-23,3.8605350944493484e-13,1.6764499251859375e-08
3.0367711180354606e-05,0.14749834357379543,4.781076389532715e-07,1.1674675300800676e-10,4.782243857062796e-07,1.970662556817624e-10,1.9706625568183132e-10,6.891448478332412e-23,3.497021067604206e-13,1.8390542023021345e-08
3.33129478793467e-05,0.1475007444172723,4.781154211532501e-07,1.280704805373755e-10,4.782434916337875e-07,2.161721831897572e-10,2.1617218318974315e-10,-1.406207041340147e-23,6.505032333904729e-14,2.0174313148303236e-08
3.654383070957255e-05,0.147503377629703,4.781239565642088e-07,1.4049264205784925e-10,4.782644492062666e-07,2.371297556688515e-10,2.3712975566892507e-10,7.35673757289349e-23,3.102410134966272e-13,2.213111517981981e-08
4.008806328898465e-05,0.1475062656506063,4.781333179225932e-07,1.5411980933876972e-10,4.78287437731932e-07,2.601182813342099e-10,2.6011828133424596e-10,3.608575422262583e-23,1.3872825099999977e-13,2.4277735844441823e-08
4.3976036093027215e-05,0.14750943307621822,4.781435849557286e-07,1.6906889807443353e-10,4.783126538538031e-07,2.8533440320526247e-10,2.8533440320533774e-10,7.527343574232552e-23,2.638077809641336e-13,2.66325922966829e-08
4.824108704165374e-05,0.14751290686471638,4.781548450470411e-07,1.8546817271671458e-10,4.783403132197578e-07,3.1299376916001294e-10,3.129937691600587e-10,4.5753427631839343e-23,1.4617999506706463e-13,2.9215889405042347e-08
5.2919787359584364e-05,0.14751671656055648,4.78167193963233e-07,2.0345834909024885e-10,4.783706523123233e-07,3.433328617256012e-10,3.4333286172555936e-10,-4.182431972221246e-23,1.218185742896913e-13,3.204979344155424e-08
5.8052255160948955e-05,0.14752089453961906,4.781807366489121e-07,2.231938043400223e-10,4.784039304532521e-07,3.766110026543756e-10,3.7661100265438527e-10,9.667673409213511e-24,2.56701831361138e-14,3.515862267888236e-08
6.368249944718586e-05,0.14752547627699508,4.781955880946034e-07,2.448439047006439e-10,4.784404319993041e-07,4.131125487063507e-10,4.1311254870640907e-10,5.836793197327302e-23,1.4128820863961205e-13,3.8569056547285825e-08
6.985879746785249e-05,0.14753050063938314,4.782118742845388e-07,2.685944626102656e-10,4.784804687471491e-07,4.531492965514525e-10,4.5314929655133887e-10,-1.1363393664947218e-22,2.50764896942899e-13,4.231036516661115e-08
7.663410868007462e-05,0.14753601020421592,4.782297332310872e-07,2.946493358286917e-10,4.785243825669159e-07,4.970631163181789e-10,4.970631163181357e-10,-4.311678942932657e-23,8.674308757547553e-14,4.641466124750598e-08
8.406652885618316e-05,0.147542051607788,4.782493161031916e-07,3.2323218247013576e-10,4.785725482856618e-07,5.452288350639614e-10,5.452288350640433e-10,8.189088064274974e-23,1.5019543240615792e-13,5.091717655310082e-08
9.221978823334323e-05,0.1475486759248164,4.782707884566933e-07,3.5458838723785325e-10,4.786253768439312e-07,5.980573933334638e-10,5.980573933334982e-10,3.4431392997519777e-23,5.757205475816198e-14,5.585656532928051e-08
