time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,inventory_change_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg
0.0,0.26044078436265317,8.442042499037814e-07,0.0,8.442042499037814e-07,0.0,0.0,0.0,0.0,0.0
1e-05,0.2604727860361521,8.443079815402758e-07,6.303173081002697e-11,8.443710132710858e-07,1.6676336730446612e-10,1.6676336730444696e-10,-1.9154401059431047e-23,1.1485976428180502e-13,9.929078662822173e-09
1.0969857978923841e-05,0.2604758773073408,8.443180017231035e-07,6.914526863523498e-11,8.443871469917388e-07,1.8289708795747894e-10,1.8289708795740271e-10,-7.622986332558996e-23,4.167910171610406e-13,1.0892114219589286e-08
1.2033778407775906e-05,0.26047926592300763,8.443289857314425e-07,7.585180484097458e-11,8.444048375362834e-07,2.0058763250213046e-10,2.0058763250208075e-10,-4.9708384935608507e-23,2.4781380743940207e-13,1.194856189580097e-08
1.3200884008314168e-05,0.2604829802400592,8.443410254826209e-07,8.320886644029461e-11,8.444242343490612e-07,2.1998444528003282e-10,2.199844452798002e-10,-2.3261869788639675e-22,1.0574324816024194e-12,1.310748363899474e-08
1.448118227674533e-05,0.26048705127388966,8.443542215113058e-07,9.127956269891412e-11,8.444455010740047e-07,2.4125117022347567e-10,2.4125117022338655e-10,-8.912871100258873e-23,3.694436421594435e-13,1.4378820741526439e-08
1.588565129428053e-05,0.26049151293941614,8.443686837508061e-07,1.0013312712867493e-10,8.444688168779348e-07,2.6456697415344223e-10,2.645669741534517e-10,9.460878256075254e-24,3.575986113288593e-14,1.5773479218134147e-08
1.742633386009651e-05,0.2604964023126246,8.443845323808586e-07,1.0984551216580874e-10,8.444943778930245e-07,2.901279892431498e-10,2.9012798924310415e-10,-4.5650030055270215e-23,1.5734445399203433e-13,1.73034234826819e-08
1.9116440753857038e-05,0.26050175991418484,8.444018987469503e-07,1.2050004166742395e-10,8.445223987886177e-07,3.181488848363423e-10,3.181488848363428e-10,5.169878828456423e-25,1.6249872543528894e-15,1.8981779132723293e-08
2.0970464013232308e-05,0.2605076300167839,8.444209263565224e-07,1.3218812686220024e-10,8.445531144833847e-07,3.4886457960340655e-10,3.4886457960329297e-10,-1.1358223786118761e-22,3.255768699427992e-13,2.0822945729694475e-08
2.3004301197729168e-05,0.26051406097713,8.444417719551424e-07,1.4501005194514674e-10,8.445867820070876e-07,3.8253210330619916e-10,3.8253210330623653e-10,3.737822392973994e-23,9.771264583201989e-14,2.2842720549794073e-08
2.523539170434766e-05,0.26052110559893454,8.444646067030907e-07,1.5907583610249598e-10,8.446236825391932e-07,4.194326354118089e-10,4.194326354118279e-10,1.9025154088719637e-23,4.5359260301810864e-14,2.5058434374526643e-08
2.7682866303920665e-05,0.2605288215200088,8.444896174301115e-07,1.7450617944686147e-10,8.446641236095584e-07,4.5987370577711866e-10,4.598737057770293e-10,-8.933550615572699e-23,1.9426095693982584e-13,2.7489100499217404e-08
3.0367711180354606e-05,0.2605372716341123,8.445170080028124e-07,1.9143350104088e-10,8.447084415038533e-07,5.041916000719798e-10,5.041916000719091e-10,-7.072394237328387e-23,1.4027195685764523e-13,3.015557824777324e-08
3.33129478793467e-05,0.260546524549244,8.445470008101881e-07,2.1000307801219567e-10,8.447570038882004e-07,5.527539844189151e-10,5.527539844190136e-10,9.853789047037942e-23,1.7826717354909748e-13,3.3080752411865744e-08
3.654383070957255e-05,0.2605566550759917,8.44579838346579e-07,2.3037429566645958e-10,8.448102126422455e-07,6.059627384643617e-10,6.059627384641486e-10,-2.1310240530897375e-22,3.5167575790059387e-13,3.628973017508595e-08
4.008806328898465e-05,0.2605677447633777,8.446157849485842e-07,2.527220194317285e-10,8.448685069680159e-07,6.642570642346835e-10,6.642570642345229e-10,-1.605764364118565e-22,2.4173839475363784e-13,3.9810057228600354e-08
4.3976036093027215e-05,0.2605798824723706,8.446551286540679e-07,2.7723810059776743e-10,8.449323667546657e-07,7.281168508844627e-10,7.281168508843818e-10,-8.085690487705846e-23,1.1104935255768281e-13,4.367195496286042e-08
4.824108704165374e-05,0.2605931649988684,8.44698183221525e-07,3.041330289499584e-10,8.450023162504749e-07,7.980663466934785e-10,7.980663466935825e-10,1.0401796202854323e-22,1.3033748692636066e-13,4.790858079889712e-08
