seed,case_exists,nfinal,count_ok,max_speed_m_per_s,kinetic_energy_J,kinetic_energy_per_particle_J,settled,bed_height_m,porosity,porosity_deviation_from_median,porosity_matched,contact_count,mean_coordination,max_particle_overlap_m,max_normalized_overlap,bottom_penetration_m,radial_penetration_m,overlap_ok,dangerous_neighbor_builds,neighbor_ok,outputs_ok,analysis_ready,wall_time,error
18427,True,1850,True,1.752409835061707e-11,3.05966510927628e-26,1.6538730320412323e-29,True,0.036463100000000005,0.4588136133972883,-0.0010576482192759529,True,4078,4.408648648648649,1.2978624970001826e-06,0.0008111640606251142,1.059000000000086e-06,1.0270571703871467e-06,True,0,True,True,True,0:22:46,
27183,True,1850,True,4.239301553299505e-06,3.08345321864406e-17,1.6667314695373298e-20,True,0.0362953,0.4563116069206389,-0.003559654695925396,True,4109,4.4421621621621625,1.7545346080000915e-06,0.0010965841300000572,1.476000000000038e-06,1.0944563239839028e-06,True,0,True,True,True,0:22:52,
31991,True,1850,True,1.3009836540372057e-11,1.80438940773059e-26,9.753456258003188e-30,True,0.036516400000000004,0.4596035388665549,-0.0002677227500093582,True,4084,4.415135135135135,1.3191254730001052e-06,0.0008244534206250658,1.0809999999999986e-06,1.135544065253985e-06,True,0,True,True,True,0:27:17,
40213,True,1850,True,6.332189530367833e-11,2.76216860833173e-26,1.493064112611746e-29,True,0.0363783,0.4575520754589044,-0.0023191861576598582,True,4080,4.410810810810811,1.4097450700000132e-06,0.0008810906687500082,1.1710000000000062e-06,1.3793539085267537e-06,True,0,True,True,True,0:22:44,
47837,True,1850,True,1.8004682037317656e-11,2.56317863758747e-26,1.3855019662634973e-29,True,0.036717200000000005,0.46255887340719515,0.0026876117906308727,True,4089,4.42054054054054,1.4699160810001562e-06,0.0009186975506250976,1.616000000000074e-06,1.045652577131087e-06,True,0,True,True,True,0:22:42,
52691,True,1850,True,6.507368566284725e-08,7.26541652242614e-21,3.9272521742844005e-24,True,0.036704400000000005,0.46237145047096984,0.0025001888544055606,True,4091,4.422702702702702,1.4137246180001735e-06,0.0008835778862501084,1.0760000000000283e-06,1.1520793897976112e-06,True,0,True,True,True,0:22:36,
61417,True,1850,True,1.9428993588821032e-05,6.47661458582789e-16,3.5008727490961567e-19,True,0.0365365,0.4599008297638433,2.9568147279002144e-05,True,4094,4.425945945945946,1.636010669999995e-06,0.0010225066687499969,1.5430000000000088e-06,1.0411493963843887e-06,True,0,True,True,True,0:22:43,
69371,True,1850,True,1.7502392418021027e-11,2.95763018162486e-26,1.598719017094519e-29,True,0.0365325,0.4598416934692853,-2.9568147279002144e-05,True,4013,4.338378378378378,1.7885983830000143e-06,0.001117873989375009,1.334000000000079e-06,1.2625965520804416e-06,True,0,True,True,True,0:22:20,
74167,True,1850,True,6.865544677336387e-05,8.08723310402864e-15,4.3714773535289945e-18,True,0.037335600000000004,0.4714606613169914,0.011589399700427105,False,4121,4.455135135135135,1.328499256000133e-06,0.0008303120350000831,1.1510000000000166e-06,1.1476523190390164e-06,True,0,True,True,True,0:22:54,
81929,True,1850,True,1.768452071807387e-11,1.62426267873564e-26,8.779798263435892e-30,True,0.0363681,0.45739993749100616,-0.0024713241255581164,True,4170,4.508108108108108,1.5489572200001831e-06,0.0009680982625001144,1.3210000000000912e-06,1.1537875884860133e-06,True,0,True,True,True,0:22:27,
90709,True,1850,True,1.3805730728601195e-05,4.48213362995517e-16,2.4227749351109025e-19,True,0.036984800000000005,0.4664474775222974,0.0065762159057331515,False,4114,4.447567567567567,1.5008141620001698e-06,0.0009380088512501062,1.283000000000035e-06,1.2093506924232972e-06,True,0,True,True,True,0:23:22,
98251,True,1850,True,2.5286679087159198e-05,1.62436387557451e-15,8.780345273375729e-19,True,0.0361982,0.4548531879117377,-0.005018073704826598,False,4116,4.44972972972973,1.878116892000065e-06,0.0011738230575000406,1.172000000000022e-06,1.5473818131619965e-06,True,0,True,True,True,0:23:02,
105019,True,1850,True,7.607562270697498e-09,9.93207837149195e-23,5.36869101161727e-26,True,0.036612200000000004,0.4610175478847669,0.0011462862682026231,True,4111,4.444324324324325,1.4480331889999733e-06,0.0009050207431249833,1.2270000000000206e-06,1.1946744967253342e-06,True,0,True,True,True,0:22:07,
113117,True,1850,True,1.8590499740848817e-11,2.22794231540248e-26,1.2042931434607999e-29,True,0.0365954,0.4607701150053466,0.0008988533887823169,True,4089,4.42054054054054,1.303733391000081e-06,0.0008148333693750506,1.2090000000000625e-06,9.383069152872625e-07,True,0,True,True,True,0:22:05,
121021,True,1850,True,2.049025105179534e-11,2.38999055591187e-26,1.2918867869793892e-29,True,0.036575500000000004,0.4604767307806227,0.0006054691640584031,True,4123,4.4572972972972975,1.811357064000112e-06,0.00113209816500007,1.4799999999999926e-06,1.0816217079490098e-06,True,0,True,True,True,0:22:09,
129121,True,1850,True,5.985976317510787e-05,6.14757944081343e-15,3.323015913953205e-18,True,0.036439900000000004,0.4584690590991376,-0.0014022025174266761,True,4131,4.465945945945946,1.4472119140001433e-06,0.0009045074462500895,1.1219999999999937e-06,1.2482795276550634e-06,True,0,True,True,True,0:23:23,
137077,True,1850,True,1.789725082053107e-11,2.59155531927264e-26,1.400840713120346e-29,True,0.036068,0.45288529074710726,-0.006985970869457014,False,4115,4.448648648648649,1.4804516030001054e-06,0.0009252822518750659,1.0170000000000751e-06,1.1315803299279115e-06,True,0,True,True,True,0:22:33,
145093,True,1850,True,1.7506153652673106e-11,2.80283123275542e-26,1.5150439095975244e-29,True,0.036641,0.4614411906516378,0.001569929035073525,True,4130,4.464864864864865,1.5480554500001478e-06,0.0009675346562500924,1.2500000000000575e-06,1.0319960961156088e-06,True,0,True,True,True,0:22:26,
153133,True,1850,True,6.5772180264109536e-06,7.42221517980293e-17,4.012008205298881e-20,True,0.0366355,0.4613603381055714,0.0014890764890071462,True,4012,4.337297297297297,1.3013890959999875e-06,0.0008133681849999922,9.66000000000031e-07,9.210467828354996e-07,True,0,True,True,True,0:22:42,
161123,True,1850,True,1.7528980136131707e-11,2.6663659058771e-26,1.4412788680416757e-29,True,0.036407300000000004,0.45798415885458865,-0.001887102761975623,True,4091,4.422702702702702,1.4929266739999777e-06,0.000933079171249986,1.0030000000000715e-06,1.1394345617275758e-06,True,0,True,True,True,0:22:44,
