throat_id,pore_1,pore_2,particle_1,particle_2,particle_3,x_m,y_m,z_m,length_m,radius_m,area_m2
0,0,327,806,1026,833,-0.0060987414944176565,0.0028920151842954543,0.017045578650391895,0.000538456068839503,0.0002757582980246442,2.388949958203366e-07
1,0,2243,1014,1026,833,-0.006411159672021832,0.002478952598262646,0.016707998222468233,0.0012840796653323828,0.00018256683940335282,1.0471132784887696e-07
2,0,11,1014,806,833,-0.005923166617569928,0.002993217453652248,0.016625158015366577,0.0007308308517635495,0.00021762019160909607,1.4878126584053088e-07
3,1,2942,159,16,215,0.0047911410196953,-0.001712274960914243,0.0020686873543663774,0.0006681064305801072,0.0002393477731903532,1.7997353842193674e-07
4,1,145,147,16,215,0.004872421984900995,-0.0015893292090095631,0.001248700179164719,0.0015022753026876444,0.00013431430891947134,5.6675379444855736e-08
5,1,621,147,159,215,0.00533182462191998,-0.0016512524853608537,0.0018357713072704477,0.0004724375840404216,0.00034551214865678216,3.7503907371729463e-07
6,1,32,147,159,16,0.005266458163342966,-0.001411756687025984,0.0018753099536905694,0.0001484076368788303,0.0003434479164110344,3.705711836388686e-07
7,2,3,1735,1763,1804,0.0057313731929030595,-0.003799107991911419,0.033940569820524936,0.0009611979757722725,0.00028727280903966446,2.5926202859401473e-07
8,2,6955,1735,1708,1804,0.005630291723809023,-0.0036815444820676663,0.03333230587793539,0.000981763221677488,0.00014209774433223776,6.343431297842686e-08
9,2,3206,1735,1708,1763,0.005198489758886857,-0.004083108435792417,0.03372288563922485,0.001160363600991495,0.00013146635492356667,5.4297410250430755e-08
10,3,60,1735,1776,1804,0.005728418159014847,-0.002699843049280714,0.03395577181154016,0.0014931521415778718,0.00025685527189870706,2.072654151372015e-07
11,4,1045,871,1064,1133,-0.004109767484137539,-0.005479505870491865,0.020684363378072404,0.0005555128099291688,0.00046948790646068135,6.924663790855827e-07
12,4,67,1077,1064,1133,-0.003769554157634958,-0.005319949344728908,0.021041733343834926,0.0010231276131318534,0.0003668404368756857,4.2277011166861064e-07
13,4,69,1077,871,1133,-0.004425979770115478,-0.005015128686250186,0.02105410253429768,0.0007449469525253233,0.000292967047994355,2.6964192736687117e-07
14,5,100,1733,1752,1746,-0.0006175349322857922,-0.006778418692839317,0.03328020573578563,0.00165177077823768,0.00022764458272790482,1.6280379056602748e-07
15,5,101,1647,1733,1752,-0.001024463341171099,-0.006669661108201655,0.03320313485075914,0.0015778471613086486,0.0002276478944213163,1.6280852742517736e-07
16,6,721,934,1125,960,-0.002148414413175783,-0.004362763143147921,0.0201256167641211,0.0006618843757012001,0.0003066320144281962,2.9538257010969796e-07
17,6,1545,1017,1125,960,-0.0020826655855839165,-0.004771464229270995,0.019714064880906598,0.0007702783433683627,0.0002712051057306744,2.3107108062587023e-07
18,6,5322,1017,934,960,-0.0021569199212733733,-0.00441277128216598,0.019661315507618835,0.0003066417719093599,0.0003075776398526476,2.9720724565463567e-07
19,6,7,1017,934,1125,-0.0024747073916615864,-0.004446433589909167,0.02009611090959091,0.0006472124359687822,0.00028643343031102065,2.577491732454908e-07
20,7,65,934,1125,1133,-0.002719383076097442,-0.004409984375814457,0.02031432408206448,0.00023554114833389337,0.0003309220816452473,3.4403400231557203e-07
21,7,8,1017,1125,1133,-0.0030084908420729742,-0.004833849523345333,0.02034706475833522,0.0011490352580776316,0.00021548733633841414,1.458792018021507e-07
22,7,88,1017,934,1133,-0.003145222585340406,-0.004185558890668605,0.019898248963153065,0.0010693516104967177,0.0001497991237891271,7.049664010445972e-08
23,8,66,1125,1064,1133,-0.0033179337598064395,-0.00527762453449776,0.020766192299483413,0.0008038012537909757,0.0003535048791698088,3.925913238042079e-07
24,8,1046,1017,1064,1133,-0.0033833302083980765,-0.005369551060622684,0.020426444355873822,0.0006668798775242026,0.0004055953521140029,5.168158351245681e-07
25,8,374,1017,1125,1064,-0.00318681201572897,-0.005670495552757971,0.02020149464986495,0.0008225028737908318,0.0003286265863538786,3.3927765974647466e-07
26,9,2171,1014,756,833,-0.005694888433633061,0.0022655907652709916,0.015576975248411121,0.00032479166320061926,0.00033688128961283906,3.5653621900289175e-07
27,9,356,991,756,833,-0.005309448774708698,0.0021380129230186137,0.015644925416324732,0.0005627728706326311,0.0002614952784072486,2.1482141647904164e-07
28,9,11,991,1014,833,-0.005686226370458722,0.002723813148104544,0.016043726165756274,0.001163571039335254,0.00013556321975245712,5.773426257656968e-08
29,9,455,991,1014,756,-0.0057552643316603255,0.002540322298689307,0.015292914873896708,0.0007276439940030663,0.00026639000683931766,2.2293883672490657e-07
30,10,76,991,806,925,-0.005705977732221168,0.0038663191590461955,0.015897649352223476,0.00038551575395336167,0.00028493035563189456,2.5505116581155094e-07
31,10,454,991,1014,925,-0.005849285204674795,0.0034357489661684974,0.015455134892456758,0.0010081674346512361,0.00017294435942397253,9.396425544665126e-08
32,10,11,991,1014,806,-0.005754602349482187,0.0033812245540115983,0.016168132503576217,0.000868373056036477,0.0001934938082179138,1.1762076970821198e-07
33,11,329,991,806,833,-0.005564062058531355,0.0031019933071100847,0.01650583014457622,0.000440266334249944,0.0002582816900884103,2.0957385972111437e-07
34,12,13,1764,1653,1752,-0.000490496631994932,-0.006986373346293505,0.03134817737498902,0.0005117871394811102,0.00024135580059137993,1.830060108326989e-07
35,12,14,1764,1474,1752,-0.0009764740889429725,-0.006703828295746727,0.031561675397632036,0.001368931968423941,0.0001238611389321561,4.8197000481200004e-08
36,12,27,1764,1474,1653,-0.0007891089476715132,-0.006715458796135313,0.030904903678438726,0.0010215283186057755,0.00012485287819587925,4.897190401681234e-08
37,13,99,1764,1549,1752,-2.392469546099867e-05,-0.006791297429504116,0.03170494391760856,0.0012429630482117245,0.00024222841799416926,1.8433171268227445e-07
38,13,1535,1764,1549,1653,0.00011191697110754777,-0.006698931307030826,0.031157076048771184,0.0007224347036209923,0.00018785616933976186,1.1086661737748551e-07
39,14,102,1764,1647,1752,-0.0013651553664106913,-0.006094649866135325,0.03219402340617651,0.000343963105274813,0.0004300605250558918,5.810440179183088e-07
40,14,29,1764,1647,1474,-0.001385847377837972,-0.00640548465925137,0.03206612266000173,0.00033519163824572573,0.00043849045031835166,6.040461932413018e-07
41,15,427,1735,1775,1834,0.0033747628313550862,-0.0026670581556217064,0.03472338838329837,0.0004150770669224185,0.001129395644625445,4.00720988402615e-06
42,15,223,1832,1775,1834,0.003281348269134863,-0.0025547323630661645,0.035141898325700145,0.0003070227258464229,0.001233822286444077,4.782501268738826e-06
43,16,883,1751,1697,1796,0.006332944250178779,0.0001722888283411468,0.03352740929780557,9.370332754740583e-05,0.0005585828898998939,9.802235445139802e-07
44,16,111,1751,1668,1796,0.006109707901800977,-8.02627273581674e-06,0.03330535316598334,0.0001935147249046461,0.0006051652435485017,1.150529681593555e-06
45,16,17,1751,1668,1697,0.006462149458492051,0.0007743303164222846,0.03303065810811661,0.0014556038871338106,0.0002667534156829556,2.2354751726887227e-07
46,17,18,1751,1697,1782,0.006711641249678529,0.0011995585538850336,0.03297044893509405,0.0002310154344101046,0.0003893315477710857,4.761996427666972e-07
47,17,20,1751,1668,1782,0.006472630615540738,0.0014949178858413143,0.033542411263943764,0.001158700985510959,0.00012372362037256263,4.8090037106970326e-08
48,18,19,1751,1659,1782,0.0062515445300730995,0.0017375042186645023,0.03258232584184912,0.0006585170406958786,0.00030812756022145055,2.982709538377461e-07
49,18,1327,1751,1659,1697,0.006514105805514664,0.0012544644540051684,0.03254065604098349,0.00068101661875535,0.00043194457479261365,5.861461543957313e-07
50,19,36,1810,1659,1782,0.006279957875747717,0.0023242811929765116,0.03250961802224664,0.001074479337490175,0.00018138110437404726,1.0335558665291732e-07
