pore_id,particle_index,particle_id
0,80,81
0,113,114
0,122,123
0,150,151
1,113,114
1,122,123
1,132,133
1,150,151
2,122,123
2,132,133
2,150,151
2,388,389
3,20,21
3,85,86
3,132,133
3,150,151
4,20,21
4,113,114
4,132,133
4,150,151
5,31,32
5,80,81
5,111,112
5,156,157
6,0,1
6,31,32
6,111,112
6,156,157
7,52,53
7,86,87
7,145,146
7,151,152
8,52,53
8,86,87
8,151,152
8,384,385
9,1685,1686
9,1828,1829
9,1834,1835
9,1836,1837
10,1667,1668
10,1740,1741
10,1828,1829
10,1834,1835
11,1667,1668
11,1822,1823
11,1832,1833
11,1834,1835
12,1667,1668
12,1740,1741
12,1822,1823
12,1834,1835
13,85,86
13,132,133
13,150,151
13,278,279
14,132,133
14,150,151
14,278,279
14,388,389
15,314,315
15,481,482
15,500,501
15,626,627
16,314,315
16,481,482
16,500,501
16,655,656
17,314,315
17,481,482
17,507,508
17,655,656
18,481,482
18,500,501
18,584,585
18,655,656
19,481,482
19,507,508
19,655,656
19,671,672
20,294,295
20,481,482
20,500,501
20,584,585
21,481,482
21,595,596
21,655,656
21,671,672
22,481,482
22,584,585
22,595,596
22,655,656
23,314,315
23,481,482
23,549,550
23,626,627
24,314,315
24,481,482
24,507,508
24,549,550
25,584,585
25,595,596
25,655,656
25,812,813
26,51,52
26,52,53
26,151,152
26,384,385
27,113,114
27,122,123
27,132,133
27,142,143
28,122,123
28,132,133
28,142,143
28,388,389
29,80,81
29,113,114
29,122,123
29,142,143
30,80,81
30,111,112
30,122,123
30,142,143
31,31,32
31,80,81
31,111,112
31,142,143
32,1289,1290
32,1320,1321
32,1332,1333
32,1737,1738
33,269,270
33,324,325
33,379,380
33,387,388
34,333,334
34,359,360
34,387,388
34,411,412
35,247,248
35,333,334
35,366,367
35,410,411
36,463,464
36,527,528
36,610,611
36,875,876
37,463,464
37,556,557
37,813,814
37,837,838
38,463,464
38,556,557
38,813,814
38,1021,1022
39,1627,1628
39,1723,1724
39,1814,1815
39,1843,1844
40,1740,1741
40,1802,1803
40,1822,1823
40,1834,1835
41,1740,1741
41,1802,1803
41,1822,1823
41,1839,1840
42,1603,1604
42,1802,1803
42,1821,1822
42,1839,1840
43,1601,1602
43,1750,1751
43,1822,1823
43,1839,1840
44,1645,1646
44,1750,1751
44,1823,1824
44,1832,1833
45,1645,1646
45,1750,1751
45,1771,1772
45,1823,1824
46,1667,1668
46,1740,1741
46,1822,1823
46,1826,1827
47,1667,1668
47,1753,1754
47,1826,1827
47,1832,1833
48,1667,1668
48,1822,1823
48,1826,1827
48,1832,1833
49,1750,1751
49,1822,1823
49,1826,1827
49,1832,1833
50,1740,1741
50,1822,1823
50,1826,1827
50,1839,1840
51,1750,1751
51,1822,1823
51,1826,1827
51,1839,1840
52,1645,1646
52,1753,1754
52,1826,1827
52,1832,1833
53,1645,1646
53,1750,1751
53,1826,1827
53,1832,1833
54,1123,1124
54,1178,1179
54,1353,1354
54,1494,1495
55,1627,1628
55,1721,1722
55,1723,1724
55,1814,1815
56,3,4
56,36,37
56,50,51
56,176,177
57,1704,1705
57,1804,1805
57,1805,1806
57,1812,1813
58,1645,1646
58,1714,1715
58,1753,1754
58,1826,1827
59,1645,1646
59,1714,1715
59,1750,1751
59,1826,1827
60,1601,1602
60,1605,1606
60,1820,1821
60,1823,1824
61,1601,1602
61,1605,1606
61,1640,1641
61,1820,1821
62,1601,1602
62,1605,1606
62,1750,1751
62,1823,1824
63,463,464
63,527,528
63,574,575
63,610,611
64,463,464
64,556,557
64,574,575
64,837,838
65,98,99
65,111,112
65,122,123
65,142,143
66,98,99
66,142,143
66,165,166
66,388,389
67,98,99
67,122,123
67,142,143
67,388,389
68,614,615
68,679,680
68,692,693
68,788,789
69,1650,1651
69,1819,1820
69,1829,1830
69,1838,1839
70,1650,1651
70,1673,1674
70,1819,1820
70,1838,1839
71,1673,1674
71,1819,1820
71,1829,1830
71,1838,1839
72,1673,1674
72,1824,1825
72,1829,1830
72,1838,1839
73,1673,1674
73,1742,1743
73,1824,1825
73,1838,1839
74,507,508
74,655,656
74,671,672
74,744,745
75,595,596
75,655,656
75,671,672
75,744,745
76,482,483
76,646,647
76,744,745
76,871,872
77,314,315
77,507,508
77,646,647
77,655,656
78,507,508
78,646,647
78,655,656
78,744,745
79,314,315
79,646,647
79,655,656
79,871,872
80,646,647
80,655,656
80,744,745
80,871,872
81,294,295
81,542,543
81,573,574
81,584,585
82,294,295
82,481,482
82,542,543
82,584,585
83,481,482
83,542,543
83,584,585
83,595,596
84,481,482
84,542,543
84,595,596
84,671,672
85,676,677
85,702,703
85,812,813
85,871,872
86,655,656
86,702,703
86,812,813
86,871,872
87,584,585
87,655,656
87,702,703
87,812,813
88,584,585
88,601,602
88,702,703
88,812,813
89,1123,1124
89,1178,1179
89,1327,1328
89,1353,1354
90,470,471
90,500,501
90,584,585
90,601,602
91,51,52
91,143,144
91,151,152
91,384,385
92,80,81
92,87,88
92,113,114
92,142,143
93,31,32
93,80,81
93,87,88
93,142,143
94,5,6
94,66,67
94,145,146
94,192,193
95,5,6
95,66,67
95,94,95
95,192,193
96,256,257
96,481,482
96,549,550
96,626,627
97,256,257
97,481,482
97,500,501
97,626,627
98,256,257
98,481,482
98,507,508
98,549,550
99,66,67
99,94,95
99,173,174
99,192,193
100,1610,1611
100,1685,1686
100,1836,1837
100,1847,1848
101,1610,1611
101,1685,1686
101,1828,1829
101,1836,1837
102,1610,1611
102,1828,1829
102,1834,1835
102,1836,1837
103,1610,1611
103,1802,1803
103,1834,1835
103,1836,1837
104,315,316
104,505,506
104,514,515
104,525,526
105,573,574
105,584,585
105,593,594
105,601,602
106,234,235
106,269,270
106,324,325
106,423,424
107,269,270
107,324,325
107,387,388
107,423,424
108,269,270
108,387,388
108,411,412
108,423,424
109,333,334
109,387,388
109,411,412
109,423,424
110,89,90
110,91,92
110,169,170
110,385,386
111,89,90
111,91,92
111,384,385
111,385,386
112,89,90
112,91,92
112,163,164
112,227,228
113,98,99
113,111,112
113,172,173
113,187,188
114,98,99
114,111,112
114,142,143
114,172,173
115,20,21
115,67,68
115,85,86
115,132,133
116,67,68
116,85,86
116,132,133
116,278,279
117,50,51
117,67,68
117,85,86
117,278,279
118,50,51
118,67,68
118,85,86
118,176,177
119,3,4
119,50,51
119,67,68
119,176,177
120,69,70
120,70,71
120,131,132
120,278,279
121,69,70
121,70,71
121,278,279
121,388,389
122,70,71
122,132,133
122,278,279
122,388,389
123,50,51
123,70,71
123,131,132
123,278,279
124,463,464
124,689,690
124,813,814
124,1021,1022
125,1598,1599
125,1679,1680
125,1799,1800
125,1800,1801
126,1627,1628
126,1709,1710
126,1736,1737
126,1747,1748
127,1627,1628
127,1736,1737
127,1840,1841
127,1843,1844
128,1627,1628
128,1709,1710
128,1736,1737
128,1840,1841
129,1736,1737
129,1800,1801
129,1840,1841
129,1843,1844
130,1736,1737
130,1800,1801
130,1830,1831
130,1840,1841
131,1652,1653
131,1679,1680
131,1723,1724
131,1843,1844
132,1627,1628
132,1652,1653
132,1723,1724
132,1843,1844
133,1652,1653
133,1679,1680
133,1799,1800
133,1843,1844
134,1652,1653
134,1679,1680
134,1799,1800
134,1800,1801
135,1652,1653
135,1799,1800
135,1800,1801
135,1843,1844
136,1627,1628
136,1652,1653
136,1736,1737
136,1843,1844
137,1652,1653
137,1736,1737
137,1800,1801
137,1843,1844
138,1627,1628
138,1652,1653
138,1736,1737
138,1747,1748
139,1620,1621
139,1652,1653
139,1679,1680
139,1723,1724
140,1415,1416
140,1513,1514
140,1643,1644
140,1682,1683
141,1667,1668
141,1706,1707
141,1753,1754
141,1826,1827
142,1661,1662
142,1706,1707
142,1753,1754
142,1826,1827
143,1667,1668
143,1706,1707
143,1740,1741
143,1828,1829
144,1667,1668
144,1706,1707
144,1740,1741
144,1826,1827
145,1661,1662
145,1706,1707
145,1740,1741
145,1826,1827
146,1173,1174
146,1178,1179
146,1353,1354
146,1494,1495
147,1368,1369
147,1416,1417
147,1552,1553
147,1666,1667
148,1125,1126
148,1276,1277
148,1320,1321
148,1737,1738
149,556,557
149,745,746
149,813,814
149,837,838
150,1605,1606
150,1640,1641
150,1678,1679
150,1820,1821
151,1640,1641
151,1678,1679
151,1820,1821
151,1835,1836
152,1640,1641
152,1678,1679
152,1804,1805
152,1835,1836
153,1601,1602
153,1750,1751
153,1796,1797
153,1839,1840
154,1750,1751
154,1796,1797
154,1826,1827
154,1839,1840
155,1714,1715
155,1750,1751
155,1796,1797
155,1826,1827
156,1600,1601
156,1688,1689
156,1704,1705
156,1791,1792
