throat_id,pore_1,pore_2,particle_1,particle_2,particle_3,x_m,y_m,z_m,length_m,radius_m,area_m2
0,0,36,60,163,94,0.0004233199164448513,-0.007122832571044469,0.0019134123066304695,0.00017091556871123552,0.0003206819790152895,3.2307174903699023e-07
1,0,7,64,163,94,-8.167233276062784e-05,-0.00680109951921219,0.0015454013825384346,0.0009736298494932476,0.00013260029869566052,5.523811850451335e-08
2,0,2791,64,60,163,1.940442283940454e-06,-0.006813806131731399,0.002322009945391023,0.0009702580431744797,0.00016067236949881593,8.110213173039249e-08
3,1,5027,1844,1848,1669,0.006467322789655376,-0.0022644630031894205,0.03408056389917444,0.0011541657198650755,0.00023001922257502724,1.6621803170596654e-07
4,1,158,1844,1848,1775,0.006498250787529621,-0.002168573218135963,0.03446497166203488,0.0008633549585733006,0.00023002358023496998,1.6622432968846965e-07
5,2,3148,1797,1844,1814,0.0060771286423365834,0.00010643015245236673,0.03456386136223267,0.00037746057271153866,0.0006737382388142258,1.4260418357801224e-06
6,2,3143,1797,1844,1775,0.006154917723732189,-0.00036350729806141854,0.035548487339984176,0.00028735105869983236,0.0009582759593552685,2.8849019591808785e-06
7,3,353,1425,1569,1405,0.003672977175367824,0.004554263310433912,0.02984987661099802,2.2846351199568326e-05,0.00043543638761144976,5.956611964814431e-07
8,3,1092,1444,1569,1405,0.0038375210786578506,0.004673413494962139,0.02969791875673869,0.00016742065435094452,0.0004264542838555355,5.713402696947043e-07
9,3,76,1444,1425,1405,0.003914118274182438,0.004063014292144,0.029374323519988473,0.0012485582567931543,0.00013876061479405478,6.048982156622867e-08
10,3,692,1444,1425,1569,0.003356912154334648,0.004640798729268889,0.029178977694208574,0.0016529903880982875,0.00012370256263318316,4.8073668667586117e-08
11,4,79,1671,1795,1682,-0.0052772838583227035,0.004058188153638867,0.03333750475695084,0.000920948594598389,0.00017835329317233354,9.993373930915067e-08
12,4,615,1790,1795,1682,-0.005798183381574274,0.0038617731012135304,0.033444509328908203,0.0010754247370791134,0.0002589321901171473,2.1063084116762407e-07
13,4,610,1790,1671,1682,-0.0057069887701646565,0.0036885523779634595,0.033327213318329406,0.0003534582025731092,0.0002589282593385274,2.106244461580087e-07
14,4,78,1790,1671,1795,-0.005340187510860005,0.0037416277363322083,0.033756103398334535,0.0014152638484680657,0.00017838742569994904,9.997199279409412e-08
15,5,25,328,633,627,-0.004062821025214625,0.005138542075427898,0.00946769080549599,0.001346768107276526,0.0001235765241370464,4.797575564139568e-08
16,5,26,645,633,627,-0.004345637902362343,0.004708864829406143,0.00907763346194653,6.003512760827063e-05,0.00031824790085152284,3.1818592758982394e-07
17,5,23,645,328,627,-0.00431363026642328,0.004703861190523447,0.009061584823048582,5.0724450504176116e-05,0.0003182470544267616,3.1818423507220534e-07
18,5,808,645,328,633,-0.004112098304892637,0.004406469749605897,0.009598016266028438,0.0011672081905969617,0.0001235578394532472,4.796124893695441e-08
19,6,17,1738,1478,1681,0.006450811635640693,-0.001114923128562209,0.03108330494876954,0.0006306757937249667,0.00025874323442277327,2.1032353773926673e-07
20,6,103,1505,1478,1681,0.006605587463158818,-0.0013772955106581852,0.030563643404123864,0.0004661191273342411,0.00028268184221637283,2.5104160249896603e-07
21,6,1451,1505,1738,1478,0.0064037212697203895,-0.0014852200204157466,0.030955687112001716,0.0003169248413319283,0.00030139145695867676,2.853722560009498e-07
22,7,1197,192,163,94,-0.00011443430476678988,-0.006433788608446979,0.0011415176496124436,0.001046717499056154,0.00013851699517925138,6.027760615141652e-08
23,7,8,192,64,94,-0.00045740154792393747,-0.00681095969429383,0.0011800442075857198,0.0014316264287768583,0.000144872314354034,6.593570723774404e-08
24,7,1192,192,64,163,-0.00048285271218972996,-0.006408842516276353,0.0015495254825807219,0.0008195255161767719,0.00012596733586527054,4.985006873406343e-08
25,8,20,192,64,95,-0.0014589686314523894,-0.006790520793961316,0.0012688259983126976,0.001563134414819528,0.00021604731083015602,1.4663836262374612e-07
26,9,10,1725,1814,1723,0.00724018062727294,0.000591956660715782,0.0332250987234361,0.0012129685634087064,0.0003768182517952101,4.46081008002412e-07
27,9,19,1725,1844,1723,0.00685484611063142,-0.0007074932642762206,0.0330901158553417,0.0013862590086135401,0.00039406057539809246,4.878382476421597e-07
28,9,3149,1725,1844,1814,0.006890145313898989,-0.0001315638393472828,0.034351268014622696,0.0017099094300701034,0.00046680258435399726,6.845676562925023e-07
29,10,48,1725,1727,1723,0.0067970448565308995,0.000769234114124227,0.03280018850697485,0.0009064455821906068,0.00024585335299236817,1.8989002164604456e-07
30,10,11,1725,1727,1814,0.006687364041733165,0.00102772870068247,0.033384106036557296,0.0008904705274407417,0.00018917769364545044,1.1243194549209808e-07
31,11,31,1727,1599,1814,0.006591637097042162,0.0015325996842507172,0.03363483085946825,0.0010628874026396224,0.00012487224721414265,4.8987099682183874e-08
32,11,12,1725,1599,1814,0.006316349755264325,0.0009992623915586328,0.03382011194946269,0.001149384068416798,0.00012371427670597695,4.80827738163491e-08
33,11,52,1725,1727,1599,0.006352357890829228,0.0011637366967637275,0.03327384119122333,0.0006970571501199355,0.00019002827689394155,1.1344525440981854e-07
34,12,32,1797,1599,1814,0.006137353758300767,0.0012175801324039674,0.034623193805358735,0.001918387975959249,0.00024245949517012267,1.8468357204654215e-07
