seed,dump,particles,diameter_m,top_definition_percentile,bed_top_m,bed_height_m,z95_top_m,z98_top_m,z99_top_m,zmax_top_m,bulk_porosity,interior_porosity,interior_radius_m,interior_z_low_m,interior_z_high_m,interior_wall_exclusion_dp,interior_bottom_exclusion_dp,interior_top_exclusion_dp
105019,co2_13x_seed_105019/particles_final.dump,1850,0.0016,99.0,0.035724320999999996,0.035724320999999996,0.034216775000000005,0.03537322,0.035724320999999996,0.036612200000000004,0.44828252181082484,0.41338829377434416,0.0064,0.0016,0.034124321,1.0,1.0,1.0
113117,co2_13x_seed_113117/particles_final.dump,1850,0.0016,99.0,0.035860424,0.035860424,0.03417847,0.035292868,0.035860424,0.0365954,0.4503219317936762,0.4110224516037678,0.0064,0.0016,0.034260424000000005,1.0,1.0,1.0
121021,co2_13x_seed_121021/particles_final.dump,1850,0.0016,99.0,0.035734117,0.035734117,0.034301875,0.035396108,0.035734117,0.036575500000000004,0.4482225253014702,0.4156937740432649,0.0064,0.0016,0.034134117000000005,1.0,1.0,1.0
129121,co2_13x_seed_129121/particles_final.dump,1850,0.0016,99.0,0.035401105,0.035401105,0.033964425,0.035033586,0.035401105,0.036439900000000004,0.443494516055123,0.40908945366735583,0.0064,0.0016,0.033801105000000005,1.0,1.0,1.0
137077,co2_13x_seed_137077/particles_final.dump,1850,0.0016,99.0,0.035296067,0.035296067,0.03379899,0.034866248,0.035296067,0.036068,0.44153612435641276,0.40610003791933147,0.0064,0.0016,0.033696067,1.0,1.0,1.0
145093,co2_13x_seed_145093/particles_final.dump,1850,0.0016,99.0,0.035598278,0.035598278,0.034231845000000004,0.03532963,0.035598278,0.036641,0.44666858828097156,0.4095497064339061,0.0064,0.0016,0.033998278,1.0,1.0,1.0
153133,co2_13x_seed_153133/particles_final.dump,1850,0.0016,99.0,0.035722874,0.035722874,0.03422812,0.03535329200000001,0.035722874,0.0366355,0.448540745182027,0.40923556512156656,0.0064,0.0016,0.034122874000000004,1.0,1.0,1.0
161123,co2_13x_seed_161123/particles_final.dump,1850,0.0016,99.0,0.03562482300000001,0.03562482300000001,0.03405352,0.035092952000000004,0.03562482300000001,0.036407300000000004,0.4467552194899438,0.41157504848412907,0.0064,0.0016,0.03402482300000001,1.0,1.0,1.0
18427,co2_13x_seed_18427/particles_final.dump,1850,0.0016,99.0,0.035830774,0.035830774,0.03417783,0.035216848,0.035830774,0.036463100000000005,0.44993782348698774,0.408722219354812,0.0064,0.0016,0.034230774000000005,1.0,1.0,1.0
27183,co2_13x_seed_27183/particles_final.dump,1850,0.0016,99.0,0.035485827000000005,0.035485827000000005,0.03411441,0.035199994,0.035485827000000005,0.0362953,0.44475102753081164,0.4124050961622532,0.0064,0.0016,0.03388582700000001,1.0,1.0,1.0
31991,co2_13x_seed_31991/particles_final.dump,1850,0.0016,99.0,0.035736118000000004,0.035736118000000004,0.034261839999999995,0.035309797999999996,0.035736118000000004,0.036516400000000004,0.44862739319228273,0.4100985235556147,0.0064,0.0016,0.03413611800000001,1.0,1.0,1.0
40213,co2_13x_seed_40213/particles_final.dump,1850,0.0016,99.0,0.035418383,0.035418383,0.0339713,0.03515555200000001,0.035418383,0.0363783,0.44365636617217163,0.4083117641992299,0.0064,0.0016,0.033818383,1.0,1.0,1.0
47837,co2_13x_seed_47837/particles_final.dump,1850,0.0016,99.0,0.035641695,0.035641695,0.034129400000000004,0.035272834,0.035641695,0.036717200000000005,0.447094796402004,0.40990466544035253,0.0064,0.0016,0.034041695000000004,1.0,1.0,1.0
52691,co2_13x_seed_52691/particles_final.dump,1850,0.0016,99.0,0.035687458,0.035687458,0.034202845,0.03540187,0.035687458,0.036704400000000005,0.44798744836152704,0.4104220010033083,0.0064,0.0016,0.034087458,1.0,1.0,1.0
61417,co2_13x_seed_61417/particles_final.dump,1850,0.0016,99.0,0.035589922,0.035589922,0.03409801,0.03510064,0.035589922,0.0365365,0.44655685154982927,0.4117761358139934,0.0064,0.0016,0.033989922000000006,1.0,1.0,1.0
69371,co2_13x_seed_69371/particles_final.dump,1850,0.0016,99.0,0.035429206,0.035429206,0.033926855,0.034975364,0.035429206,0.0365325,0.4439708015157753,0.4054754505595062,0.0064,0.0016,0.033829206,1.0,1.0,1.0
74167,co2_13x_seed_74167/particles_final.dump,1850,0.0016,99.0,0.035576775000000005,0.035576775000000005,0.034162205,0.035146904,0.035576775000000005,0.037335600000000004,0.44682474343937195,0.4100412753314082,0.0064,0.0016,0.03397677500000001,1.0,1.0,1.0
81929,co2_13x_seed_81929/particles_final.dump,1850,0.0016,99.0,0.035629904,0.035629904,0.0341831,0.035275248,0.035629904,0.0363681,0.44695941674055706,0.41036896636623277,0.0064,0.0016,0.034029904,1.0,1.0,1.0
90709,co2_13x_seed_90709/particles_final.dump,1850,0.0016,99.0,0.035797144,0.035797144,0.034188815000000004,0.035206146,0.035797144,0.036984800000000005,0.4493865723618814,0.4095390912215072,0.0064,0.0016,0.034197144000000006,1.0,1.0,1.0
98251,co2_13x_seed_98251/particles_final.dump,1850,0.0016,99.0,0.035392063,0.035392063,0.03392922,0.035106406,0.035392063,0.0361982,0.4433997574736248,0.40808083664530515,0.0064,0.0016,0.033792063000000004,1.0,1.0,1.0
