seed,bin,r_low_m,r_high_m,r_center_m,r_over_R,solid_fraction,porosity
105019,0,0.0,0.0008,0.0004,0.05,0.5267875053147721,0.47321249468522786
105019,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.617925198535835,0.38207480146416495
105019,2,0.0016,0.0024000000000000002,0.002,0.25,0.5877574228354454,0.4122425771645546
105019,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.5988192424912603,0.4011807575087397
105019,4,0.0032,0.004,0.0036,0.44999999999999996,0.5696282669780388,0.4303717330219612
105019,5,0.004,0.0048000000000000004,0.0044,0.55,0.5994914971750547,0.4005085028249453
105019,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5606865131554114,0.4393134868445886
105019,7,0.0056,0.0064,0.006,0.75,0.558642715492381,0.441357284507619
105019,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.5991161144638417,0.4008838855361583
105019,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.42558224659788807,0.574417753402112
113117,0,0.0,0.0008,0.0004,0.05,0.5801330877349546,0.41986691226504536
113117,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.5555711750028065,0.4444288249971935
113117,2,0.0016,0.0024000000000000002,0.002,0.25,0.5809505937541375,0.4190494062458625
113117,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.59350647623892,0.40649352376107994
113117,4,0.0032,0.004,0.0036,0.44999999999999996,0.5769067319339073,0.4230932680660927
113117,5,0.004,0.0048000000000000004,0.0044,0.55,0.5959528407381001,0.40404715926189994
113117,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5696589947303015,0.43034100526969854
113117,7,0.0056,0.0064,0.006,0.75,0.5583479572507695,0.44165204274923053
113117,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.5943552366312413,0.40564476336875865
113117,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.4225891977334235,0.5774108022665765
121021,0,0.0,0.0008,0.0004,0.05,0.6076807405071143,0.3923192594928857
121021,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.5919407091921942,0.4080592908078058
121021,2,0.0016,0.0024000000000000002,0.002,0.25,0.6010063499196414,0.3989936500803586
