,count,mean,std,min,25%,50%,75%,max
seed,20.0,87944.5,44232.07242131224,18427.0,51477.5,86319.0,123046.0,161123.0
network_analytic_porosity,20.0,0.4466487585248687,0.0024382535975767017,0.4415361243564178,0.44455597102705735,0.4468920800899695,0.4483470776536303,0.4503219317936816
network_geometric_tortuosity,20.0,1.105446904322977,0.02946729770817743,1.0289870980498634,1.092709898459582,1.1058029059205023,1.1227498588686018,1.1598021331914048
network_inlet_pores,20.0,19.3,2.657660229362821,12.0,18.0,20.0,21.25,23.0
network_outlet_pores,20.0,15.75,5.523871639958412,8.0,10.75,15.0,20.25,25.0
network_pore_count,20.0,9378.65,28.97780457340992,9333.0,9362.0,9374.0,9387.5,9444.0
network_throat_count,20.0,18071.25,62.13133373410672,17981.0,18036.25,18060.0,18099.75,18209.0
network_mean_degree,20.0,3.8536959357855287,0.0019378811988218234,3.850192061459667,3.8526350424027864,3.853504700813385,3.855284673594785,3.85682326621924
network_degree_cv,20.0,0.10004540450430817,0.0012358180243585075,0.0984466335832826,0.09915367200560608,0.0997958778873903,0.10079428934422821,0.1025713522671748
network_mean_pore_volume_m3,20.0,3.409733850607408e-10,2.9125470723626486e-12,3.3573849341010715e-10,3.388913314922736e-10,3.420211710981183e-10,3.4267415317660635e-10,3.4589282049316346e-10
network_median_pore_volume_m3,20.0,2.4782523633675e-10,2.2079352884506976e-12,2.431318720730488e-10,2.4633477274198003e-10,2.4781114358244283e-10,2.493719482191254e-10,2.519904140120885e-10
network_pore_volume_cv,20.0,1.0300218892127417,0.02760067913532061,0.98093914591674,1.0188440856357603,1.032122529903209,1.0430407010073737,1.077524353207562
network_mean_throat_radius_m,20.0,0.000284498365331205,2.3382153856079902e-06,0.000278894602472,0.0002831621694866,0.0002852420017681,0.00028599026505305,0.0002880379698937
network_median_throat_radius_m,20.0,0.00027696786641596006,2.5348632195634893e-06,0.0002705832327935,0.000275782909935375,0.00027753944515194996,0.0002783772028841,0.0002820834786419
network_throat_radius_p10_m,20.0,0.000139673554211315,8.524483523756616e-07,0.0001381908674848,0.0001391379562918,0.00013964873468845,0.0001400699656361,0.0001415846575171
network_minimum_throat_radius_m,20.0,0.000123288890379495,5.0015324618693834e-08,0.0001231702942826,0.00012327739939065,0.00012330327066565,0.00012331952056104998,0.0001233472885539
network_mean_throat_length_m,20.0,0.0006810359333274551,2.3150458437694873e-06,0.0006773932067395,0.0006797679328396,0.00068088035199865,0.000682193026022675,0.0006869718205514
network_shortest_inlet_outlet_path_m,20.0,0.038317787623182685,0.0007928124792881138,0.0366395433287718,0.03769178342907952,0.0386065539159124,0.038964185089069674,0.0390866587139466
network_total_pore_volume_m3,20.0,3.1978948917070054e-06,3.1779248923477276e-08,3.1334473589965304e-06,3.1705760850448688e-06,3.200975965730009e-06,3.2206940865409697e-06,3.246895905969326e-06
final_uptake_mol_kg,20.0,0.2645725627140298,0.02920973816922007,0.2055532556608265,0.24770550045320452,0.2667527449717872,0.2844324308879218,0.3148366297083697
t50_final_uptake_s,20.0,1501.1403220496277,64.34001179138055,1388.936035691538,1441.0762868993434,1493.5147342491045,1564.8043910293377,1625.1806434834598
underutilized_particle_fraction,20.0,0.915945945945946,0.019306734327396782,0.8783783783783784,0.903918918918919,0.9162162162162162,0.9278378378378378,0.9524324324324324
