target,model,n_cases,n_features,features,loo_r2,loo_rmse,loo_nrmse_by_target_std,loo_mae,spearman_r,spearman_p,target_mean,target_std,target_cv
axial_loading_bottom_minus_top_over_mean,inlet_plus_tortuosity_linear,20,2,network_inlet_pores;network_geometric_tortuosity,0.4661588101031747,0.10366339315880925,0.7121440376791649,0.08557787034917044,0.5218045112781955,0.0182849434820976,5.5504993069421396,0.14556520545568574,0.026225605554733415
axial_loading_bottom_minus_top_over_mean,structural_ridge,20,9,network_inlet_pores;network_analytic_porosity;network_geometric_tortuosity;network_pore_volume_cv;network_mean_throat_radius_m;network_throat_radius_p10_m;network_mean_degree;network_pore_count;network_throat_count,0.3738476910521089,0.11226887571106936,0.7712617542057277,0.09474714752244444,0.4827067669172932,0.031105216869543383,5.5504993069421396,0.14556520545568574,0.026225605554733415
axial_loading_bottom_minus_top_over_mean,inlet_count_linear,20,1,network_inlet_pores,0.24279953821192135,0.12345958574714659,0.8481393981526119,0.1032327206216618,0.3278195488721804,0.15824386826406367,5.5504993069421396,0.14556520545568574,0.026225605554733415
axial_loading_bottom_minus_top_over_mean,structural_random_forest,20,9,network_inlet_pores;network_analytic_porosity;network_geometric_tortuosity;network_pore_volume_cv;network_mean_throat_radius_m;network_throat_radius_p10_m;network_mean_degree;network_pore_count;network_throat_count,-0.0468734315307302,0.14516652117525292,0.9972611292706608,0.1233501508726567,0.10526315789473684,0.6587277693915812,5.5504993069421396,0.14556520545568574,0.026225605554733415
axial_loading_bottom_minus_top_over_mean,training_mean,20,0,,-0.10803324099723066,0.1493467496143614,1.0259783520851544,0.12878055277846392,-1.0,0.0,5.5504993069421396,0.14556520545568574,0.026225605554733415
axial_loading_bottom_minus_top_over_mean,porosity_linear,20,1,network_analytic_porosity,-0.22532387248819807,0.15705249050067915,1.0789150471023137,0.13327948388075725,-0.724812030075188,0.000300230546177394,5.5504993069421396,0.14556520545568574,0.026225605554733415
normalized_uptake_auc,inlet_plus_tortuosity_linear,20,2,network_inlet_pores;network_geometric_tortuosity,0.7087232827220131,0.00402876730454891,0.5260350572101516,0.003232046853727444,0.8285714285714285,6.401019922542658e-06,0.6338883280072801,0.007658742985525798,0.012082164392586572
normalized_uptake_auc,inlet_count_linear,20,1,network_inlet_pores,0.6452270384313561,0.0044462569282229455,0.5805465644461362,0.0035274841553068702,0.7007518796992479,0.0005786641020194398,0.6338883280072801,0.007658742985525798,0.012082164392586572
normalized_uptake_auc,structural_random_forest,20,9,network_inlet_pores;network_analytic_porosity;network_geometric_tortuosity;network_pore_volume_cv;network_mean_throat_radius_m;network_throat_radius_p10_m;network_mean_degree;network_pore_count;network_throat_count,0.39392528220647605,0.0058114215858004106,0.7587957445214408,0.004560094149133354,0.6075187969924812,0.004495101001748822,0.6338883280072801,0.007658742985525798,0.012082164392586572
normalized_uptake_auc,structural_ridge,20,9,network_inlet_pores;network_analytic_porosity;network_geometric_tortuosity;network_pore_volume_cv;network_mean_throat_radius_m;network_throat_radius_p10_m;network_mean_degree;network_pore_count;network_throat_count,0.3485762148559097,0.006024917495108921,0.7866718476511575,0.00445558895287908,0.5729323308270676,0.008278787429483686,0.6338883280072801,0.007658742985525798,0.012082164392586572
