seed,case_qa_pass,solver_success,physical_bounds_ok_metadata,completed_to_t_end,mass_balance_ok,timeseries_mean_bounds_ok,uptake_monotonic_ok,practical_equilibrium_reached,error,atol,axial_loading_bin_cv,axial_loading_bottom_minus_top_over_mean,b_pa,diffusivity,end_adsorption_rate_mol_s,end_relative_uptake_rate_per_s,final_adsorbed_inventory_mol,final_gas_inventory_mol,final_mean_gas_concentration_mol_m3,final_relative_mass_balance_error,final_reservoir_input_mol,final_time_s,final_total_inventory_mol,final_uptake_mol_kg,initial_concentration,initial_loading,inlet_concentration,inlet_equilibrium_loading_mol_kg,k_ldf,late_uptake_fraction,max_step,maximum_absolute_mass_balance_residual_mol,maximum_adsorption_rate_mol_s,maximum_relative_mass_balance_error,metadata_file,minimum_mean_gas_concentration_mol_m3,minimum_mean_loading_mol_kg,mode,network_analytic_porosity,network_degree_cv,network_directory,network_geometric_tortuosity,network_inlet_pores,network_largest_component_fraction,network_mean_degree,network_mean_pore_volume_m3,network_mean_throat_length_m,network_mean_throat_radius_m,network_median_pore_volume_m3,network_median_throat_radius_m,network_minimum_throat_radius_m,network_outlet_pores,network_pore_count,network_pore_volume_cv,network_ready_for_transport,network_shortest_inlet_outlet_path_m,network_throat_count,network_throat_radius_p10_m,network_total_pore_volume_m3,normalized_uptake_auc,particle_count,particle_density,particle_loading_cv,particle_loading_max_mol_kg,particle_loading_mean_unweighted_mol_kg,particle_loading_min_mol_kg,particle_loading_std_mol_kg,pore_count,qsat,result_directory,rhs_evaluations,rtol,t10_final_uptake_s,t50_final_uptake_s,t90_final_uptake_s,t95_final_uptake_s,t_end,temperature,throat_count,time_of_maximum_rate_s,toth_exponent,underutilized_loading_threshold_mol_kg,underutilized_particle_fraction,result_directory_curve,curve_final_time_s,uptake_100s_mol_kg,adsorbed_100s_mol,uptake_500s_mol_kg,adsorbed_500s_mol,uptake_1000s_mol_kg,adsorbed_1000s_mol,uptake_2500s_mol_kg,adsorbed_2500s_mol,uptake_5000s_mol_kg,adsorbed_5000s_mol
18427,True,True,True,True,True,True,True,False,,1e-10,1.7927142235520852,5.478135434671535,5.093e-05,1.5e-05,2.1640333735473585e-07,0.0001198972951691,0.0018049059159295,1.8475606543918797e-06,0.5699807197633043,7.561046678679414e-15,0.0018067534765839,5000.0,0.0018067534765839,0.2843179552259188,0.0,0.0,6.05,2.309036967044178,0.00855,0.0605316338000422,,1.431146867680866e-17,2.4001816229547136e-06,9.458389289072014e-15,co2_adsorption_campaign_finite_inlet_5000s/seed_18427/run_metadata.json,0.0,0.0,adsorption,0.4499378234869928,0.1017125018494656,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_18427,1.118332369100862,20,1.0,3.853144620623603,3.449445698798626e-10,0.0006812316648366,0.0002852546470279,2.493354624107897e-10,0.0002775983772536,0.0001232900803797,11,9397,1.0641037972525038,True,0.0389547520070924,18104,0.0001400504977366,3.2414441231610693e-06,0.6356484772115661,1850,1600.0,1.8385697953235416,2.2658646982036714,0.2843179552259189,2.4778372119679543e-08,0.5227384047465257,9397,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_18427,695,1e-06,95.76510381595436,1488.6262000931729,4184.178570284866,4585.766683823066,5000.0,298.15,18104,0.6017880726892569,1.0,1.154518483522089,0.9054054054054054,co2_adsorption_campaign_finite_inlet_5000s/seed_18427,5000.0,0.0294029401999953,0.000186655607699828,0.08069152925119104,0.0005122455892563901,0.11509465969488614,0.0007306433813162152,0.18968054634743908,0.0012041291587342223,0.2843179552259188,0.0018049059159295
27183,True,True,True,True,True,True,True,False,,1e-10,1.7668471806863275,5.323640116532122,5.093e-05,1.5e-05,2.2615089818530378e-07,0.0001131521423252,0.0019986444227921,2.0640056812530924e-06,0.6504428598047701,1.9487052469873165e-13,0.002000708428473,5000.0,0.0020007084284734,0.3148366297083697,0.0,0.0,6.05,2.309036967044178,0.00855,0.0571790064777138,,3.898791012257874e-16,2.704478005427325e-06,1.978740770553497e-13,co2_adsorption_campaign_finite_inlet_5000s/seed_27183/run_metadata.json,0.0,0.0,adsorption,0.4447510275308164,0.1016572593648905,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_27183,1.0992363509357042,23,1.0,3.8513527964923537,3.393467394901544e-10,0.0006822949272002,0.0002853011806398,2.501920336756794e-10,0.000278180474138,0.0001231702942826,8,9351,0.98093914591674,True,0.0382073645756895,18007,0.0001392110209242,3.173231360972433e-06,0.6472383513224237,1850,1600.0,1.7925516897991711,2.2676884871085705,0.31483662970837,3.230876133278809e-08,0.5643609325944147,9351,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_27183,730,1e-06,92.39294419928038,1388.936035691538,4139.106497771732,4561.809145862861,5000.0,298.15,18007,0.6017880726892569,1.0,1.154518483522089,0.8848648648648648,co2_adsorption_campaign_finite_inlet_5000s/seed_27183,5000.0,0.03351386197770596,0.00021275254213588954,0.09365370110448756,0.0005945319880971384,0.13307424083103978,0.0008447812743409129,0.21479947390649268,0.0013635890173883188,0.3148366297083697,0.0019986444227921
31991,True,True,True,True,True,True,True,False,,1e-10,1.7840695653242995,5.331824809900504,5.093e-05,1.5e-05,2.2323332618115665e-07,0.0001207148685025,0.0018492612297912,1.847117303864997e-06,0.5730222275092589,3.0222343380409855e-14,0.001851108347095,5000.0,0.0018511083470951,0.2913050297483481,0.0,0.0,6.05,2.309036967044178,0.00855,0.0609689775561482,,5.594483210025203e-17,2.345622112827178e-06,3.0222343380409855e-14,co2_adsorption_campaign_finite_inlet_5000s/seed_31991/run_metadata.json,0.0,0.0,adsorption,0.4486273931922884,0.0985820012736284,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_31991,1.0289870980498634,20,1.0,3.856263269639066,3.4219377549878024e-10,0.0006817533719923,0.0002859613264808,2.46913909868369e-10,0.00027885331782,0.0001232369745659,25,9420,1.031264615856174,True,0.0366395433287718,18163,0.0001396438325035,3.22346536519851e-06,0.6321539661638331,1850,1600.0,1.8142617830780303,2.269098259782681,0.291305029748348,2.1638697900922707e-08,0.5285035826908365,9420,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_31991,753,1e-06,100.80962002359496,1520.31506288956,4190.281727169473,4588.63572324,5000.0,298.15,18163,0.6017880726892569,1.0,1.154518483522089,0.8956756756756756,co2_adsorption_campaign_finite_inlet_5000s/seed_31991,5000.0,0.02894748705514286,0.00018376430217217218,0.08074369801284202,0.0005125767667454849,0.11599532702519,0.0007363609934574296,0.19330589249447422,0.001227143564218667,0.2913050297483481,0.0018492612297912
40213,True,True,True,True,True,True,True,False,,1e-10,1.78862238041115,5.431310515287757,5.093e-05,1.5e-05,2.036912000188455e-07,0.0001210994627032,0.0016820157205646,1.6861905369969728e-06,0.5337051005979536,9.01515304740934e-16,0.0016837019111016,5000.0,0.0016837019111016,0.2649596669322829,0.0,0.0,6.05,2.309036967044178,0.00855,0.0610779804752353,,3.903127820947816e-18,2.254638208356056e-06,3.567682745484548e-15,co2_adsorption_campaign_finite_inlet_5000s/seed_40213/run_metadata.json,0.0,0.0,adsorption,0.4436563661721765,0.1018737727949123,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_40213,1.1331850737613525,19,1.0,3.8512590695689286,3.371110702746189e-10,0.0006773932067395,0.0002828064818544,2.463557478905373e-10,0.0002739328186899,0.0001233039946272,9,9372,1.0220391258355814,True,0.0388402912289396,18047,0.0001412316179645,3.159404950613729e-06,0.6360753763502726,1850,1600.0,1.884405876851406,2.2627075236454988,0.2649596669322829,3.640397466784415e-08,0.499291553495785,9372,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_40213,737,1e-06,94.64422188391312,1480.7849773582443,4190.332724158113,4589.537709061968,5000.0,298.15,18047,0.6017880726892569,1.0,1.154518483522089,0.9162162162162162,co2_adsorption_campaign_finite_inlet_5000s/seed_40213,5000.0,0.027658014353951252,0.00017557847759080926,0.07597914987489628,0.0004823304845011184,0.10790943238226529,0.0006850301548369578,0.1766915460460345,0.0011216724476644678,0.2649596669322829,0.0016820157205646
47837,True,True,True,True,True,True,True,False,,1e-10,1.8210502434246985,5.49842010409133,5.093e-05,1.5e-05,2.0072915471118498e-07,0.0001196205131462,0.0016780496039649,1.6959933020038455e-06,0.5293419602976511,2.7346687330871225e-12,0.0016797455972623,5000.0,0.0016797455972669,0.2643349040834956,0.0,0.0,6.05,2.309036967044178,0.00855,0.0603172176842222,,4.593547764386585e-15,2.4009840333709263e-06,2.888713433614467e-12,co2_adsorption_campaign_finite_inlet_5000s/seed_47837/run_metadata.json,0.0,0.0,adsorption,0.4470947964020088,0.0992069478101052,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_47837,1.1296619362305838,20,1.0,3.853830537450582,3.423405658185365e-10,0.0006798700833304,0.0002832529277532,2.479803835931336e-10,0.0002760868553361,0.0001233291093729,15,9359,1.0592402492925843,True,0.03834474990766,18034,0.0001396536368734,3.203965355495684e-06,0.6418294943698392,1850,1600.0,1.8949081109198067,2.2571720873156464,0.2643349040834954,3.619593446655895e-08,0.5008903537470246,9359,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_47837,728,1e-06,87.3891606572209,1430.302416209599,4180.08335128279,4584.47079445596,5000.0,298.15,18034,0.6017880726892569,1.0,1.154518483522089,0.9162162162162162,co2_adsorption_campaign_finite_inlet_5000s/seed_47837,5000.0,0.02937845599941904,0.0001865001772120505,0.07932148968575371,0.000503548310483558,0.11065269417200951,0.0007024449165227048,0.17763294291852608,0.0011276486188951304,0.2643349040834956,0.0016780496039649
52691,True,True,True,True,True,True,True,False,,1e-10,1.8199045490548125,5.510302624032561,5.093e-05,1.5e-05,2.078966867843908e-07,0.0001187787449252,0.0017502852628661,1.7828363075738009e-06,0.5546259206193194,1.3737644239130808e-14,0.0017520680991736,5000.0,0.0017520680991736,0.2757138322879656,0.0,0.0,6.05,2.309036967044178,0.00855,0.0599403899874521,,2.40692882291782e-17,2.3711158558138077e-06,1.4100421236609876e-14,co2_adsorption_campaign_finite_inlet_5000s/seed_52691/run_metadata.json,0.0,0.0,adsorption,0.4479874483615318,0.0988661983478699,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_52691,1.0875143867517387,22,1.0,3.855689764780674,3.4058956220024487e-10,0.0006782019446492,0.0002861752878099,2.46624841375956e-10,0.00027855800447,0.0001233025467041,15,9438,1.0412460170855835,True,0.0373661335041929,18195,0.0001405395596815,3.214484288045911e-06,0.6405693319254494,1850,1600.0,1.8684278298504813,2.267646015548403,0.2757138322879657,3.339726655628558e-08,0.5151513973215633,9438,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_52691,730,1e-06,92.50455693899768,1441.8375800542435,4175.873847920628,4581.802731913854,5000.0,298.15,18195,0.6017880726892569,1.0,1.154518483522089,0.9086486486486488,co2_adsorption_campaign_finite_inlet_5000s/seed_52691,5000.0,0.02931650642188699,0.0001861069091932515,0.08120660132566924,0.0005155153673947617,0.11452037988170326,0.0007269977408873787,0.18521063535184856,0.0011757532906213404,0.2757138322879656,0.0017502852628661
61417,True,True,True,True,True,True,True,False,,1e-10,1.8504713312835344,5.686765693845291,5.093e-05,1.5e-05,1.7750001144255985e-07,0.0001300954385996,0.0013643830510363,1.337966039522455e-06,0.4187081845638356,1.2543113938414762e-14,0.0013657210170759,5000.0,0.0013657210170759,0.2149245541232466,0.0,0.0,6.05,2.309036967044178,0.00855,0.0654909986706193,,1.713039432527097e-17,1.9521453824322257e-06,1.2543113938414762e-14,co2_adsorption_campaign_finite_inlet_5000s/seed_61417/run_metadata.json,0.0,0.0,adsorption,0.446556851549834,0.0991643573215888,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_61417,1.1152928181920974,17,1.0,3.853668941979522,3.4081291303408005e-10,0.0006807116742019,0.0002852293565083,2.493449470758385e-10,0.000278133648794,0.0001232575826016,20,9376,1.0329804439502444,True,0.0390866587139466,18066,0.0001415846575171,3.1954618726075343e-06,0.6259656682516493,1850,1600.0,1.987406010209854,2.261518762906066,0.2149245541232466,1.634606773128525e-08,0.4271423506062135,9376,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_61417,705,1e-06,89.19013294108926,1572.3071897876075,4242.111556768551,4617.091730469341,5000.0,298.15,18066,0.6017880726892569,1.0,1.154518483522089,0.9524324324324324,co2_adsorption_campaign_finite_inlet_5000s/seed_61417,5000.0,0.023461902682711856,0.00014894074107043965,0.06116376787361876,0.0003882795456513062,0.08504239862297404,0.0005398657578887427,0.13974070031127,0.000887101261288679,0.2149245541232466,0.0013643830510363
69371,True,True,True,True,True,True,True,False,,1e-10,1.7952871917033666,5.447702480653168,5.093e-05,1.5e-05,2.1690569531195607e-07,0.0001187065990077,0.0018272421004818,1.8680027511561972e-06,0.5906522142166512,9.483975146770021e-16,0.001829110103233,5000.0,0.001829110103233,0.2878364645639539,0.0,0.0,6.05,2.309036967044178,0.00855,0.0599522770730847,,6.0715321659188256e-18,2.431395946160092e-06,4.091970903515371e-15,co2_adsorption_campaign_finite_inlet_5000s/seed_69371/run_metadata.json,0.0,0.0,adsorption,0.4439708015157803,0.100233879016089,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_69371,1.087838198248849,22,1.0,3.854002134471718,3.3752510749863137e-10,0.0006802444761834,0.000278894602472,2.431318720730488e-10,0.0002730612049281,0.000123317638786,10,9370,1.0761258139449617,True,0.03691755055018,18056,0.0001387912258885,3.1626102572621764e-06,0.6373754262669711,1850,1600.0,1.835960600070747,2.2648659494610186,0.2878364645639537,2.158661686855001e-08,0.5284564082030787,9370,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_69371,724,1e-06,94.8119980189002,1477.3436586980813,4176.879939909605,4581.78872163054,5000.0,298.15,18056,0.6017880726892569,1.0,1.154518483522089,0.8994594594594595,co2_adsorption_campaign_finite_inlet_5000s/seed_69371,5000.0,0.030011103600230286,0.0001905163477578169,0.08266920726704598,0.0005248002756031578,0.1172338357970207,0.0007442232890603356,0.19258530635859838,0.0012225691426752208,0.2878364645639539,0.0018272421004818
74167,True,True,True,True,True,True,True,False,,1e-10,1.9035813964027992,5.716776123959743,5.093e-05,1.5e-05,1.924653630865088e-07,0.0001238098393317,0.0015545239709976,1.531757561240878e-06,0.4792436799581339,9.057919959823414e-15,0.0015560557285589,5000.0,0.0015560557285589,0.2448765184284501,0.0,0.0,6.05,2.309036967044178,0.00855,0.0624142244460318,,1.5612511283791264e-17,2.135804654032487e-06,1.0418733430664543e-14,co2_adsorption_campaign_finite_inlet_5000s/seed_74167/run_metadata.json,0.0,0.0,adsorption,0.4468247434393771,0.100520097867355,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_74167,1.10213663639689,19,1.0,3.85137595031588,3.4224196685062804e-10,0.0006812405331248,0.0002837192432251,2.4920319890345713e-10,0.0002757694315155,0.0001233411722775,20,9339,1.0484247527727442,True,0.0388275997181207,17984,0.0001384532641431,3.1961977284180152e-06,0.6333976720930691,1850,1600.0,1.9384804370850173,2.2432817168063965,0.24487651842845,2.283662493699537e-08,0.4746883404750391,9339,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_74167,699,1e-06,92.4263393162982,1504.4150672906885,4206.785966965487,4598.260103948713,5000.0,298.15,17984,0.6017880726892569,1.0,1.154518483522089,0.931891891891892,co2_adsorption_campaign_finite_inlet_5000s/seed_74167,5000.0,0.026030664592454584,0.00016524774343271124,0.07046460799902392,0.0004473230955112425,0.09919636648855974,0.0006297179106104356,0.1620606947730512,0.0010287929459224484,0.2448765184284501,0.0015545239709976
81929,True,True,True,True,True,True,True,False,,1e-10,1.838200223585314,5.6687219406663205,5.093e-05,1.5e-05,1.9421265188002406e-07,0.0001230716347607,0.0015780456013079,1.577441838051036e-06,0.4926525837424172,9.609147246020816e-16,0.0015796230431459,5000.0,0.0015796230431459,0.2485817652085521,0.0,0.0,6.05,2.309036967044178,0.00855,0.062043528720307,,6.5052130349130266e-18,2.2816921961439577e-06,6.597783891385197e-15,co2_adsorption_campaign_finite_inlet_5000s/seed_81929/run_metadata.json,0.0,0.0,adsorption,0.4469594167405619,0.1006213198933117,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_81929,1.1343611557800712,19,1.0,3.852824949268397,3.4197752677794137e-10,0.000680795901876,0.0002845800167385,2.4619625090322103e-10,0.0002774805130503,0.000123301274672,10,9363,1.020073428317974,True,0.0384983736205906,18037,0.0001391915768989,3.2019355832218657e-06,0.635374046101552,1850,1600.0,1.9198916277188876,2.256808873291825,0.2485817652085523,2.3359616235995663e-08,0.4772500498274817,9363,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_81929,728,1e-06,87.43303083456235,1491.0752252305024,4202.182904790555,4595.892308029864,5000.0,298.15,18037,0.6017880726892569,1.0,1.154518483522089,0.927027027027027,co2_adsorption_campaign_finite_inlet_5000s/seed_81929,5000.0,0.02757603544635111,0.00017505805947230996,0.07269033229466262,0.0004614524280932255,0.10140623204168422,0.0006437465687972596,0.1649536603544827,0.0010471580565196883,0.2485817652085521,0.0015780456013079
