seed,label_rule_matches,inlet_count,full_1dp_count,shared_count,inlet_min_z_m,inlet_max_z_m,band_upper_z_m
105019,True,12,239,10,0.001189017696643754,0.001995850306190286,0.0016978812325644166
113117,True,22,282,21,0.0005175109037254544,0.0020483397470675174,0.0017862375942502447
121021,True,17,282,12,0.0006881125026637912,0.002720478419866209,0.001804901213683555
129121,True,15,228,12,0.000515097099465859,0.0020045008213262867,0.0016158798426264792
137077,True,22,237,17,0.0004245197425344165,0.0018019818737054483,0.0016804620601555398
145093,True,21,193,15,5.78659758515537e-06,0.002973614106799901,0.0016057865975851555
153133,True,18,229,13,0.0001792291976940846,0.002718325688420722,0.0016449833638756245
161123,True,18,209,7,4.966329503142486e-05,0.0029267778208951025,0.0016496632950314249
18427,True,20,271,17,0.0005803829720269153,0.002700829327143537,0.0017631909945564008
27183,True,23,213,16,0.0004871526378168067,0.0026260386984806637,0.0016429250095193527
31991,True,20,245,13,8.294368048217146e-05,0.0032174700456517585,0.0016698737264108864
40213,True,19,206,14,0.0006924242465794043,0.003128216615933998,0.001604489044835009
47837,True,20,248,14,0.0005752269427221078,0.002685536122583165,0.0016517207608157877
52691,True,22,208,15,0.0007294216909964946,0.0029265603423062154,0.001600377425348079
61417,True,17,283,13,0.00024074251006734427,0.0021053225247142093,0.0018051704992495174
69371,True,22,260,14,0.0005089075664422736,0.003020235386086395,0.0017153093984408846
74167,True,19,224,15,7.888141340877764e-05,0.002248973924680653,0.0016500547390894194
81929,True,19,203,14,0.0004655483270341575,0.002117471759069088,0.0016342355703031913
90709,True,20,241,12,0.0004875133669234486,0.002801237051467611,0.0017286872001317079
98251,True,20,208,17,3.7034744673711094e-05,0.0021707801413224427,0.0016370347446737113
