seed,start_dp,end_dp,reason,available_height_dp
105019,20.0,25.0,Full window exceeds highest retained pore,22.24753959828344
113117,20.0,25.0,Full window exceeds highest retained pore,22.289815590013212
121021,20.0,25.0,Full window exceeds highest retained pore,22.203568203236742
129121,20.0,25.0,Full window exceeds highest retained pore,22.10663669389068
137077,20.0,25.0,Full window exceeds highest retained pore,21.997624169035614
145093,20.0,25.0,Full window exceeds highest retained pore,22.2421889162305
153133,20.0,25.0,Full window exceeds highest retained pore,22.283440970172002
161123,20.0,25.0,Full window exceeds highest retained pore,22.18266658840876
18427,20.0,25.0,Full window exceeds highest retained pore,22.281105683704315
27183,20.0,25.0,Full window exceeds highest retained pore,22.149567328163474
31991,20.0,25.0,Full window exceeds highest retained pore,22.26278651376437
40213,20.0,25.0,Full window exceeds highest retained pore,22.115493858959763
47837,20.0,25.0,Full window exceeds highest retained pore,22.230324784330598
52691,20.0,25.0,Full window exceeds highest retained pore,22.29510487254625
61417,20.0,25.0,Full window exceeds highest retained pore,22.082871701183674
69371,20.0,25.0,Full window exceeds highest retained pore,22.041298495401826
74167,20.0,25.0,Full window exceeds highest retained pore,22.19343582482775
81929,20.0,25.0,Full window exceeds highest retained pore,22.245243553897698
90709,20.0,25.0,Full window exceeds highest retained pore,22.29372124916883
98251,20.0,25.0,Full window exceeds highest retained pore,22.087133465922996
