seed,tortuosity_raw,network_geometric_tortuosity,original_G_access_m3_s,final_uptake_mol_kg,t50_final_uptake_s,underutilized_particle_fraction
18427,1.118332369100862,1.118332369100862,2.981448967699442e-08,0.2843179552259188,1488.6262000931729,0.9054054054054054
27183,1.0992363509357042,1.0992363509357042,3.276442040731926e-08,0.3148366297083697,1388.936035691538,0.8848648648648648
31991,1.0289870980498634,1.0289870980498634,3.046585875763727e-08,0.2913050297483481,1520.31506288956,0.8956756756756756
40213,1.1331850737613525,1.1331850737613525,2.8921840128436097e-08,0.2649596669322829,1480.7849773582443,0.9162162162162162
47837,1.1296619362305838,1.1296619362305838,2.8580897726832388e-08,0.2643349040834956,1430.302416209599,0.9162162162162162
52691,1.0875143867517387,1.0875143867517387,2.9360562199718994e-08,0.2757138322879656,1441.8375800542435,0.9086486486486488
61417,1.1152928181920974,1.1152928181920974,2.425067118112511e-08,0.2149245541232466,1572.3071897876075,0.9524324324324324
69371,1.087838198248849,1.087838198248849,2.983968262662835e-08,0.2878364645639539,1477.3436586980813,0.8994594594594595
74167,1.10213663639689,1.10213663639689,2.5953161968330245e-08,0.2448765184284501,1504.4150672906885,0.931891891891892
81929,1.1343611557800712,1.1343611557800712,2.678100229777201e-08,0.2485817652085521,1491.0752252305024,0.927027027027027
90709,1.0666464675316922,1.0666464675316922,3.147718635030805e-08,0.2847758578739309,1576.896374403323,0.8983783783783784
98251,1.1035250242048156,1.1035250242048156,3.235300975344559e-08,0.3129742683579579,1418.4416945544883,0.8783783783783784
105019,1.1346179383751798,1.1346179383751798,2.3268374969567255e-08,0.2055532556608265,1625.1806434834598,0.9432432432432432
113117,1.1041370737478235,1.1041370737478235,2.937694508018148e-08,0.281763344934014,1438.792407434643,0.9081081081081082
121021,1.0943337985298265,1.0943337985298265,2.94045102535759e-08,0.2685458230112915,1570.855756232908,0.92
129121,1.117284538993348,1.117284538993348,2.5151376385711976e-08,0.226316329052256,1564.1500630764972,0.9416216216216216
137077,1.1598021331914048,1.1598021331914048,2.598631810884008e-08,0.2521114080676108,1433.412000714692,0.9237837837837838
145093,1.1204458330812745,1.1204458330812743,2.9566098035330253e-08,0.2725654795364886,1495.9542432677065,0.9124324324324324
153133,1.1074687380931814,1.1074687380931814,2.7071586736029656e-08,0.2478319171685908,1566.767374887859,0.9248648648648649
161123,1.0641305172629836,1.0641305172629836,2.8235182071593593e-08,0.2473262503070457,1536.4124696337406,0.9302702702702704
