time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,inventory_change_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-05,4.5158216006596226e-05,1.4637783388701948e-10,7.889967867514158e-15,1.46385723854887e-10,1.4638572385488702e-10,1.46385723854887e-10,-2.5849394142282115e-26,1.7658411941800256e-16,1.242867847621046e-12
1.0969857978923841e-05,4.953594662568202e-05,1.605680030750374e-10,9.493584926485024e-15,1.6057749665996389e-10,1.6057749665996389e-10,1.6057749665996389e-10,0.0,0.0,1.4954777588347224e-12
1.2033778407775906e-05,5.4337853340043645e-05,1.7613311537427256e-10,1.1423213474938107e-14,1.761445385877475e-10,1.761445385877475e-10,1.761445385877475e-10,0.0,0.0,1.7994426571708186e-12
1.3200884008314168e-05,5.960499358796934e-05,1.9320625617677644e-10,1.374511978324602e-14,1.9322000129655968e-10,1.9322000129655968e-10,1.9322000129655968e-10,0.0,0.0,2.1652011424070333e-12
1.448118227674533e-05,6.538239022080145e-05,2.1193336453944063e-10,1.6539033344800186e-14,2.1194990357278543e-10,2.119499035727854e-10,2.1194990357278543e-10,2.5849394142282115e-26,1.2195992405066233e-16,2.6053126096520986e-12
1.588565129428053e-05,7.17194127418488e-05,2.3247446894862892e-10,1.9900874614909486e-14,2.3249436982324383e-10,2.3249436982324383e-10,2.3249436982324383e-10,0.0,0.0,3.1348869366437227e-12
1.742633386009651e-05,7.867019480312623e-05,2.5500504061253e-10,2.394605168635707e-14,2.5502898666421633e-10,2.550289866642164e-10,2.5502898666421633e-10,-5.169878828456423e-26,2.0271730269090304e-16,3.772103792841147e-12
1.9116440753857038e-05,8.629409134960289e-05,2.7971747526869475e-10,2.881343481851119e-14,2.7974628870351325e-10,2.797462887035133e-10,2.7974628870351325e-10,-5.169878828456423e-26,1.848059844660057e-16,4.538838727455443e-12
2.0970464013232308e-05,9.4656179275237e-05,3.0682271603259756e-10,3.4670066518824275e-14,3.068573860991164e-10,3.068573860991164e-10,3.068573860991164e-10,0.0,0.0,5.46140512543124e-12
2.3004301197729168e-05,0.00010382780523125663,3.365520290875689e-10,4.171692457395622e-14,3.3659374601214286e-10,3.3659374601214286e-10,3.3659374601214286e-10,0.0,0.0,6.5714620294059706e-12
