time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e-05,7.258881456329479e-05,2.352928494161414e-10,6.618416912506648e-14,2.353590335852665e-10,2.3535903358548015e-10,-2.1367109198010396e-22,9.078516712319039e-13,1.0438453078297836e-11,0.007256137098565433,0.0
5.317724787430056e-05,7.719714671325102e-05,2.5023051728057163e-10,7.485776272777994e-14,2.503053750432994e-10,2.503053750435494e-10,-2.500153401441526e-22,9.988412757842441e-13,1.1806437311371153e-11,0.007716610668300422,0.0
5.655639382969606e-05,8.209774836460005e-05,2.661155614617784e-10,8.466857726868732e-14,2.6620023003904707e-10,2.662002300393382e-10,-2.911158768303812e-22,1.0935973901576307e-12,1.3353782070683955e-11,0.00820626403438411,0.0
6.0150267471166206e-05,8.730911745114621e-05,2.830079420456139e-10,9.576572591902505e-14,2.831037077715329e-10,2.831037077718708e-10,-3.379032802279118e-22,1.1935671308840621e-12,1.5104005228589772e-11,0.008726940807384531,0.0
6.397251366039366e-05,9.28509198984951e-05,3.009714051023232e-10,1.0831491085534677e-13,3.010797200131786e-10,3.0107972001356675e-10,-3.8815450244050824e-22,1.2892083944512034e-12,1.7083241046767684e-11,0.009280600717859865,0.0
6.803764432121665e-05,9.874406007937885e-05,3.200737110637991e-10,1.2250402142452004e-13,3.2019621508522363e-10,3.201962150856637e-10,-4.400600858782107e-22,1.3743450582652243e-12,1.9321123109156518e-11,0.009869326420909102,0.0
7.236109353705672e-05,0.00010501075337383264,3.4038686992360306e-10,1.385521183566711e-13,3.4052542204195974e-10,3.4052542204245734e-10,-4.976008372389307e-22,1.4612736818718013e-12,2.1852201296535155e-11,0.010495330361903449,0.0
7.695927614951026e-05,0.00011167461574417655,3.6198743158958837e-10,1.5670286481407001e-13,3.6214413445440244e-10,3.6214413445496394e-10,-5.615005395586521e-22,1.5504891178307348e-12,2.4714905742875045e-11,0.011160964035119481,0.0
8.184965008058509e-05,0.00011876074790199468,3.849567587067648e-10,1.7723186852495433e-13,3.851339905752898e-10,3.851339905759222e-10,-6.324312770850742e-22,1.642107143384951e-12,2.7952704824031867e-11,0.011868726085399264,0.0
