time_s,reference_loading_mol_kg,homogeneous_loading_mol_kg,residual_mol_kg
0.0,0.0,0.0,0.0
5e-05,3.1007063009982625e-11,1.7248532491275304e-11,1.375853051870732e-11
5.317724787430056e-05,3.5068177606260965e-11,1.950610684089626e-11,1.5562070765364706e-11
5.655639382969606e-05,3.966086259688313e-11,2.205887832911736e-11,1.7601984267765768e-11
6.0150267471166206e-05,4.485462819055625e-11,2.4945376588379678e-11,1.990925160217657e-11
6.397251366039366e-05,5.0728061193286105e-11,2.8209129036433144e-11,2.251893215685296e-11
6.803764432121665e-05,5.7370005368544326e-11,3.189934855474174e-11,2.5470656813802583e-11
7.236109353705672e-05,6.488089844979542e-11,3.607164913528748e-11,2.880924931450794e-11
7.695927614951026e-05,7.337428063941548e-11,4.07888746632872e-11,3.2585405976128277e-11
8.184965008058509e-05,8.297849830384162e-11,4.612203422767779e-11,3.685646407616383e-11
8.705078261520076e-05,9.383862996989164e-11,5.2151364623648527e-11,4.1687265346243114e-11
9.258242089560768e-05,1.0611865980023324e-10,5.89675067078763e-11,4.715115309235694e-11
9.846556689537109e-05,1.20003933833862e-10,6.667285614768816e-11,5.333107768617384e-11
0.0001047225571575,1.3570393144044044e-10,7.538307952746008e-11,6.032085191298036e-11
0.0001113771475999,1.534553971140724e-10,8.522882084473818e-11,6.822657626933422e-11
0.0001184546037091,1.7352587342930396e-10,9.635770897472055e-11,7.71681644545834e-11
0.0001259817964658,1.9621769104518388e-10,1.0893634904647039e-10,8.728134199871348e-11
0.0001339873043662,2.2187247074815927e-10,1.231529047312246e-10,9.871956601693468e-11
0.0001425015219259,2.5087620449833074e-10,1.3921984717790058e-10,1.1165635732043017e-10
0.0001515567750783,2.8366498854103763e-10,1.573771290012596e-10,1.2628785953977802e-10
0.0001611874439074,3.2073149094864656e-10,1.778955082032032e-10,1.4283598274544337e-10
0.0001714300931778,3.6263224722051046e-10,2.010806251868458e-10,1.6155162203366467e-10
0.0001823236111606,4.0999588789954257e-10,2.272773916466155e-10,1.8271849625292707e-10
0.0001939093572805,4.635324157402159e-10,2.5687506027545545e-10,2.0665735546476047e-10
0.000206231319145,5.240436642270089e-10,2.903127880389409e-10,2.33730876188068e-10
0.0002193362795524,5.924350855020428e-10,3.280859843036688e-10,2.64349101198374e-10
0.0002332739941117,6.697290337046293e-10,3.7075331643044795e-10,2.989757172741814e-10
0.0002480973801501,7.570797297292743e-10,4.189448803162024e-10,3.381348494130719e-10
0.0002638627176241,8.557901162453896e-10,4.733711257557181e-10,3.8241899048967144e-10
0.0002806298627977,9.673308368061074e-10,5.348328809368067e-10,4.3249795586930075e-10
0.0002984624754985,1.0933616007200212e-09,6.042325948624285e-10,4.891290058575927e-10
0.0003174282608152,1.2357552258427134e-09,6.825873190254327e-10,5.531679068172807e-10
0.0003375992261536,1.3966246878776271e-09,7.710427314770976e-10,6.255819564005295e-10
0.0003590519546268,1.5783535388294715e-09,8.70889131771926e-10,7.074644070575455e-10
0.0003818678958189,1.7836301082032674e-09,9.835794668767492e-10,8.000506413265182e-10
0.0004061336750239,2.015485934406604e-09,1.1107492918533518e-09,9.047366425532522e-10
0.000431941422137,2.2773389405135863e-09,1.2542392682021358e-09,1.0230996723114504e-09
0.0004593891214431,2.5730419131262204e-09,1.4161201106055555e-09,1.156921802520665e-09
0.0004885809836348,2.906936924981676e-09,1.5987210341467688e-09,1.3082158908349073e-09
0.0005196278414683,3.2839163682313606e-09,1.8046609833533526e-09,1.479255384878008e-09
0.000552647570563,3.7094914247490076e-09,2.0368837175654045e-09,1.672607707183603e-09
0.0005877655369391,4.189868763033273e-09,2.2986970384193666e-09,1.8911717246139063e-09
0.0006251150729957,4.732036474926711e-09,2.5938146244538006e-09,2.1382218504729106e-09
0.0006648379837331,5.3438602732760955e-09,2.9264085795803145e-09,2.417451693695781e-09
0.0007070850851445,6.034191087181695e-09,3.3011610391117386e-09,2.7330300480699565e-09
0.000752016776819,6.812985381134026e-09,3.723324523372107e-09,3.089660857761919e-09
0.0007998036509307,7.691439607483434e-09,4.1987865925545e-09,3.492653014928934e-09
0.0008506271399262,8.68214022629058e-09,4.7341514739127285e-09,3.947988752377852e-09
0.0009046802053693,9.79923110201835e-09,5.336817082186885e-09,4.462414019831465e-09
0.0009621680705579,1.1058600180991449e-08,6.0150639673863705e-09,5.0435362136050785e-09
