time_s,reference_loading_mol_kg,homogeneous_loading_mol_kg,residual_mol_kg
0.0,0.0,0.0,0.0
5e-05,3.1007063009982625e-11,5.033657240315661e-11,-1.9329509393173983e-11
5.317724787430056e-05,3.5068177606260965e-11,5.692005871252134e-11,-2.1851881106260372e-11
5.655639382969606e-05,3.966086259688313e-11,6.436423801407285e-11,-2.4703375417189724e-11
6.0150267471166206e-05,4.485462819055625e-11,7.278180685118715e-11,-2.7927178660630905e-11
6.397251366039366e-05,5.0728061193286105e-11,8.229870949735626e-11,-3.157064830407016e-11
6.803764432121665e-05,5.7370005368544326e-11,9.305498430851221e-11,-3.568497893996788e-11
7.236109353705672e-05,6.488089844979542e-11,1.0521413970787924e-10,-4.033324125808382e-11
7.695927614951026e-05,7.337428063941548e-11,1.1895856675530064e-10,-4.5584286115885165e-11
8.184965008058509e-05,8.297849830384162e-11,1.3449491423353304e-10,-5.1516415929691424e-11
8.705078261520076e-05,9.383862996989164e-11,1.5205581173792605e-10,-5.821718176803441e-11
9.258242089560768e-05,1.0611865980023324e-10,1.719037207041596e-10,-6.578506090392636e-11
9.846556689537109e-05,1.20003933833862e-10,1.9433530528672191e-10,-7.433137145285992e-11
0.0001047225571575,1.3570393144044044e-10,2.19685473156208e-10,-8.398154171576756e-11
0.0001113771475999,1.534553971140724e-10,2.4833225668061886e-10,-9.487685956654646e-11
0.0001184546037091,1.7352587342930396e-10,2.807023070294684e-10,-1.0717643360016445e-10
0.0001259817964658,1.9621769104518388e-10,3.1727707606777205e-10,-1.2105938502258818e-10
0.0001339873043662,2.2187247074815927e-10,3.5860059067294547e-10,-1.367281199247862e-10
0.0001425015219259,2.5087620449833074e-10,4.052855007950878e-10,-1.5440929629675704e-10
0.0001515567750783,2.8366498854103763e-10,4.580229989770943e-10,-1.7435801043605667e-10
0.0001611874439074,3.2073149094864656e-10,5.17592686374823e-10,-1.9686119542617646e-10
0.0001714300931778,3.6263224722051046e-10,5.848735348444818e-10,-2.222412876239713e-10
0.0001823236111606,4.0999588789954257e-10,6.608578349982423e-10,-2.508619470986998e-10
0.0001939093572805,4.635324157402159e-10,7.466634021066011e-10,-2.8313098636638515e-10
0.000206231319145,5.240436642270089e-10,8.435482563984906e-10,-3.195045921714817e-10
0.0002193362795524,5.924350855020428e-10,9.529304066695815e-10,-3.6049532116753874e-10
0.0002332739941117,6.697290337046293e-10,1.0764087804878655e-09,-4.0667974678323616e-10
0.0002480973801501,7.570797297292743e-10,1.215783836926716e-09,-4.5870410719744166e-10
0.0002638627176241,8.557901162453896e-10,1.3730808426943775e-09,-5.172907264489879e-10
0.0002806298627977,9.673308368061074e-10,1.5505796673586262e-09,-5.832488305525188e-10
0.0002984624754985,1.0933616007200212e-09,1.7508453379034654e-09,-6.574837371834442e-10
0.0003174282608152,1.2357552258427134e-09,1.9767641774293995e-09,-7.41008951586686e-10
0.0003375992261536,1.3966246878776271e-09,2.231581256542472e-09,-8.349565686648449e-10
0.0003590519546268,1.5783535388294715e-09,2.518944365766895e-09,-9.405908269374237e-10
0.0003818678958189,1.7836301082032674e-09,2.8429504365963068e-09,-1.0593203283930394e-09
0.0004061336750239,2.015485934406604e-09,3.208201587577779e-09,-1.192715653171175e-09
0.000431941422137,2.2773389405135863e-09,3.6198668432573237e-09,-1.3425279027437375e-09
0.0004593891214431,2.5730419131262204e-09,4.083746389197644e-09,-1.5107044760714234e-09
0.0004885809836348,2.906936924981676e-09,4.606341861397281e-09,-1.6994049364156054e-09
0.0005196278414683,3.2839163682313606e-09,5.194946918959658e-09,-1.9110305507282973e-09
0.000552647570563,3.7094914247490076e-09,5.857734713510189e-09,-2.1482432887611812e-09
0.0005877655369391,4.189868763033273e-09,6.603855403677593e-09,-2.41398664064432e-09
0.0006251150729957,4.732036474926711e-09,7.443553586819542e-09,-2.711517111892831e-09
0.0006648379837331,5.3438602732760955e-09,8.388289818418469e-09,-3.044429545142373e-09
0.0007070850851445,6.034191087181695e-09,9.450874990121167e-09,-3.4166839029394717e-09
0.000752016776819,6.812985381134026e-09,1.064562256740346e-08,-3.8326371862694334e-09
0.0007998036509307,7.691439607483434e-09,1.1988489395438119e-08,-4.297049787954685e-09
0.0008506271399262,8.68214022629058e-09,1.3497322343575526e-08,-4.815182117284945e-09
0.0009046802053693,9.79923110201835e-09,1.5192004576491854e-08,-5.392773474473504e-09
0.0009621680705579,1.1058600180991449e-08,1.709469287995197e-08,-6.03609269896052e-09
0.0010233089996959,1.2478087176229508e-08,1.923006141097724e-08,-6.7519742347477316e-09
0.0010883351265767,1.4077714848897864e-08,2.162549267037078e-08,-7.547777821472917e-09
0.0011574933359255,1.5879946070504342e-08,2.431137498273215e-08,-8.431428912227808e-09
0.0012310462007473,1.790996920467342e-08,2.7321638782465093e-08,-9.411669577791672e-09
0.0013092729792371,2.0196014731220057e-08,3.0693875281265846e-08,-1.049786055004579e-08
0.0013924706750403,2.2769706115779372e-08,3.4469712917326284e-08,-1.1700006801546912e-08
0.0014809551648862,2.5666448130026953e-08,3.8694909929547215e-08,-1.3028461799520263e-08
0.0015750623978776,2.892585613469577e-08,4.342063528915779e-08,-1.4494779154462024e-08
0.0016751496709886,3.2592229985244017e-08,4.8703311849081456e-08,-1.611108186383744e-08
0.0017815969856142,3.6715076533124866e-08,5.460470970538349e-08,-1.7889633172258624e-08
0.0018948084903223,4.1349684939713024e-08,6.119344252253391e-08,-1.9843757582820886e-08
0.002015214015284,4.655775886422655e-08,6.854510714116806e-08,-2.1987348276941507e-08
0.0021432707042104,5.2408110825091324e-08,7.674233865969537e-08,-2.4334227834604043e-08
0.0022794647499905,5.8977422545236936e-08,8.587633326860524e-08,-2.68989107233683e-08
0.0024243132406195,6.635107718736346e-08,9.604720633237608e-08,-2.9696129145012618e-08
0.0025783661224274,7.46240680964225e-08,1.073645873230629e-07,-3.27405192266404e-08
0.0027422082880605,8.390198914476659e-08,1.1994833935237737e-07,-3.604635020761078e-08
0.002916461797143,9.43021122116274e-08,1.3392990010330913e-07,-3.962778789168173e-08
0.0031017882380521,1.0595455754271892e-07,1.4945243782327704e-07,-4.3497880280558116e-08
0.0032988912397697,1.1900355984009186e-07,1.6667225868771252e-07,-4.766869884762066e-08
0.0035085191433519,1.3360884010949237e-07,1.8575992295280338e-07,-5.215108284331101e-08
0.003731467843155,1.4994708168510337e-07,2.0690072641150768e-07,-5.695364472640431e-08
0.0039685838086087,1.682135218141875e-07,2.302965249051171e-07,-6.20830030909296e-08
0.0042207672980064,1.8862366005553317e-07,2.5616631428921243e-07,-6.754265423367926e-08
0.0044889757765166,2.1141508618821221e-07,2.8474787135818515e-07,-7.333278516997294e-08
0.0047742275513911,2.368494338800121e-07,3.162989038718271e-07,-7.944946999181501e-08
0.0050776056381728,2.65214463361873e-07,3.5109849361863337e-07,-8.588403025676039e-08
0.0054002618725812,2.968262685066675e-07,3.8944877402739885e-07,-9.262250552073137e-08
0.0057434212836877,3.320316215637003e-07,4.3167568938497694e-07,-9.964406782127663e-08
0.0061083867449839,3.7121045229935473e-07,4.781321320295656e-07,-1.0692167973021086e-07
0.006496543921002,4.1477845830669033e-07,5.291979074416239e-07,-1.1441944913493357e-07
0.0069093665282681,4.631898487761657e-07,5.852834575341194e-07,-1.2209360875795374e-07
0.0073484219305622,5.169402244565119e-07,6.468312052748502e-07,-1.2989098081833834e-07
0.007815377089729,5.765695757206378e-07,7.143175006112962e-07,-1.3774792489065839e-07
0.008312004894633,6.426654175858352e-07,7.88255879643732e-07,-1.4559046205789677e-07
0.008840190892286,7.158660502833112e-07,8.691990192690366e-07,-1.533329689857254e-07
0.0094019404467045,7.968639498591306e-07,9.57742013492596e-07,-1.608780636334654e-07
0.0099993863526764,8.864092776446716e-07,1.0545241843040377e-06,-1.6811490665936612e-07
0.0106347969333434,9.853135105676504e-07,1.160233681525938e-06,-1.7492017095828767e-07
0.0113105846523451,1.0944531714730109e-06,1.2756104766359496e-06,-1.8115730516293873e-07
0.0120293152732203,1.2147736701167391e-06,1.4014499934703197e-06,-1.866763233535806e-07
0.0127937176008429,1.3472932868497286e-06,1.5386083171808627e-06,-1.9131503033113405e-07
0.0136066938418765,1.4931073072668373e-06,1.6880060628843811e-06,-1.9489875561754384e-07
0.0144713306235837,1.6533922776095158e-06,1.8506335301867108e-06,-1.9724125257719506e-07
0.0153909107128253,1.8294104291860343e-06,2.0275555056213166e-06,-1.9814507643528228e-07
0.0163689254797428,2.0225141484968286e-06,2.2199174431583096e-06,-1.9740329466148095e-07
0.0174090881534448,2.234150683040277e-06,2.428951673016142e-06,-1.948009899758653e-07
0.0185153479200257,2.4658671192432296e-06,2.655984534020616e-06,-1.9011741477738646e-07
0.0196919049164424,2.7193157046410347e-06,2.9024452529451395e-06,-1.8312954830410476e-07
0.0209432261771763,2.996259424196501e-06,3.1698734389644727e-06,-1.7361401476797188e-07
0.0222740625942249,3.2985779438025546e-06,3.4599287176804385e-06,-1.613507738778839e-07
