time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e-05,0.0003506988034685268,1.1367718463426523e-09,3.1915497402896075e-13,1.1370910013166812e-09,1.1370910013194794e-09,-2.7981452171137544e-21,2.460792684021586e-12,5.033657240315661e-11,0.035058575788643714,0.0
5.317724787430056e-05,0.0003729085317276256,1.2087635199673107e-09,3.608970375381073e-13,1.2091244170048488e-09,1.209124417007928e-09,-3.0791798302286455e-21,2.5466195098832877e-12,5.692005871252134e-11,0.03727806835968396,0.0
5.655639382969606e-05,0.0003965197045598065,1.2852979029457875e-09,4.080962554869364e-13,1.2857059992012745e-09,1.2857059992046578e-09,-3.3833755004950214e-21,2.631531238547529e-12,6.436423801407285e-11,0.03963751160081083,0.0
6.0150267471166206e-05,0.0004216200822504257,1.3666594656573175e-09,4.614671712115782e-13,1.3671209328285292e-09,1.367120932832243e-09,-3.713834155209956e-21,2.7165366764709426e-12,7.278180685118715e-11,0.042145656149698764,0.0
6.397251366039366e-05,0.0004483028494090455,1.4531502611446124e-09,5.218083242115742e-13,1.453672069468824e-09,1.4536720694728931e-09,-4.0691082283014814e-21,2.7991926884699345e-12,8.229870949735626e-11,0.044811791934878616,0.0
6.803764432121665e-05,0.000476666948729703,1.54509100698033e-09,5.900076163784672e-13,1.5456810145967086e-09,1.545681014601151e-09,-4.442373479716035e-21,2.8740557966045467e-12,9.305498430851221e-11,0.04764578124921793,0.0
7.236109353705672e-05,0.0005068173378143064,1.6428219177466963e-09,6.671017596709042e-13,1.6434890195063672e-09,1.6434890195112056e-09,-4.838386197975797e-21,2.943972329924537e-12,1.0521413970787924e-10,0.05065808305612762,0.0
7.695927614951026e-05,0.0005388654268403752,1.7467041237126127e-09,7.542471898807616e-13,1.7474583709024936e-09,1.7474583709077493e-09,-5.2556988170087996e-21,3.0076246189937163e-12,1.1895856675530064e-10,0.053859797065624535,0.0
8.184965008058509e-05,0.0005729294263839516,1.8571207982834509e-09,8.527541469339046e-13,1.8579735524303847e-09,1.8579735524360062e-09,-5.621519442910376e-21,3.0256186561643735e-12,1.3449491423353304e-10,0.05726269758431745,0.0
