time_s,reference_loading_mol_kg,homogeneous_loading_mol_kg,residual_mol_kg
0.0,0.0,0.0,0.0
5e-05,3.1007063009982625e-11,5.0337486450552465e-11,-1.933042344056984e-11
5.317724787430056e-05,3.5068177606260965e-11,5.692125086952054e-11,-2.1853073263259572e-11
5.655639382969606e-05,3.966086259688313e-11,6.436582763459783e-11,-2.47049650377147e-11
6.0150267471166206e-05,4.485462819055625e-11,7.278393420677415e-11,-2.7929306016217904e-11
6.397251366039366e-05,5.0728061193286105e-11,8.230016376156143e-11,-3.157210256827533e-11
6.803764432121665e-05,5.7370005368544326e-11,9.305651170354022e-11,-3.568650633499589e-11
7.236109353705672e-05,6.488089844979542e-11,1.0521574057423702e-10,-4.03348421244416e-11
7.695927614951026e-05,7.337428063941548e-11,1.1896024056897042e-10,-4.558595992955495e-11
8.184965008058509e-05,8.297849830384162e-11,1.344969321285953e-10,-5.151843382475368e-11
8.705078261520076e-05,9.383862996989164e-11,1.5205794326248304e-10,-5.82193132925914e-11
9.258242089560768e-05,1.0611865980023324e-10,1.7190596510951499e-10,-6.578730530928175e-11
9.846556689537109e-05,1.20003933833862e-10,1.94337659676521e-10,-7.433372584265901e-11
0.0001047225571575,1.3570393144044044e-10,2.1968793186039648e-10,-8.398400041995604e-11
0.0001113771475999,1.534553971140724e-10,2.4833481048194307e-10,-9.487941336787067e-11
0.0001184546037091,1.7352587342930396e-10,2.807049422101993e-10,-1.0717906878089535e-10
0.0001259817964658,1.9621769104518388e-10,3.1727983386451325e-10,-1.2106214281932938e-10
0.0001339873043662,2.2187247074815927e-10,3.586035854584226e-10,-1.3673111471026332e-10
0.0001425015219259,2.5087620449833074e-10,4.05288576846549e-10,-1.5441237234821826e-10
0.0001515567750783,2.8366498854103763e-10,4.580261215400383e-10,-1.7436113299900067e-10
0.0001611874439074,3.2073149094864656e-10,5.175958075399285e-10,-1.968643165912819e-10
0.0001714300931778,3.6263224722051046e-10,5.848765901167638e-10,-2.2224434289625338e-10
0.0001823236111606,4.0999588789954257e-10,6.608614410763601e-10,-2.5086555317681755e-10
0.0001939093572805,4.635324157402159e-10,7.466670837044913e-10,-2.8313466796427543e-10
0.000206231319145,5.240436642270089e-10,8.435519398544403e-10,-3.195082756274314e-10
0.0002193362795524,5.924350855020428e-10,9.52933984156074e-10,-3.6049889865403115e-10
0.0002332739941117,6.697290337046293e-10,1.0764130924174336e-09,-4.0668405871280427e-10
0.0002480973801501,7.570797297292743e-10,1.215788557917757e-09,-4.5870882818848275e-10
0.0002638627176241,8.557901162453896e-10,1.3730861223621997e-09,-5.172960061168101e-10
0.0002806298627977,9.673308368061074e-10,1.5505854152889063e-09,-5.832545784827989e-10
0.0002984624754985,1.0933616007200212e-09,1.7508519756111171e-09,-6.57490374891096e-10
0.0003174282608152,1.2357552258427134e-09,1.976772034005842e-09,-7.410168081631285e-10
0.0003375992261536,1.3966246878776271e-09,2.2315907771725167e-09,-8.349660892948895e-10
0.0003590519546268,1.5783535388294715e-09,2.518956148102383e-09,-9.406026092729114e-10
0.0003818678958189,1.7836301082032674e-09,2.842964321621219e-09,-1.0593342134179517e-09
0.0004061336750239,2.015485934406604e-09,3.2082188916462897e-09,-1.1927329572396857e-09
0.000431941422137,2.2773389405135863e-09,3.619888667745879e-09,-1.3425497272322929e-09
0.0004593891214431,2.5730419131262204e-09,4.083773837491239e-09,-1.510731924365019e-09
0.0004885809836348,2.906936924981676e-09,4.606375820611402e-09,-1.6994388956297258e-09
0.0005196278414683,3.2839163682313606e-09,5.194989789531968e-09,-1.911073421300607e-09
0.000552647570563,3.7094914247490076e-09,5.857788876909441e-09,-2.1482974521604334e-09
0.0005877655369391,4.189868763033273e-09,6.603923186099908e-09,-2.4140544230666354e-09
0.0006251150729957,4.732036474926711e-09,7.443639118937151e-09,-2.7116026440104394e-09
0.0006648379837331,5.3438602732760955e-09,8.388397473128654e-09,-3.0445371998525582e-09
0.0007070850851445,6.034191087181695e-09,9.451010862469315e-09,-3.41681977528762e-09
0.000752016776819,6.812985381134026e-09,1.0645789293950802e-08,-3.832803912816776e-09
0.0007998036509307,7.691439607483434e-09,1.198870050998094e-08,-4.2972609024975056e-09
0.0008506271399262,8.68214022629058e-09,1.34975906055363e-08,-4.815450379245719e-09
0.0009046802053693,9.79923110201835e-09,1.519234670678414e-08,-5.393115604765789e-09
0.0009621680705579,1.1058600180991449e-08,1.7095130832658613e-08,-6.036530651667164e-09
0.0010233089996959,1.2478087176229508e-08,1.9230624047530332e-08,-6.752536871300824e-09
0.0010883351265767,1.4077714848897864e-08,2.1626172538584477e-08,-7.548457689686612e-09
0.0011574933359255,1.5879946070504342e-08,2.431224209033706e-08,-8.432296019832718e-09
0.0012310462007473,1.790996920467342e-08,2.732275045224146e-08,-9.41278124756804e-09
0.0013092729792371,2.0196014731220057e-08,3.0695307501640215e-08,-1.0499292770420158e-08
0.0013924706750403,2.2769706115779372e-08,3.447146627577907e-08,-1.17017601599997e-08
0.0014809551648862,2.5666448130026953e-08,3.8697133026424025e-08,-1.3030684896397072e-08
0.0015750623978776,2.892585613469577e-08,4.342346678193392e-08,-1.449761064723815e-08
0.0016751496709886,3.2592229985244017e-08,4.870688123242508e-08,-1.6114651247181062e-08
0.0017815969856142,3.6715076533124866e-08,5.460913901287384e-08,-1.7894062479748974e-08
0.0018948084903223,4.1349684939713024e-08,6.11990279216892e-08,-1.9849342981976173e-08
0.002015214015284,4.655775886422655e-08,6.855207459755417e-08,-2.1994315733327618e-08
0.0021432707042104,5.2408110825091324e-08,7.675103592595116e-08,-2.4342925100859834e-08
0.0022794647499905,5.8977422545236936e-08,8.588716206599052e-08,-2.6909739520753586e-08
0.0024243132406195,6.635107718736346e-08,9.60607528742293e-08,-2.9709675686865838e-08
0.0025783661224274,7.46240680964225e-08,1.0738143016240869e-07,-3.275736206598619e-08
0.0027422082880605,8.390198914476659e-08,1.199692695608771e-07,-3.606728041611052e-08
0.002916461797143,9.43021122116274e-08,1.3395588241785097e-07,-3.965377020622357e-08
0.0031017882380521,1.0595455754271892e-07,1.4948457608640283e-07,-4.3530018543683905e-08
0.0032988912397697,1.1900355984009186e-07,1.6671208652182504e-07,-4.770852668173318e-08
0.0035085191433519,1.3360884010949237e-07,1.8580911175750027e-07,-5.22002716480079e-08
0.003731467843155,1.4994708168510337e-07,2.069614768329344e-07,-5.701439514783103e-08
0.0039685838086087,1.682135218141875e-07,2.3037139995276514e-07,-6.215787813857763e-08
0.0042207672980064,1.8862366005553317e-07,2.562585230506288e-07,-6.763486299509562e-08
0.0044889757765166,2.1141508618821221e-07,2.848612162834812e-07,-7.3446130095269e-08
0.0047742275513911,2.368494338800121e-07,3.164380040141181e-07,-7.958857013410598e-08
0.0050776056381728,2.65214463361873e-07,3.5126899085999227e-07,-8.605452749811929e-08
0.0054002618725812,2.968262685066675e-07,3.8965718141677997e-07,-9.283091291011249e-08
0.0057434212836877,3.320316215637003e-07,4.3193014441869466e-07,-9.989852285499434e-08
0.0061083867449839,3.7121045229935473e-07,4.78441842803889e-07,-1.0723139050453428e-07
0.006496543921002,4.1477845830669033e-07,5.29574500783469e-07,-1.1479604247677863e-07
0.0069093665282681,4.631898487761657e-07,5.857402190916506e-07,-1.225503703154849e-07
0.0073484219305622,5.169402244565119e-07,6.473840874673047e-07,-1.3044386301079282e-07
0.007815377089729,5.765695757206378e-07,7.149854736219717e-07,-1.3841589790133388e-07
0.008312004894633,6.426654175858352e-07,7.890611609078882e-07,-1.4639574332205294e-07
0.008840190892286,7.158660502833112e-07,8.701677258092384e-07,-1.543016755259272e-07
0.0094019404467045,7.968639498591306e-07,9.589046537183448e-07,-1.6204070385921418e-07
0.0099993863526764,8.864092776446716e-07,1.0559164697594528e-06,-1.695071921147812e-07
0.0106347969333434,9.853135105676504e-07,1.161896882093597e-06,-1.7658337152594675e-07
0.0113105846523451,1.0944531714730109e-06,1.2775925315536904e-06,-1.831393600806795e-07
0.0120293152732203,1.2147736701167391e-06,1.403806752407858e-06,-1.8903308229111882e-07
0.0127937176008429,1.3472932868497286e-06,1.5414040277092637e-06,-1.9411074085953512e-07
0.0136066938418765,1.4931073072668373e-06,1.6913145680698166e-06,-1.9820726080297933e-07
0.0144713306235837,1.6533922776095158e-06,1.8545397014292015e-06,-2.011474238196857e-07
0.0153909107128253,1.8294104291860343e-06,2.0321560243979597e-06,-2.0274559521192541e-07
0.0163689254797428,2.0225141484968286e-06,2.2253224115319653e-06,-2.0280826303513662e-07
0.0174090881534448,2.234150683040277e-06,2.4352863488662943e-06,-2.0113566582601738e-07
0.0185153479200257,2.4658671192432296e-06,2.6633914222183738e-06,-1.9752430297514422e-07
0.0196919049164424,2.7193157046410347e-06,2.911085410611979e-06,-1.9176970597094425e-07
0.0209432261771763,2.996259424196501e-06,3.179928602277174e-06,-1.8366917808067336e-07
0.0222740625942249,3.2985779438025546e-06,3.4716032328574737e-06,-1.730252890549191e-07
0.0236894669548157,3.6282736857654342e-06,3.7879226483590676e-06,-1.5964896259363338e-07
0.0251948131253257,3.987478559094629e-06,4.130842446534926e-06,-1.433638874402972e-07
0.0267958164542425,4.378461537360436e-06,4.502473962334624e-06,-1.24012424974188e-07
0.0284985554716303,4.803636962491898e-06,4.905097137467767e-06,-1.0146017497586873e-07
0.0303094949674878,5.265573332988651e-06,5.341173917593186e-06,-7.560058460453521e-08
0.0322355105366193,5.7670031615067e-06,5.8133629829659545e-06,-4.635982145925442e-08
0.0342839146832086,6.310832875519085e-06,6.324534685273419e-06,-1.3701809754334159e-08
0.0364624845842072,6.9001547753518e-06,6.87778819833556e-06,2.2366577016240353e-08
0.038779491616945,7.538260478225741e-06,7.476469426159346e-06,6.179105206639566e-08
0.0412437327630729,8.228655088866697e-06,8.124188516470111e-06,1.0446657239658579e-07
0.0438645640080667,8.975072533635483e-06,8.824837949542282e-06,1.5023458409320067e-07
