time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e-05,0.000350698803990153,1.1367718480334767e-09,3.1916076947269e-13,1.1370910088029493e-09,1.1370910088056672e-09,-2.7179086976961107e-21,2.390229697226118e-12,5.0337486450552465e-11,0.035058081805888826,0.0
5.317724787430056e-05,0.0003729085311309635,1.2087635180332617e-09,3.609045963133269e-13,1.209124422629575e-09,1.2091244226325655e-09,-2.9904647095323333e-21,2.4732481236474784e-12,5.692125086952054e-11,0.03727750956879957,0.0
5.655639382969606e-05,0.0003965197018483745,1.2852978941568223e-09,4.0810633434755685e-13,1.2857060004911698e-09,1.2857060004944556e-09,-3.285768188213764e-21,2.5556139482510984e-12,6.436582763459783e-11,0.03963687942402811,0.0
6.0150267471166206e-05,0.0004216200762430729,1.3666594461847973e-09,4.614806595379521e-13,1.3671209268443353e-09,1.367120926847941e-09,-3.605680290118648e-21,2.6374260091475377e-12,7.278393420677415e-11,0.04214494087940504,0.0
6.397251366039366e-05,0.0004483028545070307,1.4531502776694648e-09,5.218175448563753e-13,1.4536720952143212e-09,1.453672095218268e-09,-3.9468922927967716e-21,2.7151187023399165e-12,8.230016376156143e-11,0.04481098435148142,0.0
6.803764432121665e-05,0.0004766669571504953,1.5450910342758884e-09,5.900173007033471e-13,1.5456810515765917e-09,1.5456810515808986e-09,-4.306922654410477e-21,2.78642391973779e-12,9.305651170354022e-11,0.047644868269533944,0.0
7.236109353705672e-05,0.0005068173503780589,1.6428219584714434e-09,6.671119098348197e-13,1.6434890703812782e-09,1.643489070385966e-09,-4.687839326491146e-21,2.8523702475187304e-12,1.0521574057423702e-10,0.050657050946420215,0.0
7.695927614951026e-05,0.0005388654445416083,1.7467041810902348e-09,7.542578025612205e-13,1.747458438892796e-09,1.7474584388978848e-09,-5.088815128426226e-21,2.912123696421485e-12,1.1896024056897042e-10,0.05385863030781052,0.0
8.184965008058509e-05,0.0005729294477644158,1.8571208675871084e-09,8.527669412346573e-13,1.857973634528343e-09,1.857973634533749e-09,-5.406038893340312e-21,2.9096424151879508e-12,1.344969321285953e-10,0.05726137834693235,0.0
