time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e-05,0.0003512082392259202,1.1384231557306443e-09,3.198072958327997e-13,1.1387429630264771e-09,1.1387429630279084e-09,-1.4312292548698761e-21,1.2568501420761794e-12,5.043945547370564e-11,0.01755911210158893,1.947055793012654e-206
5.317724787430056e-05,0.0003734845891529997,1.210630780010873e-09,3.61730287496029e-13,1.210992510298369e-09,1.2109925102999973e-09,-1.628305035810635e-21,1.3446037212957308e-12,5.70514774596816e-11,0.018672759181781608,2.2977423765635292e-206
5.655639382969606e-05,0.000397171178793622,1.2874096226331504e-09,4.090655787264288e-13,1.2878186882118768e-09,1.2878186882137766e-09,-1.8998270718811663e-21,1.475228686513514e-12,6.451711800466433e-11,0.019856896091210493,1.015567067976915e-205
6.0150267471166206e-05,0.0004223568409046255,1.3690476303369805e-09,4.625986561459039e-13,1.3695102289931263e-09,1.3695102289953384e-09,-2.2120877531199343e-21,1.6152400371209377e-12,7.296026270478321e-11,0.021115961393050095,1.986212945290954e-205
6.397251366039366e-05,0.00044913603530069725,1.4558509896758535e-09,5.231416383164416e-13,1.45637413131417e-09,1.45637413131674e-09,-2.570050163202257e-21,1.7646908908486433e-12,8.250899749985413e-11,0.022454674770837554,3.1711501053296196e-205
6.803764432121665e-05,0.0004776091195119962,1.548145004339787e-09,5.916130980735849e-13,1.5487366174378606e-09,1.5487366174408405e-09,-2.9799181567222822e-21,1.9240961459582142e-12,9.330819811423189e-11,0.02387805036030076,4.604007317753835e-205
7.236109353705672e-05,0.0005078827098212827,1.646275265438317e-09,6.690520192911871e-13,1.6469443174576082e-09,1.6469443174610575e-09,-3.4493431543461254e-21,2.0943896631937502e-12,1.0552173129369113e-10,0.02539141474436528,6.32317437471975e-205
7.695927614951026e-05,0.000540070063442366,1.7506088903119658e-09,7.56633583617247e-13,1.7513655238955831e-09,1.7513655238995683e-09,-3.985149396127349e-21,2.2754526920537217e-12,1.1933494466219215e-10,0.027000425997772977,8.372448720381874e-205
8.184965008058509e-05,0.0005742914829471598,1.8615358334614086e-09,8.556870271315286e-13,1.86239152048854e-09,1.8623915204931386e-09,-4.598503820335419e-21,2.46913915239358e-12,1.349574830431424e-10,0.028711093835699402,1.0801768290301116e-204
8.705078261520076e-05,0.0006106747440880406,1.9794702733112947e-09,9.677158383392796e-13,1.980437989149634e-09,1.980437989154932e-09,-5.298091823402142e-21,2.675212176505904e-12,1.5262647405215238e-10,0.03052980092259899,1.3668041955434102e-204
9.258242089560768e-05,0.0006493555641000071,2.1048521301872253e-09,1.094405395823301e-12,2.1059465355830487e-09,2.1059465355891393e-09,-6.090530850227943e-21,2.892063377346906e-12,1.7260773269435562e-10,0.03246332622839972,2.101851769163475e-204
9.846556689537109e-05,0.0006904781686774647,2.238148904141376e-09,1.2375638952712668e-12,2.2393864680366474e-09,2.239386468043599e-09,-6.951625867895645e-21,3.104254655056843e-12,1.9518644447697655e-10,0.03451887346273417,6.312700647262108e-204
0.0001047225571575,0.0007341955139131173,2.3798563943558156e-09,1.3994225778155679e-12,2.3812558169336312e-09,2.3812558169415453e-09,-7.914050510601092e-21,3.3234776601053297e-12,2.2071451690561256e-10,0.036704081444362005,1.2553365390963405e-203
0.0001113771475999,0.0007806700813063837,2.530501276120748e-09,1.5824187422424982e-12,2.5320836948629906e-09,2.5320836948719775e-09,-8.986903765082369e-21,3.5492127623122457e-12,2.495763565438702e-10,0.03902706427833824,2.145226741119453e-203
0.0001184546037091,0.0008300743645480492,2.690642678721523e-09,1.7893062631400296e-12,2.692431984984663e-09,2.6924319849948426e-09,-1.0179698208383835e-20,3.7808562166532625e-12,2.8220629974514137e-10,0.04149643537873677,3.3797729407927325e-203
0.0001259817964658,0.0008825914651845679,2.860874116253348e-09,2.0231964884269505e-12,2.862897312741775e-09,2.8628973127532768e-09,-1.150194641754985e-20,4.017589581824125e-12,3.1909506294040765e-10,0.044121337082706505,5.0574926838874527e-203
0.0001339873043662,0.0009384157191625002,3.041825518532342e-09,2.2876065273142763e-12,3.044113125059656e-09,3.044113125072479e-09,-1.2822953855797035e-20,4.2123775723649314e-12,3.60797358532284e-10,0.04691147178334282,2.0099766253577756e-200
0.0001425015219259,0.000997753360584618,3.234165382626269e-09,2.5865095049087476e-12,3.236751892131178e-09,3.2367518921451647e-09,-1.3986796977659145e-20,4.321244705719277e-12,4.079398209644625e-10,0.049877134904438084,8.367003407701366e-200
0.0001515567750783,0.0010608232229879337,3.4386030460106223e-09,2.924388885088116e-12,3.4415274348957104e-09,3.4415274349108077e-09,-1.5097286950011585e-20,4.386798372392709e-12,4.612295744319712e-10,0.053029249727374925,1.7719147624491588e-199
0.0001611874439074,0.0011278574687504008,3.6558910509023347e-09,3.306311042252053e-12,3.659197361944587e-09,3.6591973619606833e-09,-1.6096521129975642e-20,4.398921276372683e-12,5.214656787726411e-10,0.05637940357652316,3.0974133760799264e-199
0.0001714300931778,0.0011991023636927702,3.886827655091216e-09,3.737997640891944e-12,3.890565652732108e-09,3.890565652749017e-09,-1.6909226081808992e-20,4.346212759540809e-12,5.895505450480999e-10,0.05993988624205909,4.92680989387456e-199
0.0001823236111606,0.0012748190894676123,4.132259465256523e-09,4.225909723664588e-12,4.136485374980188e-09,4.136485374997624e-09,-1.743614013200527e-20,4.215206522279868e-12,6.665031977698196e-10,0.06372373024868662,7.4018057456086535e-199
