time_s,reference_loading,predicted_loading
0.0,0.0,0.0
5e-05,3.591077823511322e-11,7.710663361917833e-12
5.317724787430056e-05,4.061410310624559e-11,8.720768179287085e-12
5.655639382969606e-05,4.5933050599261315e-11,9.863304096768677e-12
6.0150267471166206e-05,5.194811182453368e-11,1.115563513805265e-11
6.397251366039366e-05,5.87502925363799e-11,1.2617402146358165e-11
6.803764432121665e-05,6.644247619902599e-11,1.4270821333350142e-11
7.236109353705672e-05,7.514097018025898e-11,1.6141021975785907e-11
7.695927614951026e-05,8.497726639100825e-11,1.8256428393227995e-11
8.184965008058509e-05,9.609999258890782e-11,2.064919201328134e-11
8.705078261520076e-05,1.086771424590764e-10,2.3354959572698922e-11
9.258242089560768e-05,1.2289860491182195e-10,2.641427518063534e-11
9.846556689537109e-05,1.389790110756184e-10,2.987438458970863e-11
0.0001047225571575,1.5716094040352094e-10,3.3787819670777e-11
0.0001113771475999,1.7771851974201607e-10,3.821399920252588e-11
0.0001184546037091,2.009615418672356e-10,4.3220131842456227e-11
0.0001259817964658,2.2724009504422469e-10,4.888223749682022e-11
0.0001339873043662,2.5694973580934084e-10,5.528390740441809e-11
0.0001425015219259,2.9053739431984773e-10,6.252312594678473e-11
0.0001515567750783,3.285080036082389e-10,7.071013508876902e-11
0.0001611874439074,3.7143199797310506e-10,7.996912301318623e-11
0.0001714300931778,4.19953742504154e-10,9.044026856736304e-11
0.0001823236111606,4.748010595879579e-10,1.0227953544416959e-10
0.0001939093572805,5.367959650385482e-10,1.1566712046620525e-10
0.000206231319145,6.068667648319491e-10,1.3080519511639593e-10
0.0002193362795524,6.860616919256786e-10,1.4792283452869764e-10
0.0002332739941117,7.755643004512105e-10,1.6727850658765182e-10
0.0002480973801501,8.767107546295161e-10,1.8916359522001746e-10
0.0002638627176241,9.910093352359395e-10,2.1390799647777124e-10
0.0002806298627977,1.1201623673792904e-09,2.41884501868458e-10
0.0002984624754985,1.266090983081715e-09,2.7351434933135384e-10
0.0003174282608152,1.4309628915424384e-09,3.092734871111916e-10
0.0003375992261536,1.6172236557738432e-09,3.4969964096565726e-10
0.0003590519546268,1.827631868558705e-09,3.954002863839262e-10
0.0003818678958189,2.065298708091018e-09,4.470616400863551e-10
0.0004061336750239,2.333732333679405e-09,5.054587991574795e-10
0.000431941422137,2.63688779583203e-09,5.71467171931377e-10
0.0004593891214431,2.9792230639109715e-09,6.460753623355652e-10
0.0004885809836348,3.3657618815942474e-09,7.303996890673494e-10
0.0005196278414683,3.802164284551178e-09,8.257046490470375e-10
0.000552647570563,4.294805643079131e-09,9.334131582357737e-10
0.0005877655369391,4.850865231414973e-09,1.0551303565871124e-09
0.0006251150729957,5.478425413623139e-09,1.1926698083948463e-09
0.0006648379837331,6.1865826310402846e-09,1.3480781409317633e-09
0.0007070850851445,6.985571533093878e-09,1.5236646419089849e-09
0.000752016776819,7.886903718180745e-09,1.7220345423589575e-09
0.0007998036509307,8.903522659535223e-09,1.9461306602705516e-09
0.0008506271399262,1.0049976615944943e-08,2.199277414424587e-09
0.0009046802053693,1.13426114149175e-08,2.48520725114121e-09
0.0009621680705579,1.2799785239222132e-08,2.8081358402472913e-09
0.0010233089996959,1.4442107692130977e-08,3.1728147999408456e-09
0.0010883351265767,1.629270562101095e-08,3.584602605358405e-09
0.0011574933359255,1.8377518476571672e-08,4.049548163456237e-09
0.0012310462007473,2.0725625921677755e-08,4.574447160600129e-09
0.0013092729792371,2.3369611191845063e-08,5.166961528646324e-09
0.0013924706750403,2.6345963074132192e-08,5.835717444988273e-09
0.0014809551648862,2.9695520708316882e-08,6.590425036653785e-09
0.0015750623978776,3.3463964448558655e-08,7.442016035896836e-09
0.0016751496709886,3.770235736172031e-08,8.402788253439838e-09
0.0017815969856142,4.2467741343336944e-08,9.486574079799653e-09
0.0018948084903223,4.782379258427722e-08,1.0708921080179548e-08
0.002015214015284,5.3841540566439776e-08,1.208731077856191e-08
0.0021432707042104,6.060015680862499e-08,1.3641385147821305e-08
0.0022794647499905,6.818781592213935e-08,1.5393203077721503e-08
0.0024243132406195,7.670263769391799e-08,1.7367523884578927e-08
0.0025783661224274,8.625371147964242e-08,1.9592144563293146e-08
0.0027422082880605,9.696221109466005e-08,2.2098240660806726e-08
0.002916461797143,1.0896260400622275e-07,2.4920761708037347e-08
0.0031017882380521,1.2240395970433577e-07,2.8098885247748666e-08
0.0032988912397697,1.374513636561116e-07,3.167648536422134e-08
0.0035085191433519,1.5428743583958517e-07,3.570268856876333e-08
0.003731467843155,1.7311396838189416e-07,4.023245425080395e-08
0.0039685838086087,1.9415367447325185e-07,4.532725400692771e-08
0.0042207672980064,2.176520567979179e-07,5.105579998655582e-08
0.0044889757765166,2.438794025513438e-07,5.749480731355634e-08
0.0047742275513911,2.7313289476433254e-07,6.472996026144341e-08
0.0050776056381728,3.0573884926867974e-07,7.285680250128789e-08
0.0054002618725812,3.420550760528529e-07,8.198186607787076e-08
0.0057434212836877,3.824733486868219e-07,9.222381858493391e-08
0.0061083867449839,4.274220029128141e-07,1.0371476919837874e-07
0.006496543921002,4.773686465982327e-07,1.1660166147782774e-07
