seed,pores,throats,qa_pass,volume_relative_error,incidence_row_error,laplacian_relative_row_error,face_centre_outside_segment_count,face_centre_outside_segment_fraction,sampled_solid_crossing_count,sampled_clearance_below_assigned_radius_count,lowest_pore_z_m,inlet_pore_max_z_m,inlet_pores
18427,9397,18104,True,0.0,6.661338147750939e-16,2.6314319389353565e-16,3244,0.17918692001767564,0,0,0.00016319099455640076,0.002700829327143537,20
27183,9351,18007,True,0.0,5.551115123125783e-16,3.6098865167020316e-17,3352,0.186149830621425,0,0,4.292500951935252e-05,0.0026260386984806637,23
31991,9420,18163,True,0.0,6.661338147750939e-16,1.4489492783438132e-16,3369,0.18548697902328912,0,0,6.987372641088637e-05,0.0032174700456517585,20
40213,9372,18047,True,0.0,6.661338147750939e-16,1.081665733018254e-16,3314,0.1836316285255167,0,0,4.4890448350089165e-06,0.003128216615933998,19
47837,9359,18034,True,0.0,6.661338147750939e-16,2.2006005839865355e-17,3151,0.17472551846512144,0,0,5.172076081578771e-05,0.002685536122583165,20
52691,9438,18195,True,0.0,6.661338147750939e-16,1.7665031999402641e-16,3481,0.1913162956856279,0,0,3.77425348078937e-07,0.0029265603423062154,22
61417,9376,18066,True,0.0,6.661338147750939e-16,1.4917100288948312e-16,3318,0.18365991364995018,0,0,0.00020517049924951729,0.0021053225247142093,17
69371,9370,18056,True,0.0,6.661338147750939e-16,1.9789878742647774e-17,3163,0.1751772264067346,0,0,0.00011530939844088454,0.003020235386086395,22
74167,9339,17984,True,0.0,4.440892098500626e-16,6.561790898649578e-17,3230,0.17960409252669038,0,0,5.005473908941925e-05,0.002248973924680653,19
81929,9363,18037,True,0.0,6.661338147750939e-16,1.24917526432533e-16,3294,0.182624604978655,0,0,3.423557030319131e-05,0.002117471759069088,19
90709,9444,18209,True,0.0,4.440892098500626e-16,1.324601037236842e-16,3418,0.18770937448514471,0,0,0.0001286872001317079,0.002801237051467611,20
98251,9369,18045,True,0.0,6.661338147750939e-16,2.0095520438230653e-17,3185,0.17650318647824884,0,0,3.7034744673711094e-05,0.0021707801413224427,20
105019,9376,18068,True,0.0,6.661338147750939e-16,9.223148856593638e-17,3324,0.1839716626079256,0,0,9.788123256441657e-05,0.001995850306190286,12
113117,9387,18102,True,0.0,5.551115123125783e-16,6.126484174073428e-17,3331,0.1840128162633963,0,0,0.00018623759425024454,0.0020483397470675174,22
121021,9372,18042,True,0.0,6.661338147750939e-16,1.8975844498871996e-16,3439,0.1906107970291542,0,0,0.00020490121368355494,0.002720478419866209,17
129121,9377,18064,True,0.0,5.551115123125783e-16,3.889924341701178e-17,3202,0.17725863596102745,0,0,1.5879842626479186e-05,0.0020045008213262867,15
137077,9333,17981,True,0.0,5.551115123125783e-16,1.703366959386642e-16,3161,0.17579667426728213,0,0,8.046206015553975e-05,0.0018019818737054483,22
145093,9389,18098,True,0.0,5.551115123125783e-16,1.1858822166713542e-16,3512,0.19405459166758757,0,0,5.78659758515537e-06,0.002973614106799901,21
153133,9386,18099,True,0.0,6.661338147750939e-16,8.362744313978033e-17,3312,0.18299353555445053,0,0,4.49833638756245e-05,0.002718325688420722,18
161123,9355,18024,True,0.0,4.440892098500626e-16,5.0098575055783375e-17,3338,0.18519751442521082,0,0,4.966329503142486e-05,0.0029267778208951025,18
