throat_id,pore_1,pore_2,particle_1,particle_2,particle_3,x_m,y_m,z_m,length_m,radius_m,area_m2
0,0,2,170,97,83,-0.0015169508980456782,0.00588334366063513,0.0011171141295492541,0.0006555970532958044,0.00026197930095717126,2.1561741280752945e-07
1,0,852,54,97,83,-0.0018047708495453501,0.00591734948948702,0.0014846534405368375,0.0008581438224490887,0.00024219333555551223,1.8427832226874757e-07
2,0,99,54,170,97,-0.0015471591257845124,0.005442488043195853,0.0015379206894928345,0.0009083404539319284,0.00018937378939891793,1.1266515326074075e-07
3,1,2018,817,687,971,-0.006654862501375861,-0.0002706276438124734,0.015351739681085715,0.0005996849065652218,0.0002669489409870006,2.238753497368125e-07
4,1,349,817,905,971,-0.006640490068877118,-0.00046295587078391034,0.015461302670244573,0.0004960318116386242,0.00026719354083940916,2.242858024996414e-07
5,1,79,817,905,687,-0.006920804357339032,-0.0005954207547413029,0.01504560866645555,0.0008359910758355208,0.00022557417837537153,1.5985588936544656e-07
6,2,70,221,97,83,-0.001411647827277626,0.0064900330196488,0.0012412166048367738,0.001242478777100208,0.00019147701578551624,1.1518161755415139e-07
7,2,464,221,170,97,-0.0009567549698029735,0.006056229044119445,0.0008494611629474341,0.00036433782586024884,0.00030625874708174923,2.9466386133519703e-07
8,3,4,62,161,122,0.003999478161051369,-0.005132392257278848,0.0015054972089861255,0.00047879814217753494,0.0003229899121314253,3.2773874726099616e-07
9,3,536,62,161,217,0.004271524064248192,-0.005083776286573828,0.0014675217680892296,0.0004163417469480238,0.0003551453694476632,3.9624353158573065e-07
10,4,23,153,161,122,0.00357378499268966,-0.00565440698030151,0.0016453552094618587,0.0009112653896753423,0.00019846511378811694,1.237423124463923e-07
11,4,5,153,62,161,0.003786247271665354,-0.005123052352330626,0.0015813761783633137,0.0004270487279295922,0.0003407848318506447,3.64846668797515e-07
12,5,540,62,161,3,0.003706996770994103,-0.004871694198517759,0.0018505068708773759,0.00012616230993319074,0.00040092638044351796,5.049857686252598e-07
13,5,20,153,161,3,0.003377273667491071,-0.005358789456862858,0.0021282627805989445,0.0009790018915704312,0.0002106380783827676,1.3938743969506127e-07
14,5,9,153,62,3,0.0033771480303440627,-0.004544064487755855,0.0018073279848888563,0.0006664367608050331,0.0003065638281749826,2.9525121532366057e-07
15,6,628,95,90,72,0.0022525202399830187,-0.003094644468055858,0.0008506545931893815,0.0012691528476466817,0.0002994578627832312,2.8172235759879156e-07
16,6,7,95,62,72,0.003290779365471443,-0.003141877218372274,0.0005829765747847944,0.00015183998081102717,0.0004611639013668208,6.681292449744112e-07
17,6,8,95,62,90,0.0027863921885938957,-0.004030240484328821,0.0009789185437541568,0.0012114980395572102,0.00022341865766816696,1.568154140378297e-07
18,7,6965,95,158,72,0.0032291175293994805,-0.0027484179146865274,0.0011280112353898937,0.0015837097743403071,0.00014416226550271864,6.529096235131218e-08
19,7,545,95,62,158,0.0035601746784434105,-0.0034269227513346726,0.0011296305371601297,0.0013427732480291521,0.0001475156777729044,6.836380562881648e-08
20,8,27,95,153,90,0.0025659344894545183,-0.00428137811087932,0.0014224683333852392,0.0007530186678751938,0.00022157787358505503,1.542420018777751e-07
21,8,9,95,153,62,0.0029519918598399416,-0.004315322044388548,0.0014246112050948603,0.0007839759166904089,0.00022110490919937168,1.535842366009174e-07
22,9,544,95,62,3,0.0033262458921219915,-0.004356414136577924,0.0018297917438512435,0.00019897898650603253,0.00031918306934793853,3.200586478157551e-07
23,9,28,95,153,3,0.002833150606577755,-0.004385388041550675,0.0018900177904749569,0.000857758582984864,0.00024454134281559614,1.8786871203719508e-07
24,10,4682,381,163,335,-0.005204772008221964,0.0034665315147509195,0.005184903071378758,0.00017322449555562044,0.0004846205520864466,7.378252756151183e-07
25,10,233,359,163,335,-0.005254119568575917,0.003252508042305439,0.004591098719164792,0.0009156776750799721,0.0002754923192654215,2.3843437250459423e-07
26,10,4672,359,381,335,-0.005426066948365661,0.0032813223256365574,0.005437193051514341,0.0002613270075230695,0.0005325235931614181,8.908971715374526e-07
27,10,50,359,381,163,-0.005322868247789408,0.004137702901821323,0.004934750598569958,0.001504510630672113,0.00013700189459529258,5.896618338728639e-08
28,11,71,1691,1685,1672,0.006234357701649398,0.0008566433082933455,0.03302604845198914,6.638477695696764e-05,0.0003871064254412892,4.7077200904595493e-07
29,11,44,1691,1674,1672,0.006356106905520607,0.0006820699948951301,0.03313584107976275,2.012705915174453e-05,0.0003983228102566388,4.984484241847773e-07
30,11,13,1691,1674,1685,0.006393190942470991,1.7153980033094503e-05,0.03301656511000547,0.0013923831403875927,0.00013912717840350818,6.080983535442349e-08
31,12,13,1691,1685,1772,0.006525192928850369,-0.000595367958646358,0.03282163255075955,0.00023756531515899986,0.00033248635217213087,3.472941909096119e-07
32,12,73,1691,1457,1772,0.0064556617065851555,-0.000772599802867134,0.032592110069352864,0.0006114442341592695,0.00033959791309251324,3.623096472416852e-07
33,12,446,1691,1457,1685,0.0065340044740958446,-0.0003558144108513432,0.03219260230775911,0.0007605632345804893,0.0002167461147270115,1.475884987817483e-07
34,13,325,1691,1674,1772,0.006336923867542763,-0.0007121624080827727,0.032940084277552094,0.0008913222819274263,0.00030762573671921174,2.9730020335402583e-07
35,14,1879,1737,1657,1801,-8.42064417262679e-05,0.006388274765627466,0.03456897033484865,0.0011285997284532026,0.00035928411962001916,4.05532734652794e-07
36,14,425,1737,1657,1843,-0.0006377132926363588,0.006263739343201309,0.034910736682802694,0.0007458929124044296,0.0004658414324474528,6.817514931326862e-07
37,15,16,1800,1724,1648,-0.0013833857870112912,-0.006579465780226222,0.033976352951409064,0.002054885324127086,0.00012429261170309955,4.853337579046319e-08
38,15,17,1800,1724,1714,-0.000353301616691766,-0.0065257763252894105,0.034027763606628875,0.0014425111281182515,0.0002721943036615289,2.3275977957846248e-07
39,16,865,1630,1800,1648,-0.0016671022423742762,-0.006475142316437187,0.033310162115265024,3.507004974311143e-05,0.00046736231483062525,6.862103340319169e-07
40,16,2127,1630,1800,1724,-0.001654505306272995,-0.0061273872381064605,0.03309296680415135,0.0008242083626392434,0.0004640445635401884,6.765022586413453e-07
41,17,524,1702,1724,1714,-0.00010767381009600007,-0.006362003232076413,0.033524934733124484,0.00039131759946260447,0.0003539011720846333,3.9347203790761546e-07
42,17,113,1702,1800,1714,-6.733556426080081e-05,-0.006214705474193686,0.03390060592154561,0.0011112091921001714,0.0003314178006192885,3.450654954018822e-07
43,17,112,1702,1800,1724,-0.0003756188732160648,-0.006189442296709614,0.033396946865116954,0.0011039176625774736,0.00030829276618235025,2.985908820484673e-07
44,18,1634,179,266,181,0.00034909507832097926,-0.006666207681683595,0.00447496896951599,0.0011522295038454387,0.00016005026915744114,8.04753159396964e-08
45,18,1513,357,266,181,0.0006465656000848659,-0.006875263563427624,0.00494769380457821,0.0001285753776257299,0.000328724535591534,3.394799376023038e-07
46,18,1511,357,179,181,0.000663911236630922,-0.007090591043559976,0.004956440039419674,0.0009272106937172722,0.00030804456640090843,2.981102975681182e-07
47,18,1510,357,179,266,0.0011146287629307224,-0.006608599959676229,0.004652295489819661,0.0012044644792381077,0.00014873757450755136,6.950103352308621e-08
48,19,603,516,594,469,-0.003889352051849387,-0.0038363209674475043,0.010805739228663113,0.001369967419853005,0.000153815011230845,7.432712179817229e-08
49,19,136,565,594,469,-0.0034084031624627724,-0.004287849451514788,0.01028869758048898,0.0011251806140309814,0.00014680687504029432,6.770841715752559e-08
50,19,384,565,516,469,-0.0036699941044933946,-0.004510344778035499,0.010931803537487943,0.000238688549244934,0.00039546141402747664,4.913128268165462e-07
51,19,598,565,516,594,-0.0037055912852475637,-0.004492612050454528,0.010887633634221313,0.0004101169856577107,0.0003939885787475622,4.876600034153406e-07
52,20,25,183,161,3,0.0032517534820860504,-0.005685440128101392,0.0025482811933690555,0.0006611451496783866,0.0002223022607652402,1.5525215296895602e-07
53,20,29,183,153,3,0.00289933715982057,-0.00559449162519683,0.002348688894924003,0.0010016859694790894,0.00021362542751631136,1.4336916716176663e-07
54,20,23,183,153,161,0.0033213612745585028,-0.00579249514207861,0.001986890789724173,0.0007052163223596208,0.000201548893784005,1.2761764038362664e-07
55,21,619,153,23,209,0.0020261414461808665,-0.0062425973421516715,0.0017976103515593108,6.497006451543487e-05,0.0004101009937939425,5.28361927828001e-07
56,21,31,183,153,209,0.0018811352627136604,-0.006129569563719149,0.0018046198990853105,0.00043112776424333063,0.00041549386985164835,5.423493374774409e-07
57,21,22,183,153,23,0.0026695753384250952,-0.006217671826017576,0.0015229737862936421,0.0012836121457357424,0.0001277504322536421,5.127133541673666e-08
58,22,23,183,153,122,0.003273941066468487,-0.0061167396033862745,0.0015427771499559534,0.0004919113445585766,0.000225602296813271,1.5989574479642732e-07
59,24,542,382,161,3,0.004098513242060811,-0.0049931828934684395,0.003078223061235504,0.00036738051743061116,0.00029758207260201306,2.7820401997498274e-07
60,24,25,57,161,3,0.0036815365450130746,-0.005420447087311788,0.0030094725371737205,0.001099080635028517,0.0001450426589958147,6.609085624324374e-08
61,24,2708,57,382,3,0.0040633424403378185,-0.004952855762517275,0.0032148007269155216,0.0007500470774158481,0.000292608038211106,2.689814791875983e-07
62,25,26,57,183,3,0.0031842568115884448,-0.0057922006422860646,0.002969607474930797,0.000625471569438233,0.00027792951589126114,2.426717458563319e-07
63,26,30,183,9,3,0.0025416052675627998,-0.005731141837914745,0.0029934415920416096,0.0008389752001531892,0.0003369414359064767,3.5666354127991776e-07
64,26,120,57,9,3,0.002870369970764034,-0.005321755296693129,0.0036207345118845053,0.001102452986122184,0.00019009568609927813,1.135257541221648e-07
65,26,1502,57,183,9,0.002740371118270584,-0.005899563973179848,0.003276573556257445,8.260751901117422e-06,0.0003777359922895871,4.4825651374401126e-07
66,27,617,269,153,90,0.0019454819199044163,-0.004722559563505117,0.001454062977856691,0.0009352662368725654,0.00012793549519074044,5.1419989262442994e-08
67,27,455,269,95,90,0.00206566933361937,-0.004070796179344525,0.0018210969004590633,0.0006366595437399252,0.00026114467771659567,2.1424575754561468e-07
68,27,28,269,95,153,0.0023068642257091715,-0.00432443579623643,0.0018021278300013538,0.00026684585949922205,0.00031199984056972166,3.0581488273137016e-07
69,28,29,269,153,3,0.0023322294032910363,-0.004897752350161101,0.0022255724699922863,0.0013208485464014097,0.0001727150853116612,9.371528183384921e-08
70,28,456,269,95,3,0.0023289994294283488,-0.004233760257831412,0.0021768517047956746,0.0003923452562593738,0.0003090731603128241,3.001044660315711e-07
71,29,30,269,183,3,0.002297153510458825,-0.005536533121214607,0.0023682666747669927,0.00014108522672460745,0.000410277368979323,5.288164986474973e-07
72,29,31,269,183,153,0.002067979682639906,-0.00572803097943397,0.0023288650432419164,0.0007211149540262288,0.00038391271190121726,4.6303610650108844e-07
73,30,458,269,9,3,0.0020694721330415684,-0.004914090796625762,0.0028863775174784384,0.0012456409086745739,0.00020641514999960892,1.3385451096155977e-07
74,30,32,269,183,9,0.0021164319743902206,-0.005659048192917857,0.0026498960751848,0.0004926840919348902,0.00044389557631687576,6.190297292868855e-07
75,31,616,269,153,209,0.0017800212074156256,-0.005955687637791124,0.0019920714326278344,0.00020218143242457738,0.00045413117285829005,6.47906744695221e-07
76,31,32,269,183,209,0.0018192179803750753,-0.005937516555738768,0.002268317837610437,0.0006125838406709699,0.0004404504728055986,6.094583530549302e-07
77,32,1507,183,9,209,0.0018913309833507056,-0.006188507500821773,0.002984268612332263,0.0004166987318876385,0.0004353854433638663,5.955218248662848e-07
78,32,7434,269,9,209,0.0015247159452981955,-0.005898595052032509,0.0027716940610318873,0.000539013691160985,0.000471382964515153,6.980678542506707e-07
79,33,143,1841,1665,1651,0.004515512048766532,-0.0043959605017368265,0.034093719314736405,0.0004993193904410296,0.0009192140318319586,2.654502649750854e-06
80,33,142,1795,1665,1651,0.004967533479998456,-0.005095754873054261,0.03534408322760294,0.0003369582028753038,0.0015517428935414497,7.564659824188044e-06
81,33,198,1795,1841,1665,0.004168192191808391,-0.0047155454338570005,0.03522942955581913,0.000525571964665045,0.0012824672434033815,5.167047276228841e-06
82,34,1421,1577,1601,1745,-0.0031565694877574613,-0.006049085815194005,0.028784715835876926,0.0008133601530183117,0.00019565806698172803,1.2026669870040566e-07
83,34,362,1544,1601,1745,-0.002908890809832531,-0.0063397408827368905,0.028289389260476732,0.0009762489313424395,0.00023103699698479193,1.6769222789684414e-07
84,34,667,1544,1577,1601,-0.0033737392530222327,-0.005847691052769225,0.028185492613306672,0.001165118544644434,0.00014189252707088467,6.325122188299472e-08
85,35,4425,1032,1292,1054,-0.00046258911179379884,-0.00602208712435489,0.021656167557760286,0.0007265391582628864,0.0004657356609418056,6.814419384626271e-07
86,35,87,1154,1292,1054,-0.00047068949226572015,-0.006062049960935706,0.021804222697141648,0.00017402360334505234,0.0004797272272698787,7.230005179643244e-07
87,35,85,1154,1032,1054,-0.00048089527404320985,-0.0061084568532256,0.02189718135672955,0.00027535560327622457,0.00047872103233213565,7.199708106609725e-07
88,35,701,1154,1032,1292,-0.0004606598696951053,-0.005924022287939425,0.021643255964336423,0.0006131167323847591,0.0004553532153928722,6.51398400641903e-07
89,36,39,1184,1204,1118,0.0052076291038123486,0.0038400967483361924,0.022122605659185363,0.0006501678806683285,0.0002720628089843167,2.3253494548924895e-07
90,36,38,1083,1204,1118,0.0051626934731060165,0.003628013330619289,0.022022166336632662,0.00046024423373490107,0.00027116474310646726,2.3100230654331707e-07
91,36,4383,1083,1184,1118,0.005038481684540229,0.0039050289287263867,0.021787608734391384,0.0009369531344914805,0.00032515600252281654,3.321493631384478e-07
92,36,338,1083,1184,1204,0.005065837515774138,0.003906561066963173,0.02177189190348492,0.0007540160398352698,0.0003250178864989199,3.3186724990134506e-07
93,37,62,1343,1236,1315,0.005201039600657374,0.0033744115913874433,0.02427912772711926,0.0006958813991219468,0.0002786001160553624,2.438442160770499e-07
94,37,5005,1211,1236,1315,0.004991029257026847,0.002754477655120742,0.024270905899271406,0.0009991107667622378,0.0002901542203987169,2.644890255358785e-07
95,37,167,1211,1343,1315,0.004507516151864208,0.003076642465666108,0.024369907928978137,0.0009667479630582889,0.00021452938177038406,1.4458506518459123e-07
96,37,41,1211,1343,1236,0.005024873751132859,0.003114525110995042,0.024035524058544908,0.00040736320043482986,0.0003377098568842911,3.582921938244721e-07
97,38,39,1070,1204,1118,0.005231647800545127,0.0036120085493325854,0.02217356843868354,0.0004233181276373168,0.0002711119006714532,2.3091228351999217e-07
98,38,177,1070,1083,1118,0.004860964972865402,0.0031216445033792266,0.022197092782116214,0.0011920606466557114,0.000127381942416959,5.097598270808514e-08
99,38,498,1070,1083,1204,0.00549601090784242,0.003123876456107129,0.02190811528127043,0.0013294101921053356,0.00012727376724431117,5.088943991895398e-08
100,39,65,1070,1184,1118,0.005334446574691287,0.003824453891102383,0.022508023656400804,0.00022625047655778398,0.00030921891241775885,3.0038757810246955e-07
101,39,60,1070,1184,1204,0.005418075271117368,0.0038252079715148414,0.02247361585145166,0.00022496025889027393,0.00030882796728785996,2.996284988901745e-07
102,40,735,1211,1343,1118,0.004258298772701052,0.003416020172573244,0.02342995210443573,0.001110684387387295,0.00013003429248881833,5.312093012814696e-08
103,40,64,1070,1343,1118,0.004889751581215568,0.0034231344492377737,0.023370016042784113,0.00025466383694450374,0.0002910249755624382,2.660788749495984e-07
104,40,178,1070,1211,1118,0.0046330977458358975,0.0029902751458623714,0.022970024794699118,0.0012148606445234393,0.00012360626407496291,4.799885011974691e-08
