pore_id,particle_index,particle_id
0,54,55
0,83,84
0,97,98
0,170,171
1,687,688
1,817,818
1,905,906
1,971,972
2,83,84
2,97,98
2,170,171
2,221,222
3,62,63
3,122,123
3,161,162
3,217,218
4,62,63
4,122,123
4,153,154
4,161,162
5,3,4
5,62,63
5,153,154
5,161,162
6,62,63
6,72,73
6,90,91
6,95,96
7,62,63
7,72,73
7,95,96
7,158,159
8,62,63
8,90,91
8,95,96
8,153,154
9,3,4
9,62,63
9,95,96
9,153,154
10,163,164
10,335,336
10,359,360
10,381,382
11,1672,1673
11,1674,1675
11,1685,1686
11,1691,1692
12,1457,1458
12,1685,1686
12,1691,1692
12,1772,1773
13,1674,1675
13,1685,1686
13,1691,1692
13,1772,1773
14,1657,1658
14,1737,1738
14,1801,1802
14,1843,1844
15,1648,1649
15,1714,1715
15,1724,1725
15,1800,1801
16,1630,1631
16,1648,1649
16,1724,1725
16,1800,1801
17,1702,1703
17,1714,1715
17,1724,1725
17,1800,1801
18,179,180
18,181,182
18,266,267
18,357,358
19,469,470
19,516,517
19,565,566
19,594,595
20,3,4
20,153,154
20,161,162
20,183,184
21,23,24
21,153,154
21,183,184
21,209,210
22,23,24
22,122,123
22,153,154
22,183,184
23,122,123
23,153,154
23,161,162
23,183,184
24,3,4
24,57,58
24,161,162
24,382,383
25,3,4
25,57,58
25,161,162
25,183,184
26,3,4
26,9,10
26,57,58
26,183,184
27,90,91
27,95,96
27,153,154
27,269,270
28,3,4
28,95,96
28,153,154
28,269,270
29,3,4
29,153,154
29,183,184
29,269,270
30,3,4
30,9,10
30,183,184
30,269,270
31,153,154
31,183,184
31,209,210
31,269,270
32,9,10
32,183,184
32,209,210
32,269,270
33,1651,1652
33,1665,1666
33,1795,1796
33,1841,1842
34,1544,1545
34,1577,1578
34,1601,1602
34,1745,1746
35,1032,1033
35,1054,1055
35,1154,1155
35,1292,1293
36,1083,1084
36,1118,1119
36,1184,1185
36,1204,1205
37,1211,1212
37,1236,1237
37,1315,1316
37,1343,1344
38,1070,1071
38,1083,1084
38,1118,1119
38,1204,1205
39,1070,1071
39,1118,1119
39,1184,1185
39,1204,1205
40,1070,1071
40,1118,1119
40,1211,1212
40,1343,1344
41,1070,1071
41,1211,1212
41,1236,1237
41,1343,1344
42,1629,1630
42,1666,1667
42,1733,1734
42,1781,1782
43,1666,1667
43,1733,1734
43,1781,1782
43,1825,1826
44,1652,1653
44,1672,1673
44,1674,1675
44,1691,1692
45,1652,1653
45,1674,1675
45,1691,1692
45,1734,1735
46,1252,1253
46,1305,1306
46,1391,1392
46,1576,1577
47,341,342
47,513,514
47,551,552
47,554,555
48,298,299
48,341,342
48,513,514
48,551,552
49,298,299
49,341,342
49,513,514
49,562,563
50,105,106
50,163,164
50,359,360
50,381,382
51,47,48
51,94,95
51,146,147
51,184,185
52,11,12
52,47,48
52,146,147
52,184,185
53,47,48
53,94,95
53,184,185
53,204,205
54,11,12
54,146,147
54,184,185
54,426,427
55,11,12
55,47,48
55,184,185
55,426,427
56,159,160
56,172,173
56,212,213
56,426,427
57,192,193
57,254,255
57,339,340
57,389,390
58,160,161
58,192,193
58,339,340
58,389,390
59,1070,1071
59,1204,1205
59,1236,1237
59,1388,1389
60,1070,1071
60,1184,1185
60,1204,1205
60,1388,1389
61,1070,1071
61,1236,1237
61,1343,1344
61,1388,1389
62,1236,1237
62,1315,1316
62,1343,1344
62,1388,1389
63,1118,1119
63,1184,1185
63,1343,1344
63,1388,1389
64,1070,1071
64,1118,1119
64,1343,1344
64,1388,1389
65,1070,1071
65,1118,1119
65,1184,1185
65,1388,1389
66,121,122
66,192,193
66,219,220
66,333,334
67,299,300
67,313,314
67,422,423
67,580,581
68,299,300
68,329,330
68,422,423
68,580,581
69,1259,1260
69,1327,1328
69,1367,1368
69,1580,1581
70,83,84
70,97,98
70,221,222
70,295,296
71,1664,1665
71,1672,1673
71,1685,1686
71,1691,1692
72,1652,1653
72,1664,1665
72,1672,1673
72,1691,1692
73,1457,1458
73,1691,1692
73,1744,1745
73,1772,1773
74,768,769
74,781,782
74,857,858
74,909,910
75,646,647
75,898,899
75,971,972
75,1017,1018
76,845,846
76,893,894
76,1014,1015
76,1099,1100
77,672,673
77,687,688
77,738,739
77,757,758
78,687,688
78,738,739
78,757,758
78,817,818
79,687,688
79,757,758
79,817,818
79,905,906
80,635,636
80,757,758
80,817,818
80,905,906
81,1032,1033
81,1054,1055
81,1103,1104
81,1200,1201
82,1032,1033
82,1054,1055
82,1103,1104
82,1131,1132
83,1032,1033
83,1085,1086
83,1103,1104
83,1131,1132
84,902,903
84,1085,1086
84,1103,1104
84,1131,1132
85,1032,1033
85,1054,1055
85,1154,1155
85,1231,1232
86,1026,1027
86,1054,1055
86,1231,1232
86,1292,1293
87,1054,1055
87,1154,1155
87,1231,1232
87,1292,1293
88,1026,1027
88,1169,1170
88,1231,1232
88,1292,1293
89,130,131
89,171,172
89,197,198
89,223,224
90,1637,1638
90,1695,1696
90,1703,1704
90,1794,1795
91,1637,1638
91,1695,1696
91,1703,1704
91,1812,1813
92,1405,1406
92,1609,1610
92,1635,1636
92,1774,1775
93,1405,1406
93,1450,1451
93,1635,1636
93,1774,1775
94,1543,1544
94,1680,1681
94,1774,1775
94,1824,1825
95,22,23
95,41,42
95,149,150
95,214,215
96,87,88
96,113,114
96,169,170
96,202,203
97,121,122
97,219,220
97,333,334
97,394,395
98,29,30
98,192,193
98,323,324
98,339,340
99,16,17
99,54,55
99,97,98
99,170,171
100,16,17
100,37,38
100,97,98
100,170,171
101,16,17
101,54,55
101,170,171
101,198,199
102,16,17
102,54,55
102,126,127
102,198,199
103,160,161
103,199,200
103,339,340
103,389,390
104,41,42
104,84,85
104,111,112
104,193,194
105,41,42
105,111,112
105,193,194
105,214,215
106,22,23
106,41,42
106,193,194
106,214,215
107,16,17
107,37,38
107,98,99
107,170,171
108,97,98
108,221,222
108,259,260
108,295,296
109,49,50
109,64,65
109,68,69
109,216,217
110,1,2
110,124,125
110,194,195
110,216,217
111,1451,1452
111,1457,1458
111,1608,1609
111,1744,1745
112,1505,1506
112,1702,1703
112,1724,1725
112,1800,1801
113,1696,1697
113,1702,1703
113,1714,1715
113,1800,1801
114,1696,1697
114,1714,1715
114,1717,1718
114,1795,1796
115,1696,1697
115,1714,1715
115,1795,1796
115,1834,1835
116,1665,1666
116,1696,1697
116,1717,1718
116,1795,1796
117,1418,1419
117,1441,1442
117,1589,1590
117,1705,1706
118,1303,1304
118,1441,1442
118,1589,1590
118,1705,1706
119,1309,1310
119,1441,1442
119,1495,1496
119,1499,1500
120,3,4
120,9,10
120,57,58
120,246,247
121,3,4
121,9,10
121,246,247
121,314,315
122,3,4
122,57,58
122,246,247
122,314,315
123,245,246
123,266,267
123,519,520
123,583,584
124,9,10
124,266,267
124,357,358
124,519,520
125,263,264
125,272,273
125,289,290
125,329,330
126,369,370
126,525,526
126,576,577
126,654,655
127,263,264
127,272,273
127,432,433
127,654,655
128,369,370
128,459,460
128,576,577
128,720,721
129,369,370
129,459,460
129,576,577
129,654,655
130,369,370
130,459,460
130,525,526
130,654,655
131,340,341
131,369,370
131,459,460
131,525,526
132,667,668
